BINARY is BFO_0000051 ObjectProperty
BINARY is BFO_0000002 Class
BINARY is BFO_0000004 Class
BINARY is BFO_0000006 Class
BINARY SubClassOf BFO_0000006 BFO_0000141
BINARY is BFO_0000017 Class
BINARY SubClassOf BFO_0000017 BFO_0000020
BINARY is BFO_0000019 Class
BINARY SubClassOf BFO_0000019 BFO_0000020
BINARY is BFO_0000020 Class
BINARY SubClassOf BFO_0000020 BFO_0000002
BINARY is BFO_0000028 Class
BINARY SubClassOf BFO_0000028 BFO_0000006
BINARY is BFO_0000040 Class
BINARY SubClassOf BFO_0000040 BFO_0000004
BINARY is BFO_0000141 Class
BINARY SubClassOf BFO_0000141 BFO_0000004
BINARY is CHEBI_10545 Class
BINARY SubClassOf CHEBI_10545 CHEBI_36338
BINARY is CHEBI_24431 Class
BINARY SubClassOf CHEBI_24431 BFO_0000040
BINARY is CHEBI_33233 Class
BINARY SubClassOf CHEBI_33233 CHEBI_36342
BINARY is CHEBI_33252 Class
BINARY SubClassOf CHEBI_33252 CHEBI_36347,
BINARY SubClassOf CHEBI_33252 BFO_0000051_some_CHEBI_33253,
BINARY SubClassOf CHEBI_33252 BFO_0000051_only_CHEBI_36340
BINARY is CHEBI_33253 Class
BINARY SubClassOf CHEBI_33253 CHEBI_36339,
BINARY SubClassOf CHEBI_33253 CHEBI_36347
BINARY DisjointWith CHEBI_33253 CHEBI_36340
BINARY is CHEBI_36338 Class
BINARY SubClassOf CHEBI_36338 CHEBI_33233,
BINARY SubClassOf CHEBI_36338 CHEBI_36340
BINARY is CHEBI_36339 Class
BINARY SubClassOf CHEBI_36339 CHEBI_36340,
BINARY SubClassOf CHEBI_36339 CHEBI_36344
BINARY is CHEBI_36340 Class
BINARY SubClassOf CHEBI_36340 CHEBI_36342
BINARY DisjointWith CHEBI_36340 CHEBI_33253
BINARY is CHEBI_36342 Class
BINARY SubClassOf CHEBI_36342 BFO_0000040
BINARY is CHEBI_36343 Class
BINARY SubClassOf CHEBI_36343 CHEBI_36342
BINARY is CHEBI_36344 Class
BINARY SubClassOf CHEBI_36344 CHEBI_36343
BINARY is CHEBI_36347 Class
BINARY SubClassOf CHEBI_36347 CHEBI_36342
BINARY is CHEBI_50906 Class
BINARY SubClassOf CHEBI_50906 BFO_0000017
BINARY is OCE_0000001 Class
BINARY SubClassOf OCE_0000001 OCE_0000006
BINARY is OCE_0000002 Class
BINARY SubClassOf OCE_0000002 CHEBI_10545
BINARY is OCE_0000003 Class
BINARY SubClassOf OCE_0000003 BFO_0000019
BINARY is OCE_0000004 Class
BINARY SubClassOf OCE_0000004 BFO_0000019
BINARY is OCE_0000006 Class
BINARY SubClassOf OCE_0000006 BFO_0000028
BINARY is OCE_0000008 Class
BINARY SubClassOf OCE_0000008 BFO_0000028
BINARY is OCE_0000009 Class
BINARY SubClassOf OCE_0000009 OCE_0000008
BINARY is OCE_0000010 Class
BINARY SubClassOf OCE_0000010 OCE_0000008
BINARY is OCE_0000011 Class
BINARY SubClassOf OCE_0000011 OCE_0000008
BINARY is OCE_0000013 Class
BINARY SubClassOf OCE_0000013 OCE_0000008
BINARY is OCE_0000014 Class
BINARY SubClassOf OCE_0000014 OCE_0000008
BINARY is OCE_0000015 Class
BINARY SubClassOf OCE_0000015 OCE_0000008
BINARY is OCE_0000027 Class
BINARY SubClassOf OCE_0000027 BFO_0000019
BINARY is OCE_0000052 Class
BINARY SubClassOf OCE_0000052 OCE_0000003
BINARY is OCE_0000053 Class
BINARY SubClassOf OCE_0000053 BFO_0000019
BINARY is OCE_0000054 Class
BINARY SubClassOf OCE_0000054 OCE_0000003
BINARY is OCE_0000055 Class
BINARY SubClassOf OCE_0000055 OCE_0000027
BINARY is OCE_0000056 Class
BINARY SubClassOf OCE_0000056 OCE_0000003
BINARY is www.w3.org/2002/07/# Class
