BINARY is ECSO_00000318 ObjectProperty
BINARY is ECSO_00000321 Class
BINARY is ECSO_00000502 Class
BINARY SubClassOf ECSO_00000502 ECSO_00000520
BINARY is ECSO_00000512 Class
BINARY is ECSO_00000520 Class
BINARY SubClassOf ECSO_00000520 ECSO_00002932
BINARY is ECSO_00000522 Class
BINARY SubClassOf ECSO_00000522 ECSO_00000530
BINARY is ECSO_00000530 Class
BINARY SubClassOf ECSO_00000530 ECSO_00000646
BINARY is ECSO_00000535 Class
BINARY SubClassOf ECSO_00000535 ECSO_00000539
BINARY is ECSO_00000538 Class
BINARY SubClassOf ECSO_00000538 ECSO_00000565
BINARY is ECSO_00000539 Class
BINARY SubClassOf ECSO_00000539 ECSO_00000646
BINARY is ECSO_00000565 Class
BINARY SubClassOf ECSO_00000565 ECSO_00000646
BINARY is ECSO_00000566 Class
BINARY SubClassOf ECSO_00000566 ECSO_00000565
BINARY is ECSO_00000576 Class
BINARY SubClassOf ECSO_00000576 ECSO_00000520
BINARY is ECSO_00000577 Class
BINARY SubClassOf ECSO_00000577 ECSO_00001130
BINARY is ECSO_00000578 Class
BINARY SubClassOf ECSO_00000578 ECSO_00001130
BINARY is ECSO_00000580 Class
BINARY SubClassOf ECSO_00000580 ECSO_00000530
BINARY is ECSO_00000611 Class
BINARY SubClassOf ECSO_00000611 ECSO_00000646
BINARY is ECSO_00000615 Class
BINARY SubClassOf ECSO_00000615 ECSO_00002516
BINARY is ECSO_00000616 Class
BINARY SubClassOf ECSO_00000616 ECSO_00000615
BINARY is ECSO_00000618 Class
BINARY SubClassOf ECSO_00000618 ECSO_00000615
BINARY is ECSO_00000620 Class
BINARY SubClassOf ECSO_00000620 ECSO_00000530
BINARY is ECSO_00000622 Class
BINARY SubClassOf ECSO_00000622 ECSO_00000615
BINARY is ECSO_00000623 Class
BINARY SubClassOf ECSO_00000623 ECSO_00000615
BINARY is ECSO_00000631 Class
BINARY SubClassOf ECSO_00000631 ECSO_00000530
BINARY is ECSO_00000632 Class
