BINARY is HANCESTRO_0308 ObjectProperty
BINARY is Angola Class
BINARY is Eswatini Class
BINARY is Mozambique Class
BINARY is Zambia Class
BINARY is Zimbabwe Class
BINARY DisjointWith Zimbabwe AfPO_0000347
BINARY is AfPO_0000060 Class
BINARY SubClassOf AfPO_0000060 AfPO_0000333
BINARY is AfPO_0000069 Class
BINARY SubClassOf AfPO_0000069 AfPO_0000340
BINARY is AfPO_0000116 Class
BINARY SubClassOf AfPO_0000116 AfPO_0000340,
BINARY SubClassOf AfPO_0000116 HANCESTRO_0308_some_Zimbabwe,
BINARY SubClassOf AfPO_0000116 HANCESTRO_0308_some
BINARY SubClassOf AfPO_0000116 (Zimbabwe_and_AfPO_0000347),
BINARY SubClassOf AfPO_0000116 HANCESTRO_0308_only_AfPO_0000347
BINARY is AfPO_0000132 Class
BINARY is AfPO_0000142 Class
BINARY is AfPO_0000150 Class
BINARY is AfPO_0000200 Class
BINARY SubClassOf AfPO_0000200 AfPO_0000276
BINARY is AfPO_0000276 Class
BINARY SubClassOf AfPO_0000276 OBI_0000181
BINARY is AfPO_0000278 Class
BINARY is AfPO_0000289 Class
BINARY SubClassOf AfPO_0000289 AfPO_0000278
BINARY is AfPO_0000290 Class
BINARY is AfPO_0000292 Class
BINARY is AfPO_0000301 Class
BINARY SubClassOf AfPO_0000301 AfPO_0000292
BINARY is AfPO_0000325 Class
BINARY SubClassOf AfPO_0000325 AfPO_0000276
BINARY is AfPO_0000326 Class
BINARY SubClassOf AfPO_0000326 AfPO_0000276
BINARY is AfPO_0000327 Class
BINARY SubClassOf AfPO_0000327 AfPO_0000276
BINARY is AfPO_0000328 Class
BINARY SubClassOf AfPO_0000328 AfPO_0000276
BINARY is AfPO_0000329 Class
BINARY SubClassOf AfPO_0000329 AfPO_0000276
BINARY is AfPO_0000330 Class
BINARY SubClassOf AfPO_0000330 AfPO_0000276
BINARY is AfPO_0000331 Class
BINARY SubClassOf AfPO_0000331 AfPO_0000276
BINARY is AfPO_0000332 Class
BINARY SubClassOf AfPO_0000332 AfPO_0000276
BINARY is AfPO_0000333 Class
BINARY is AfPO_0000340 Class
BINARY is AfPO_0000343 Class
BINARY is AfPO_0000347 Class
BINARY SubClassOf AfPO_0000347 AfPO_0000343
BINARY DisjointWith AfPO_0000347 Zimbabwe
BINARY is AfPO_0000350 Class
BINARY SubClassOf AfPO_0000350 AfPO_0000340,
BINARY SubClassOf AfPO_0000350 HANCESTRO_0308_some_Zimbabwe
BINARY is AfPO_0000351 Class
BINARY SubClassOf AfPO_0000351 AfPO_0000340,
BINARY SubClassOf AfPO_0000351 HANCESTRO_0308_some_Eswatini,
BINARY SubClassOf AfPO_0000351 HANCESTRO_0308_some_Mozambique
BINARY is AfPO_0000352 Class
BINARY SubClassOf AfPO_0000352 AfPO_0000350
BINARY is AfPO_0000353 Class
BINARY SubClassOf AfPO_0000353 AfPO_0000350
BINARY is AfPO_0000354 Class
BINARY SubClassOf AfPO_0000354 AfPO_0000142
BINARY is AfPO_0000433 Class
BINARY SubClassOf AfPO_0000433 AfPO_0000150
BINARY is AfPO_0000438 Class
BINARY SubClassOf AfPO_0000438 AfPO_0000276
BINARY is AfPO_0000516 Class
BINARY SubClassOf AfPO_0000516 AfPO_0000132
BINARY is AfPO_0000518 Class
BINARY SubClassOf AfPO_0000518 AfPO_0000343,
BINARY SubClassOf AfPO_0000518 HANCESTRO_0308_some_Angola,
BINARY SubClassOf AfPO_0000518 HANCESTRO_0308_some_Mozambique,
BINARY SubClassOf AfPO_0000518 HANCESTRO_0308_some_Zambia
BINARY is AfPO_0000519 Class
BINARY SubClassOf AfPO_0000519 AfPO_0000333
BINARY is AfPO_0000572 Class
BINARY SubClassOf AfPO_0000572 AfPO_0000290
BINARY is AfPO_0000573 Class
BINARY SubClassOf AfPO_0000573 AfPO_0000276
BINARY is BFO_0000031 Class
BINARY is IAO_0000027 Class
BINARY SubClassOf IAO_0000027 IAO_0000030
BINARY is IAO_0000030 Class
BINARY SubClassOf IAO_0000030 BFO_0000031
BINARY is IAO_0000102 Class
BINARY SubClassOf IAO_0000102 IAO_0000027
BINARY is IAO_0000122 Class
BINARY is IAO_0000225 Class
BINARY equiv IAO_0000225 {IAO_0000103_,_IAO_0000226_,_IAO_0000227_,_IAO_0000228_,_IAO_0000229_,_OMO_0001000}
BINARY SubClassOf IAO_0000225 IAO_0000102
BINARY DisjointWith IAO_0000225 OMO_0001000}
BINARY DisjointWith IAO_0000225 IAO_0000229
BINARY DisjointWith IAO_0000225 IAO_0000228
BINARY DisjointWith IAO_0000225 IAO_0000227
BINARY DisjointWith IAO_0000225 IAO_0000226
BINARY DisjointWith IAO_0000225 {IAO_0000103
BINARY is IAO_0000226 Class
BINARY is IAO_0000227 Class
BINARY is IAO_0000228 Class
BINARY is IAO_0000229 Class
BINARY is IAO_0000409 Class
BINARY equiv IAO_0000409 {IAO_0000410_,_IAO_0000420_,_IAO_0000421}
BINARY SubClassOf IAO_0000409 IAO_0000102
BINARY is OBI_0000181 Class
BINARY is www.w3.org/2002/07/# Class
BINARY is IAO_0000103 Individual
BINARY Types IAO_0000103 IAO_0000225
BINARY is IAO_0000226 Individual
BINARY Types IAO_0000226 IAO_0000225
BINARY is IAO_0000227 Individual
BINARY Types IAO_0000227 IAO_0000225
BINARY is IAO_0000228 Individual
BINARY Types IAO_0000228 IAO_0000225
BINARY is IAO_0000229 Individual
BINARY Types IAO_0000229 IAO_0000225
BINARY is IAO_0000410 Individual
BINARY Types IAO_0000410 IAO_0000409
BINARY is IAO_0000420 Individual
BINARY Types IAO_0000420 IAO_0000409
BINARY is IAO_0000421 Individual
BINARY Types IAO_0000421 IAO_0000409
BINARY is OMO_0001000 Individual
BINARY Types OMO_0001000 IAO_0000225
BINARY is OMO_0001002 Individual
BINARY Types OMO_0001002 IAO_0000225
BINARY is HANCESTRO_0308_some_Zimbabwe Class
BINARY SubClassOf HANCESTRO_0308_some_Zimbabwe AfPO_0000353
