BINARY is purl.org/obo//OBO_REL# ObjectProperty
BINARY is FLU_0000404 Class
BINARY SubClassOf FLU_0000404 MaterialEntity
BINARY is FLU_0000411 Class
BINARY SubClassOf FLU_0000411 MaterialEntity
BINARY is FLU_0000753 Class
BINARY SubClassOf FLU_0000753 PR_000000001
BINARY is FLU_0000756 Class
BINARY SubClassOf FLU_0000756 MaterialEntity
BINARY is FLU_0000758 Class
BINARY SubClassOf FLU_0000758 PR_000000001
BINARY is FLU_0000761 Class
BINARY SubClassOf FLU_0000761 MaterialEntity
BINARY is FLU_0000814 Class
BINARY SubClassOf FLU_0000814 MaterialEntity
BINARY is FLU_0000830 Class
BINARY SubClassOf FLU_0000830 MaterialEntity
BINARY is FLU_0000845 Class
BINARY SubClassOf FLU_0000845 MaterialEntity
BINARY is FLU_0000886 Class
BINARY SubClassOf FLU_0000886 MaterialEntity
BINARY is FLU_0000957 Class
BINARY is CHEBI_33697 purl.org/obo//CHEBI#
BINARY is FLU_0001002 Class
BINARY SubClassOf FLU_0001002 MaterialEntity
BINARY is FLU_0001005 Class
BINARY SubClassOf FLU_0001005 MaterialEntity
BINARY is FLU_0001026 Class
BINARY SubClassOf FLU_0001026 MaterialEntity
BINARY is FLU_0001028 Class
BINARY SubClassOf FLU_0001028 MaterialEntity
BINARY is OBI_0000047 Class
BINARY SubClassOf OBI_0000047 MaterialEntity
BINARY is OBI_0000181 Class
BINARY SubClassOf OBI_0000181 MaterialEntity
BINARY is OBI_0000427 Class
BINARY SubClassOf OBI_0000427 MaterialEntity
BINARY is OBI_0100026 Class
BINARY SubClassOf OBI_0100026 MaterialEntity
BINARY is OBI_0100051 Class
BINARY SubClassOf OBI_0100051 MaterialEntity
BINARY is PR_000000001 Class
BINARY is CHEBI_16670 purl.org/obo//CHEBI#
BINARY is purl.org/obo//CHEBI# Class
BINARY is purl.org/obo//CHEBI# Class
BINARY is CHEBI_33696 purl.org/obo//CHEBI#
BINARY is purl.org/obo//CHEBI# Class
BINARY SubClassOf purl.org/obo//CHEBI# MaterialEntity
BINARY is purl.org/obo//CHEBI# Class
BINARY is purl.org/obo//CHEBI# Class
BINARY is CHEBI_33696 purl.org/obo//CHEBI#
BINARY is purl.org/obo//CHEBI# Class
BINARY is CHEBI_33697 purl.org/obo//CHEBI#
BINARY is purl.org/obo//CL# Class
BINARY SubClassOf purl.org/obo//CL# MaterialEntity
BINARY is purl.org/obo//ENVO# Class
BINARY SubClassOf purl.org/obo//ENVO# MaterialEntity
BINARY is purl.org/obo//GO# Class
BINARY SubClassOf purl.org/obo//GO# MaterialEntity
BINARY is purl.org/obo//GO# Class
BINARY is purl.org/obo//GO# Class
BINARY is purl.org/obo//GO# Class
BINARY is GO_0030880, purl.org/obo//GO#
BINARY is has_function_some_purl.org/obo//GO# purl.org/obo//OBO_REL#
BINARY is purl.org/obo//GO# Class
BINARY SubClassOf purl.org/obo//GO# MaterialEntity
BINARY is purl.org/obo//GO# Class
BINARY SubClassOf purl.org/obo//GO# MaterialEntity
BINARY is purl.org/obo//NCBITaxon# Class
BINARY is purl.org/obo//NCBITaxon# Class
BINARY is NCBITaxon_39107 purl.org/obo//NCBITaxon#
BINARY is purl.org/obo//NCBITaxon# Class
BINARY is purl.org/obo//NCBITaxon# Class
BINARY is NCBITaxon_35301 purl.org/obo//NCBITaxon#
BINARY is purl.org/obo//NCBITaxon# Class
BINARY is purl.org/obo//NCBITaxon# Class
BINARY is NCBITaxon_2759 purl.org/obo//NCBITaxon#
BINARY is purl.org/obo//NCBITaxon# Class
BINARY is NCBITaxon_33154 purl.org/obo//NCBITaxon#
BINARY is purl.org/obo//NCBITaxon# Class
BINARY is NCBITaxon_10239 purl.org/obo//NCBITaxon#
BINARY is purl.org/obo//NCBITaxon# Class
BINARY is NCBITaxon_10066 purl.org/obo//NCBITaxon#
BINARY is purl.org/obo//UBERON# Class
BINARY SubClassOf purl.org/obo//UBERON# MaterialEntity
BINARY is purl.org/obo//UBERON# Class
BINARY SubClassOf purl.org/obo//UBERON# MaterialEntity
BINARY is FiatObjectPart Class
BINARY SubClassOf FiatObjectPart MaterialEntity
BINARY is IndependentContinuant Class
BINARY is MaterialEntity Class
BINARY equiv MaterialEntity FiatObjectPart_or_Object_or_ObjectAggregate
BINARY SubClassOf MaterialEntity IndependentContinuant
BINARY DisjointWith MaterialEntity Site
BINARY DisjointWith MaterialEntity ObjectBoundary
BINARY is Object Class
BINARY SubClassOf Object MaterialEntity
BINARY is ObjectAggregate Class
BINARY SubClassOf ObjectAggregate MaterialEntity
BINARY is ObjectBoundary Class
BINARY DisjointWith ObjectBoundary MaterialEntity
BINARY is Site Class
BINARY DisjointWith Site MaterialEntity
BINARY is www.w3.org/2002/07/# Class
