BINARY is is-a-well-formed-formula-of ObjectProperty
BINARY is command-language Class
BINARY DisjointWith command-language data-manipulation-language-expression
BINARY is composite-expression Class
BINARY SubClassOf composite-expression computer-language-expression
BINARY is computer-language-expression Class
BINARY SubClassOf computer-language-expression formal-expression,
BINARY SubClassOf computer-language-expression is-a-well-formed-formula-of_some_command-language,
BINARY SubClassOf computer-language-expression is-a-well-formed-formula-of_only_data-manipulation-language-expression
BINARY is data-description-language-expression Class
BINARY SubClassOf data-description-language-expression computer-language-expression
BINARY is data-manipulation-language-expression Class
BINARY SubClassOf data-manipulation-language-expression computer-language-expression
BINARY DisjointWith data-manipulation-language-expression command-language
BINARY is lexeme Class
BINARY SubClassOf lexeme computer-language-expression
BINARY is formal-expression Class
BINARY is www.w3.org/2002/07/# Class
