BINARY is aeo# ObjectProperty
BINARY is AEO_0000118 Class
BINARY is AEO_0000162 Class
BINARY SubClassOf AEO_0000162 CARO_0000010
BINARY is AEO_0000215 Class
BINARY SubClassOf AEO_0000215 AEO_0000221
BINARY is AEO_0000221 Class
BINARY is AEO_0001002 Class
BINARY SubClassOf AEO_0001002 AEO_0000118
BINARY is AEO_0001008 Class
BINARY is AEO_0001010 Class
BINARY SubClassOf AEO_0001010 AEO_0001008,
BINARY is has_part_some_CL_0000031, aeo#
BINARY is has_part_some_CL_0000468 aeo#
BINARY is CARO_0000010 Class
BINARY is CL_0000000 Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is CL_0000003 Class
BINARY SubClassOf CL_0000003 CL_0000000
BINARY is CL_0000012 Class
BINARY SubClassOf CL_0000012 CL_0000003
BINARY is CL_0000015 Class
BINARY SubClassOf CL_0000015 CL_0000586
BINARY is CL_0000021 Class
BINARY SubClassOf CL_0000021 CL_0000586
BINARY is CL_0000031 Class
BINARY SubClassOf CL_0000031 CL_0000055
BINARY is CL_0000034 Class
BINARY SubClassOf CL_0000034 CL_0000144
BINARY is CL_0000039 Class
BINARY SubClassOf CL_0000039 CL_0000144
BINARY is CL_0000055 Class
BINARY SubClassOf CL_0000055 CL_0000012
BINARY is CL_0000057 Class
BINARY SubClassOf CL_0000057 CL_0002320
BINARY is CL_0000058 Class
BINARY SubClassOf CL_0000058 CL_0000055,
BINARY SubClassOf CL_0000058 CL_0000667
BINARY is CL_0000062 Class
BINARY SubClassOf CL_0000062 CL_0000055,
BINARY SubClassOf CL_0000062 CL_0002320
BINARY is CL_0000063 Class
BINARY SubClassOf CL_0000063 CL_0000012
BINARY is CL_0000066 Class
BINARY SubClassOf CL_0000066 CL_0000063
BINARY is CL_0000068 Class
BINARY SubClassOf CL_0000068 CL_0000066,
BINARY SubClassOf CL_0000068 CL_0002371
BINARY is CL_0000071 Class
BINARY SubClassOf CL_0000071 CL_0000076
BINARY is CL_0000075 Class
BINARY SubClassOf CL_0000075 CL_0000066,
BINARY SubClassOf CL_0000075 CL_0002371
BINARY is CL_0000076 Class
BINARY SubClassOf CL_0000076 CL_0000066
BINARY is CL_0000079 Class
BINARY SubClassOf CL_0000079 CL_0000066,
BINARY SubClassOf CL_0000079 CL_0002371
BINARY is CL_0000080 Class
BINARY SubClassOf CL_0000080 CL_0000144
BINARY is CL_0000081 Class
BINARY SubClassOf CL_0000081 CL_0000988
BINARY is CL_0000095 Class
BINARY SubClassOf CL_0000095 CL_0002319
BINARY is CL_0000101 Class
BINARY SubClassOf CL_0000101 CL_0000526
BINARY is CL_0000134 Class
BINARY SubClassOf CL_0000134 CL_0000063
BINARY is CL_0000136 Class
BINARY SubClassOf CL_0000136 CL_0002320
BINARY is CL_0000144 Class
BINARY SubClassOf CL_0000144 CL_0000012
BINARY is CL_0000151 Class
BINARY SubClassOf CL_0000151 CL_0000144
BINARY is CL_0000165 Class
BINARY SubClassOf CL_0000165 CL_0000393
BINARY is CL_0000187 Class
BINARY SubClassOf CL_0000187 CL_0000393,
BINARY SubClassOf CL_0000187 CL_0002371
BINARY is CL_0000188 Class
BINARY SubClassOf CL_0000188 CL_0000187
BINARY is CL_0000192 Class
BINARY SubClassOf CL_0000192 CL_0000187
BINARY is CL_0000196 Class
BINARY SubClassOf CL_0000196 CL_0000187
BINARY is CL_0000211 Class
BINARY SubClassOf CL_0000211 CL_0000144
BINARY is CL_0000224 Class
BINARY SubClassOf CL_0000224 CL_0000012
BINARY is CL_0000228 Class
BINARY SubClassOf CL_0000228 CL_0002242
BINARY is CL_0000327 Class
BINARY SubClassOf CL_0000327 CL_0000151,
BINARY SubClassOf CL_0000327 CL_0000499
BINARY is CL_0000335 Class
BINARY SubClassOf CL_0000335 CL_0000134
BINARY is CL_0000393 Class
BINARY SubClassOf CL_0000393 CL_0000211
BINARY is CL_0000414 Class
BINARY SubClassOf CL_0000414 CL_0000012
BINARY is CL_0000445 Class
BINARY SubClassOf CL_0000445 CL_0000144
BINARY is CL_0000468 Class
BINARY SubClassOf CL_0000468 CL_0000055
BINARY is CL_0000499 Class
BINARY SubClassOf CL_0000499 CL_0002320
BINARY is CL_0000525 Class
BINARY SubClassOf CL_0000525 CL_0000228
BINARY is CL_0000526 Class
BINARY SubClassOf CL_0000526 CL_0000540
BINARY is CL_0000540 Class
BINARY SubClassOf CL_0000540 CL_0000393
BINARY is CL_0000586 Class
BINARY SubClassOf CL_0000586 CL_0000039
BINARY is CL_0000658 Class
BINARY SubClassOf CL_0000658 CL_0000066,
BINARY SubClassOf CL_0000658 CL_0000327
BINARY is CL_0000667 Class
BINARY SubClassOf CL_0000667 CL_0000327
BINARY is CL_0000670 Class
BINARY SubClassOf CL_0000670 CL_0000039
BINARY is CL_0000680 Class
BINARY SubClassOf CL_0000680 CL_0000055,
BINARY SubClassOf CL_0000680 CL_0002371
BINARY is CL_0000737 Class
BINARY SubClassOf CL_0000737 CL_0000187
BINARY is CL_0000988 Class
BINARY SubClassOf CL_0000988 CL_0002371
BINARY is CL_0002242 Class
BINARY SubClassOf CL_0002242 CL_0000224
BINARY is CL_0002319 Class
BINARY SubClassOf CL_0002319 CL_0002371
BINARY is CL_0002320 Class
BINARY SubClassOf CL_0002320 CL_0002371
BINARY is CL_0002371 Class
BINARY SubClassOf CL_0002371 CL_0000144
BINARY is CL_0002372 Class
BINARY SubClassOf CL_0002372 CL_0000228
BINARY is www.w3.org/2002/07/# Class
