BINARY is BFO_0000050 ObjectProperty
BINARY is TO_0000013 Class
BINARY SubClassOf TO_0000013 TO_0000112
BINARY is TO_0000017 Class
BINARY SubClassOf TO_0000017 TO_0000387
BINARY is TO_0000030 Class
BINARY SubClassOf TO_0000030 TO_0000347
BINARY is TO_0000035 Class
BINARY SubClassOf TO_0000035 TO_0000392,
BINARY SubClassOf TO_0000035 TO_0000398
BINARY is TO_0000036 Class
BINARY SubClassOf TO_0000036 TO_0000035
BINARY is TO_0000042 Class
BINARY SubClassOf TO_0000042 TO_0000036
BINARY is TO_0000046 Class
BINARY SubClassOf TO_0000046 TO_0000036
BINARY is TO_0000047 Class
BINARY SubClassOf TO_0000047 TO_0000310
BINARY is TO_0000049 Class
BINARY SubClassOf TO_0000049 TO_0000310
BINARY is TO_0000053 Class
BINARY SubClassOf TO_0000053 TO_0000437
BINARY is TO_0000054 Class
BINARY SubClassOf TO_0000054 TO_0000179
BINARY is TO_0000057 Class
BINARY SubClassOf TO_0000057 TO_0000162
BINARY is TO_0000062 Class
BINARY SubClassOf TO_0000062 TO_0000489
BINARY is TO_0000063 Class
BINARY SubClassOf TO_0000063 TO_0000179
BINARY is TO_0000064 Class
BINARY SubClassOf TO_0000064 TO_0000398
BINARY is TO_0000068 Class
BINARY SubClassOf TO_0000068 TO_0000250
BINARY is TO_0000071 Class
BINARY SubClassOf TO_0000071 TO_0000494
BINARY is TO_0000075 Class
BINARY SubClassOf TO_0000075 TO_0000161
BINARY is TO_0000087 Class
BINARY SubClassOf TO_0000087 TO_0000162
BINARY is TO_0000095 Class
BINARY SubClassOf TO_0000095 TO_0000237
BINARY is TO_0000096 Class
BINARY SubClassOf TO_0000096 TO_0000250,
BINARY SubClassOf TO_0000096 TO_0000654
BINARY is TO_0000098 Class
BINARY SubClassOf TO_0000098 TO_0000587
BINARY is TO_0000099 Class
BINARY SubClassOf TO_0000099 TO_0000587
BINARY is TO_0000100 Class
BINARY SubClassOf TO_0000100 TO_0000587
BINARY is TO_0000101 Class
BINARY SubClassOf TO_0000101 TO_0000347
BINARY is TO_0000103 Class
BINARY SubClassOf TO_0000103 TO_0000237
BINARY is TO_0000104 Class
BINARY SubClassOf TO_0000104 TO_0000587
BINARY is TO_0000105 Class
BINARY SubClassOf TO_0000105 TO_0000587
BINARY is TO_0000106 Class
BINARY SubClassOf TO_0000106 TO_0000437
BINARY is TO_0000112 Class
BINARY SubClassOf TO_0000112 TO_0000179
BINARY is TO_0000114 Class
BINARY SubClassOf TO_0000114 TO_0000237
BINARY is TO_0000128 Class
BINARY SubClassOf TO_0000128 TO_0000371
BINARY is TO_0000131 Class
BINARY SubClassOf TO_0000131 TO_0000237
BINARY is TO_0000143 Class
BINARY SubClassOf TO_0000143 TO_0000371
BINARY is TO_0000148 Class
BINARY SubClassOf TO_0000148 TO_0000112
BINARY is TO_0000153 Class
BINARY SubClassOf TO_0000153 TO_0000371
BINARY is TO_0000157 Class
BINARY SubClassOf TO_0000157 TO_0000432
BINARY is TO_0000161 Class
BINARY SubClassOf TO_0000161 TO_0000168
BINARY is TO_0000162 Class
BINARY SubClassOf TO_0000162 TO_0002728
BINARY is TO_0000164 Class
BINARY SubClassOf TO_0000164 TO_0000387
BINARY is TO_0000168 Class
BINARY SubClassOf TO_0000168 TO_0000164
BINARY is TO_0000179 Class
