BINARY is boolean Datatype
BINARY is fallOccursAtTime ObjectProperty
BINARY Domain fallOccursAtTime Fall
BINARY Range fallOccursAtTime CalendarClockDescription
BINARY is hasConfirmedStatusOfFall ObjectProperty
BINARY Domain hasConfirmedStatusOfFall Fall
BINARY Range hasConfirmedStatusOfFall ConfirmedStatusOfFall
BINARY is hasFallHeight ObjectProperty
BINARY Domain hasFallHeight Fall
BINARY Range hasFallHeight FallHeight
BINARY is hasFallMechanism ObjectProperty
BINARY Domain hasFallMechanism Fall
BINARY Range hasFallMechanism FallMechanism
BINARY is hasMinimisationStrategyToPreventFallAtTime ObjectProperty
BINARY Domain hasMinimisationStrategyToPreventFallAtTime Fall
BINARY Range hasMinimisationStrategyToPreventFallAtTime HasMinimisationStrategyToPreventItRelation
BINARY is hasNextHealthCareFacilityStay ObjectProperty
BINARY is hasNextPressureUlcerStageSequenceItem ObjectProperty
BINARY is injures ObjectProperty
BINARY Domain injures Fall
BINARY Range injures Patient
BINARY InverseOf injures isInjuredIn
BINARY is involves ObjectProperty
BINARY Domain involves Fall
BINARY InverseOf involves isInvolvedInFall
BINARY is involvesContributingFactor ObjectProperty
BINARY SubPropertyOf involvesContributingFactor involves
BINARY Domain involvesContributingFactor Fall
BINARY is Activity_or_BuildingStructure_or_www.ICPS/ontologies/Clothing.# www.ICPS/ontologies/Activity.#
BINARY InverseOf Activity_or_BuildingStructure_or_www.ICPS/ontologies/Clothing.# isContributingFactorInvolvedInFall
BINARY is involvesFailure ObjectProperty
BINARY SubPropertyOf involvesFailure involves
BINARY Domain involvesFailure Fall
BINARY Range involvesFailure RestraintSafetyDeviceFailure
BINARY InverseOf involvesFailure isFailureInvolvedInFall
BINARY is involvesPersonPlayingRole ObjectProperty
BINARY SubPropertyOf involvesPersonPlayingRole involves
BINARY Domain involvesPersonPlayingRole Fall
BINARY Range involvesPersonPlayingRole PersonPlayingRole
BINARY InverseOf involvesPersonPlayingRole isPersonInvolvedInFall
BINARY is isAssistedByPersonPlayingRole ObjectProperty
BINARY Domain isAssistedByPersonPlayingRole Fall
BINARY Range isAssistedByPersonPlayingRole PersonPlayingRole
BINARY is isCausedBy ObjectProperty
BINARY Domain isCausedBy Fall
BINARY is isCausedByContributingFactor ObjectProperty
BINARY SubPropertyOf isCausedByContributingFactor isCausedBy
BINARY Domain isCausedByContributingFactor Fall
BINARY is Activity_or_BuildingStructure_or_www.ICPS/ontologies/Clothing.# www.ICPS/ontologies/Activity.#
BINARY InverseOf Activity_or_BuildingStructure_or_www.ICPS/ontologies/Clothing.# isContributingFactorThatCauses
BINARY is isCausedByFailure ObjectProperty
BINARY SubPropertyOf isCausedByFailure isCausedBy
BINARY Domain isCausedByFailure Fall
BINARY Range isCausedByFailure RestraintSafetyDeviceFailure
BINARY InverseOf isCausedByFailure isFailureThatCauses
BINARY is isCausedByPersonPlayingRole ObjectProperty
BINARY SubPropertyOf isCausedByPersonPlayingRole isCausedBy
BINARY Domain isCausedByPersonPlayingRole Fall
BINARY Range isCausedByPersonPlayingRole PersonPlayingRole
BINARY InverseOf isCausedByPersonPlayingRole isPersonWhoCauses
BINARY is isContributingFactorInvolvedInFall ObjectProperty
BINARY InverseOf isContributingFactorInvolvedInFall involvesContributingFactor
BINARY is isContributingFactorThatCauses ObjectProperty
BINARY InverseOf isContributingFactorThatCauses isCausedByContributingFactor
BINARY is isFailureInvolvedInFall ObjectProperty
BINARY InverseOf isFailureInvolvedInFall involvesFailure
BINARY is isFailureThatCauses ObjectProperty
BINARY InverseOf isFailureThatCauses isCausedByFailure
BINARY is isInjuredIn ObjectProperty
BINARY InverseOf isInjuredIn injures
BINARY is isInvolvedInFall ObjectProperty
BINARY InverseOf isInvolvedInFall involves
BINARY is isObservedByPersonPlayingRole ObjectProperty
BINARY Domain isObservedByPersonPlayingRole Fall
BINARY Range isObservedByPersonPlayingRole PersonPlayingRole
BINARY InverseOf isObservedByPersonPlayingRole observes
BINARY is isPersonInvolvedInFall ObjectProperty
BINARY InverseOf isPersonInvolvedInFall involvesPersonPlayingRole
BINARY is isPersonWhoCauses ObjectProperty
BINARY InverseOf isPersonWhoCauses isCausedByPersonPlayingRole
BINARY is observes ObjectProperty
BINARY InverseOf observes isObservedByPersonPlayingRole
BINARY is resultsInInjury ObjectProperty
BINARY Domain resultsInInjury Fall
BINARY Range resultsInInjury Injury
BINARY is isAControlledFall DataProperty
BINARY Domain isAControlledFall Fall
BINARY Range isAControlledFall boolean
BINARY is AlarmMat Class
BINARY SubClassOf AlarmMat StructuralDevice
BINARY is ArmRestraint Class
BINARY SubClassOf ArmRestraint Restraint
BINARY is AssistanceFromMobilityAids Class
BINARY SubClassOf AssistanceFromMobilityAids StructuralDevice
BINARY is BalanceFactor Class
BINARY is BedChairInHeightAppropriatePosition Class
BINARY SubClassOf BedChairInHeightAppropriatePosition EnvironmentalFallMinimisationStrategy
BINARY is BedInLowPosition Class
BINARY SubClassOf BedInLowPosition EnvironmentalFallMinimisationStrategy
BINARY is Bedrails Class
BINARY SubClassOf Bedrails StructuralDevice
BINARY is Braden Class
BINARY is CalciumSupplement Class
BINARY SubClassOf CalciumSupplement ProceduralDevice
BINARY is CallBell Class
BINARY SubClassOf CallBell StructuralDevice
BINARY is CallBellWithinReach Class
BINARY SubClassOf CallBellWithinReach EnvironmentalFallMinimisationStrategy
BINARY is ChemicalRestraint Class
BINARY SubClassOf ChemicalRestraint ProceduralDevice
BINARY is ClinicalRiskAssessment Class
BINARY DisjointWith ClinicalRiskAssessment FormalRiskAssessment
BINARY is DeleriumFactor Class
BINARY is Douglas Class
BINARY is Downton Class
BINARY is DrinkWithinReach Class
BINARY SubClassOf DrinkWithinReach EnvironmentalFallMinimisationStrategy
BINARY is DutchConsensusScoreCbo Class
BINARY is EnvironmentalFallMinimisationStrategy Class
BINARY SubClassOf EnvironmentalFallMinimisationStrategy FallMinimisationStrategy
BINARY is FallAlertInPlace Class
BINARY SubClassOf FallAlertInPlace ProceduralDevice
BINARY is FallMinimisationStrategy Class
BINARY SubClassOf FallMinimisationStrategy MinimisationStrategy
BINARY DisjointWith FallMinimisationStrategy PressureUlcerMinimisationStrategy
BINARY is FallRiskAssessment Class
BINARY SubClassOf FallRiskAssessment RiskAssessment
BINARY DisjointWith FallRiskAssessment PressureUlcerRiskAssessment
BINARY is FallRiskAssessmentTool Class
BINARY SubClassOf FallRiskAssessmentTool RiskAssessmentTool
BINARY DisjointWith FallRiskAssessmentTool PressureUlcerRiskAssessmentTool
BINARY is Fibre Class
BINARY SubClassOf Fibre SupportiveSurfaceEquipment
BINARY is Foam Class
BINARY SubClassOf Foam SupportiveSurfaceEquipment
BINARY is FormalRiskAssessment Class
BINARY SubClassOf FormalRiskAssessment PressureUlcerRiskAssessment
BINARY DisjointWith FormalRiskAssessment ClinicalRiskAssessment
BINARY is Gosnell Class
BINARY is HipProtector Class
BINARY SubClassOf HipProtector StructuralDevice
BINARY is HistoryOfFallsFactor Class
BINARY SubClassOf HistoryOfFallsFactor ModifiableRiskFactor
BINARY is HumanRestraint Class
BINARY SubClassOf HumanRestraint ProceduralDevice
BINARY is ImpactReducingFloormat Class
BINARY SubClassOf ImpactReducingFloormat StructuralDevice
BINARY is Innes Class
BINARY SubClassOf Innes NumericalTool
BINARY is Knoll Class
BINARY is LegRestraint Class
BINARY SubClassOf LegRestraint Restraint
BINARY is Lighting Class
BINARY SubClassOf Lighting EnvironmentalFallMinimisationStrategy
BINARY is MedicationModified Class
BINARY SubClassOf MedicationModified ProceduralDevice
BINARY is MedicationsFactor Class
BINARY is MinimisationStrategy Class
BINARY is MobilityAidCalipers Class
BINARY SubClassOf MobilityAidCalipers AssistanceFromMobilityAids
BINARY is MobilityAidCrutches Class
BINARY SubClassOf MobilityAidCrutches AssistanceFromMobilityAids
BINARY is MobilityAidLifter Class
BINARY SubClassOf MobilityAidLifter AssistanceFromMobilityAids
BINARY is MobilityAidProstheticDevice Class
BINARY SubClassOf MobilityAidProstheticDevice AssistanceFromMobilityAids
BINARY is MobilityAidWheelchair Class
BINARY SubClassOf MobilityAidWheelchair AssistanceFromMobilityAids
BINARY is MobilityFactor Class
BINARY is MobilityTransferPlan Class
