BINARY is www.obofoundry.org/ro/ro.# ObjectProperty
BINARY is _birnlex_retired_class Class
BINARY is sao26622963 Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is birnlex_13 Class
BINARY SubClassOf birnlex_13 sao2254405550
BINARY is nlx_subcell_100307 Class
BINARY SubClassOf nlx_subcell_100307 sao280355188
BINARY is nlx_subcell_100312 Class
BINARY SubClassOf nlx_subcell_100312 sao1770195789
BINARY is nlx_subcell_100315 Class
BINARY is nlx_subcell_1005001 Class
BINARY SubClassOf nlx_subcell_1005001 sao1211023249
BINARY is nlx_subcell_1005003 Class
BINARY SubClassOf nlx_subcell_1005003 sao-250931889
BINARY is nlx_subcell_20090106 Class
BINARY SubClassOf nlx_subcell_20090106 sao26622963
BINARY is nlx_subcell_20090203 Class
BINARY SubClassOf nlx_subcell_20090203 sao1770195789
BINARY is nlx_subcell_20090204 Class
BINARY SubClassOf nlx_subcell_20090204 sao1630537580
BINARY is nlx_subcell_20090205 Class
BINARY SubClassOf nlx_subcell_20090205 sao26622963
BINARY is nlx_subcell_20090206 Class
BINARY SubClassOf nlx_subcell_20090206 sao26622963
BINARY is nlx_subcell_20090207 Class
BINARY SubClassOf nlx_subcell_20090207 sao26622963
BINARY is nlx_subcell_20090209 Class
BINARY SubClassOf nlx_subcell_20090209 sao1770195789
BINARY is nlx_subcell_20090210 Class
BINARY SubClassOf nlx_subcell_20090210 sao1770195789
BINARY is nlx_subcell_20090211 Class
BINARY SubClassOf nlx_subcell_20090211 sao26622963
BINARY is nlx_subcell_20090510 Class
BINARY SubClassOf nlx_subcell_20090510 sao280355188
BINARY is nlx_subcell_20090601 Class
BINARY SubClassOf nlx_subcell_20090601 sao1770195789
BINARY is sao-1046371754 Class
BINARY SubClassOf sao-1046371754 sao-250931889
BINARY DisjointWith sao-1046371754 sao1145756102
BINARY DisjointWith sao-1046371754 sao-961694769
BINARY is sao-1067215520 Class
BINARY SubClassOf sao-1067215520 sao-593830697
BINARY is sao-1123256993 Class
BINARY SubClassOf sao-1123256993 sao-593830697
BINARY is sao-1348591767 Class
BINARY SubClassOf sao-1348591767 sao420754792
BINARY is sao-1819020575 Class
BINARY DisjointWith sao-1819020575 sao340271629
BINARY is sao-1828894864 Class
BINARY SubClassOf sao-1828894864 sao340271629
BINARY is sao-188049490 Class
BINARY SubClassOf sao-188049490 sao340271629
BINARY is sao-250931889 Class
BINARY is sao-420949334 Class
