BINARY is www.obofoundry.org/ro/ro.# ObjectProperty
BINARY is _birnlex_retired_class Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is nifext_142 Class
BINARY SubClassOf nifext_142 _birnlex_retired_class
BINARY is birnlex_878 Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is sao26622963 Class
BINARY is birnlex_10 Class
BINARY SubClassOf birnlex_10 _birnlex_retired_class
BINARY is birnlex_1142 Class
BINARY SubClassOf birnlex_1142 _birnlex_retired_class
BINARY is birnlex_1152_2 Class
BINARY SubClassOf birnlex_1152_2 sao-596411490
BINARY is birnlex_13 Class
BINARY SubClassOf birnlex_13 sao2254405550
BINARY is birnlex_2534 Class
BINARY SubClassOf birnlex_2534 birnlex_2537
BINARY DisjointWith birnlex_2534 nlx_sub_1008001
BINARY is birnlex_2536 Class
BINARY SubClassOf birnlex_2536 nlx_subcell_090803
BINARY is birnlex_2537 Class
BINARY SubClassOf birnlex_2537 birnlex_2536
BINARY is birnlex_788 Class
BINARY SubClassOf birnlex_788 _birnlex_retired_class
BINARY DisjointWith birnlex_788 birnlex_888
BINARY DisjointWith birnlex_788 birnlex_879
BINARY is birnlex_846 Class
BINARY SubClassOf birnlex_846 _birnlex_retired_class
BINARY is birnlex_878 Class
BINARY SubClassOf birnlex_878 _birnlex_retired_class
BINARY is birnlex_879 Class
BINARY SubClassOf birnlex_879 _birnlex_retired_class
BINARY DisjointWith birnlex_879 birnlex_888
BINARY DisjointWith birnlex_879 birnlex_788
BINARY is birnlex_886 Class
BINARY SubClassOf birnlex_886 _birnlex_retired_class
BINARY is birnlex_888 Class
BINARY SubClassOf birnlex_888 _birnlex_retired_class
BINARY DisjointWith birnlex_888 birnlex_879
BINARY DisjointWith birnlex_888 birnlex_788
BINARY is nlx_467 Class
BINARY SubClassOf nlx_467 sao1799103720
BINARY is nlx_sub_1008001 Class
BINARY SubClassOf nlx_sub_1008001 birnlex_2537
BINARY DisjointWith nlx_sub_1008001 birnlex_2534
BINARY is nlx_subcell_090803 Class
