BINARY is 000000042 ObjectProperty
BINARY is <https DataProperty
BINARY Domain <https OGMS_0000018
BINARY is 000000028 Class
BINARY SubClassOf 000000028 IAO_0000030
BINARY is <https Class
BINARY SubClassOf <https OGMS_0000083
BINARY is <https Class
BINARY SubClassOf <https OGMS_0000018
BINARY is <https Class
BINARY SubClassOf <https OGMS_0000018
BINARY is <https Class
BINARY SubClassOf <https OGMS_0000018
BINARY is <https Class
BINARY SubClassOf <https OGMS_0000018
BINARY is <https Class
BINARY SubClassOf <https OGMS_0000018
BINARY is <https Class
BINARY SubClassOf <https OGMS_0000018
BINARY is <https Class
BINARY SubClassOf <https OGMS_0000018
BINARY is <https Class
BINARY SubClassOf <https OGMS_0000018
BINARY is <https Class
BINARY SubClassOf <https OGMS_0000018
BINARY is <https Class
BINARY SubClassOf <https OGMS_0000018
BINARY is <https Class
BINARY SubClassOf <https OGMS_0000018
BINARY is <https Class
BINARY SubClassOf <https OGMS_0000018
BINARY is BFO_0000016 Class
BINARY is BFO_0000031 Class
BINARY is IAO_0000027 Class
BINARY SubClassOf IAO_0000027 IAO_0000030
BINARY is IAO_0000030 Class
BINARY SubClassOf IAO_0000030 BFO_0000031
BINARY is OGMS_0000014 Class
BINARY SubClassOf OGMS_0000014 OGMS_0000123
BINARY is OGMS_0000015 Class
BINARY SubClassOf OGMS_0000015 OGMS_0000123
BINARY is OGMS_0000017 Class
BINARY SubClassOf OGMS_0000017 OGMS_0000014
BINARY is OGMS_0000018 Class
BINARY SubClassOf OGMS_0000018 OGMS_0000014,
BINARY SubClassOf OGMS_0000018 000000042_some_OGMS_0000056
BINARY is OGMS_0000031 Class
BINARY SubClassOf OGMS_0000031 BFO_0000016
BINARY is OGMS_0000056 Class
BINARY is OGMS_0000057 Class
BINARY is OGMS_0000073 Class
BINARY SubClassOf OGMS_0000073 OGMS_0000123,
BINARY SubClassOf OGMS_0000073 000000042_some_OGMS_0000104
BINARY is OGMS_0000083 Class
BINARY SubClassOf OGMS_0000083 OGMS_0000014,
BINARY SubClassOf OGMS_0000083 000000042_some_OGMS_0000057
BINARY is OGMS_0000104 Class
BINARY is OGMS_0000123 Class
BINARY is www.w3.org/2002/07/# Class
