BINARY is HIO_0000422 ObjectProperty
BINARY is HIO_0000001 Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is HIO_0000002 Class
BINARY SubClassOf HIO_0000002 HIO_0000001
BINARY is HIO_0000003 Class
BINARY SubClassOf HIO_0000003 HIO_0000001
BINARY is HIO_0000004 Class
BINARY SubClassOf HIO_0000004 HIO_0000071
BINARY is HIO_0000006 Class
BINARY SubClassOf HIO_0000006 HIO_0000086
BINARY is HIO_0000007 Class
BINARY SubClassOf HIO_0000007 HIO_0000086,
BINARY SubClassOf HIO_0000007 HIO_0000422_some_HIO_0000120
BINARY is HIO_0000008 Class
BINARY SubClassOf HIO_0000008 HIO_0000086
BINARY is HIO_0000032 Class
BINARY SubClassOf HIO_0000032 HIO_0000084
BINARY is HIO_0000033 Class
BINARY SubClassOf HIO_0000033 HIO_0000001
BINARY is HIO_0000034 Class
BINARY SubClassOf HIO_0000034 HIO_0000033,
BINARY SubClassOf HIO_0000034 HIO_0000083
BINARY is HIO_0000035 Class
BINARY SubClassOf HIO_0000035 HIO_0000001
BINARY is HIO_0000036 Class
BINARY SubClassOf HIO_0000036 HIO_0000001
BINARY is HIO_0000048 Class
BINARY SubClassOf HIO_0000048 HIO_0000006,
BINARY SubClassOf HIO_0000048 HIO_0000466
BINARY is HIO_0000051 Class
BINARY SubClassOf HIO_0000051 HIO_0000058
BINARY is HIO_0000052 Class
BINARY SubClassOf HIO_0000052 HIO_0000058
BINARY is HIO_0000053 Class
BINARY SubClassOf HIO_0000053 HIO_0000058
BINARY is HIO_0000054 Class
BINARY SubClassOf HIO_0000054 HIO_0000058
BINARY is HIO_0000055 Class
BINARY SubClassOf HIO_0000055 HIO_0000058
BINARY is HIO_0000056 Class
BINARY SubClassOf HIO_0000056 HIO_0000035
BINARY is HIO_0000057 Class
BINARY SubClassOf HIO_0000057 HIO_0000036
BINARY is HIO_0000058 Class
BINARY SubClassOf HIO_0000058 HIO_0000003
BINARY is HIO_0000059 Class
BINARY SubClassOf HIO_0000059 HIO_0000058
