BINARY is TEMP# ObjectProperty
BINARY is IDOMAL_0001061 Class
BINARY is MIRO_40000015 Class
BINARY SubClassOf MIRO_40000015 NCBITaxon_43816
BINARY is MIRO_40000017 Class
BINARY SubClassOf MIRO_40000017 NCBITaxon_7164
BINARY is MIRO_40000018 Class
BINARY SubClassOf MIRO_40000018 NCBITaxon_7164
BINARY is MIRO_40000019 Class
BINARY SubClassOf MIRO_40000019 NCBITaxon_7164
BINARY is MIRO_40000020 Class
BINARY SubClassOf MIRO_40000020 NCBITaxon_7164
BINARY is MIRO_40000021 Class
BINARY SubClassOf MIRO_40000021 NCBITaxon_7164
BINARY is MIRO_40000022 Class
BINARY SubClassOf MIRO_40000022 NCBITaxon_7164
BINARY is MIRO_40000023 Class
BINARY SubClassOf MIRO_40000023 NCBITaxon_7164
BINARY is MIRO_40000024 Class
BINARY SubClassOf MIRO_40000024 NCBITaxon_7164
BINARY is MIRO_40000025 Class
BINARY SubClassOf MIRO_40000025 NCBITaxon_7164
BINARY is MIRO_40000026 Class
BINARY SubClassOf MIRO_40000026 NCBITaxon_7164
BINARY is MIRO_40000027 Class
BINARY SubClassOf MIRO_40000027 NCBITaxon_7164
BINARY is MIRO_40000028 Class
BINARY SubClassOf MIRO_40000028 NCBITaxon_7164
BINARY is MIRO_40000029 Class
BINARY SubClassOf MIRO_40000029 NCBITaxon_7164
BINARY is MIRO_40000030 Class
BINARY SubClassOf MIRO_40000030 NCBITaxon_7164
BINARY is MIRO_40000031 Class
BINARY SubClassOf MIRO_40000031 NCBITaxon_7164
BINARY is MIRO_40000032 Class
BINARY SubClassOf MIRO_40000032 NCBITaxon_7164,
BINARY is has_role_some_IDOMAL_0001061 TEMP#
BINARY is MIRO_40000033 Class
BINARY SubClassOf MIRO_40000033 NCBITaxon_7164
BINARY is MIRO_40000034 Class
BINARY SubClassOf MIRO_40000034 NCBITaxon_7164,
BINARY is has_role_some_IDOMAL_0001061 TEMP#
BINARY is MIRO_40000035 Class
BINARY SubClassOf MIRO_40000035 NCBITaxon_7164
BINARY is MIRO_40000036 Class
BINARY SubClassOf MIRO_40000036 NCBITaxon_7164
BINARY is MIRO_40000037 Class
BINARY SubClassOf MIRO_40000037 NCBITaxon_7164
BINARY is MIRO_40000038 Class
BINARY SubClassOf MIRO_40000038 NCBITaxon_7164,
BINARY is has_role_some_IDOMAL_0001061 TEMP#
BINARY is MIRO_40000039 Class
BINARY SubClassOf MIRO_40000039 NCBITaxon_7164
BINARY is MIRO_40000040 Class
BINARY SubClassOf MIRO_40000040 NCBITaxon_7164
BINARY is MIRO_40000041 Class
BINARY SubClassOf MIRO_40000041 NCBITaxon_7164
BINARY is MIRO_40000042 Class
BINARY SubClassOf MIRO_40000042 NCBITaxon_7164
BINARY is MIRO_40000043 Class
BINARY SubClassOf MIRO_40000043 NCBITaxon_7164
BINARY is MIRO_40000044 Class
BINARY SubClassOf MIRO_40000044 NCBITaxon_7164
BINARY is MIRO_40000045 Class
BINARY SubClassOf MIRO_40000045 NCBITaxon_7164
BINARY is MIRO_40000046 Class
BINARY SubClassOf MIRO_40000046 NCBITaxon_7164
BINARY is MIRO_40000047 Class
BINARY SubClassOf MIRO_40000047 NCBITaxon_7164
BINARY is MIRO_40000048 Class
BINARY SubClassOf MIRO_40000048 NCBITaxon_7164
BINARY is MIRO_40000049 Class
BINARY SubClassOf MIRO_40000049 NCBITaxon_7164
BINARY is MIRO_40000050 Class
BINARY SubClassOf MIRO_40000050 NCBITaxon_7164
BINARY is MIRO_40000051 Class
BINARY SubClassOf MIRO_40000051 NCBITaxon_7164
BINARY is MIRO_40000052 Class
BINARY SubClassOf MIRO_40000052 NCBITaxon_7164
BINARY is MIRO_40000053 Class
BINARY SubClassOf MIRO_40000053 NCBITaxon_7164
BINARY is MIRO_40000054 Class
BINARY SubClassOf MIRO_40000054 NCBITaxon_7164,
BINARY is has_role_some_IDOMAL_0001061 TEMP#
BINARY is MIRO_40000055 Class
BINARY SubClassOf MIRO_40000055 NCBITaxon_7164
BINARY is MIRO_40000056 Class
BINARY SubClassOf MIRO_40000056 NCBITaxon_7164
BINARY is MIRO_40000057 Class
BINARY SubClassOf MIRO_40000057 NCBITaxon_7164
BINARY is MIRO_40000058 Class
BINARY SubClassOf MIRO_40000058 NCBITaxon_7164,
BINARY is has_role_some_IDOMAL_0001061 TEMP#
BINARY is MIRO_40000059 Class
BINARY SubClassOf MIRO_40000059 NCBITaxon_7164
BINARY is MIRO_40000060 Class
BINARY SubClassOf MIRO_40000060 NCBITaxon_7164
BINARY is MIRO_40000061 Class
BINARY SubClassOf MIRO_40000061 NCBITaxon_7164
BINARY is MIRO_40000062 Class
BINARY SubClassOf MIRO_40000062 NCBITaxon_7164
BINARY is MIRO_40000063 Class
BINARY SubClassOf MIRO_40000063 NCBITaxon_7164
BINARY is MIRO_40000064 Class
BINARY SubClassOf MIRO_40000064 NCBITaxon_7164
BINARY is MIRO_40000065 Class
BINARY SubClassOf MIRO_40000065 NCBITaxon_7164
BINARY is MIRO_40000067 Class
BINARY SubClassOf MIRO_40000067 MIRO_40003480
BINARY is MIRO_40000071 Class
BINARY SubClassOf MIRO_40000071 NCBITaxon_44543,
BINARY is has_role_some_IDOMAL_0001061 TEMP#
BINARY is MIRO_40000072 Class
BINARY SubClassOf MIRO_40000072 NCBITaxon_7164
BINARY is MIRO_40000073 Class
BINARY SubClassOf MIRO_40000073 NCBITaxon_7164
BINARY is MIRO_40000074 Class
BINARY SubClassOf MIRO_40000074 NCBITaxon_7164
BINARY is MIRO_40000075 Class
BINARY SubClassOf MIRO_40000075 NCBITaxon_7164
BINARY is MIRO_40000076 Class
BINARY SubClassOf MIRO_40000076 NCBITaxon_7164
BINARY is MIRO_40000077 Class
BINARY SubClassOf MIRO_40000077 NCBITaxon_7164
BINARY is MIRO_40000078 Class
BINARY SubClassOf MIRO_40000078 NCBITaxon_7164,
BINARY is has_role_some_IDOMAL_0001061 TEMP#
BINARY is MIRO_40000079 Class
BINARY SubClassOf MIRO_40000079 NCBITaxon_7164
BINARY is MIRO_40000080 Class
BINARY SubClassOf MIRO_40000080 NCBITaxon_7164
BINARY is MIRO_40000081 Class
BINARY SubClassOf MIRO_40000081 NCBITaxon_7164
BINARY is MIRO_40000082 Class
BINARY SubClassOf MIRO_40000082 NCBITaxon_7164
BINARY is MIRO_40000083 Class
BINARY SubClassOf MIRO_40000083 NCBITaxon_7164
BINARY is MIRO_40000084 Class
BINARY SubClassOf MIRO_40000084 NCBITaxon_7164
BINARY is MIRO_40000085 Class
BINARY SubClassOf MIRO_40000085 NCBITaxon_7164
BINARY is MIRO_40000086 Class
BINARY SubClassOf MIRO_40000086 NCBITaxon_7164
BINARY is MIRO_40000087 Class
BINARY SubClassOf MIRO_40000087 NCBITaxon_7164
BINARY is MIRO_40000088 Class
BINARY SubClassOf MIRO_40000088 NCBITaxon_7164
BINARY is MIRO_40000089 Class
BINARY SubClassOf MIRO_40000089 NCBITaxon_7164
BINARY is MIRO_40000090 Class
BINARY SubClassOf MIRO_40000090 NCBITaxon_7164,
BINARY is has_role_some_IDOMAL_0001061 TEMP#
BINARY is MIRO_40000091 Class
BINARY SubClassOf MIRO_40000091 NCBITaxon_7164
BINARY is MIRO_40000092 Class
BINARY SubClassOf MIRO_40000092 NCBITaxon_7164
BINARY is MIRO_40000093 Class
BINARY SubClassOf MIRO_40000093 NCBITaxon_7164
BINARY is MIRO_40000094 Class
BINARY SubClassOf MIRO_40000094 NCBITaxon_7164
BINARY is MIRO_40000095 Class
BINARY SubClassOf MIRO_40000095 NCBITaxon_7164
BINARY is MIRO_40000096 Class
BINARY SubClassOf MIRO_40000096 NCBITaxon_7164
BINARY is MIRO_40000097 Class
BINARY SubClassOf MIRO_40000097 NCBITaxon_7164
BINARY is MIRO_40000098 Class
BINARY SubClassOf MIRO_40000098 NCBITaxon_7164
BINARY is MIRO_40000099 Class
BINARY SubClassOf MIRO_40000099 NCBITaxon_7164
BINARY is MIRO_40000100 Class
BINARY SubClassOf MIRO_40000100 NCBITaxon_7164
BINARY is MIRO_40000101 Class
BINARY SubClassOf MIRO_40000101 NCBITaxon_7164
BINARY is MIRO_40000102 Class
BINARY SubClassOf MIRO_40000102 NCBITaxon_7164
BINARY is MIRO_40000103 Class
BINARY SubClassOf MIRO_40000103 NCBITaxon_7164
BINARY is MIRO_40000104 Class
BINARY SubClassOf MIRO_40000104 NCBITaxon_7164
BINARY is MIRO_40000105 Class
BINARY SubClassOf MIRO_40000105 NCBITaxon_7164
BINARY is MIRO_40000106 Class
BINARY SubClassOf MIRO_40000106 NCBITaxon_7164
BINARY is MIRO_40000107 Class
BINARY SubClassOf MIRO_40000107 NCBITaxon_7164
BINARY is MIRO_40000108 Class
BINARY SubClassOf MIRO_40000108 NCBITaxon_7164
BINARY is MIRO_40000109 Class
BINARY SubClassOf MIRO_40000109 NCBITaxon_7164
BINARY is MIRO_40000110 Class
BINARY SubClassOf MIRO_40000110 NCBITaxon_7164
BINARY is MIRO_40000111 Class
BINARY SubClassOf MIRO_40000111 NCBITaxon_7164
BINARY is MIRO_40000112 Class
BINARY SubClassOf MIRO_40000112 NCBITaxon_7164
BINARY is MIRO_40000113 Class
BINARY SubClassOf MIRO_40000113 NCBITaxon_7164
BINARY is MIRO_40000114 Class
BINARY SubClassOf MIRO_40000114 NCBITaxon_7164
BINARY is MIRO_40000115 Class
BINARY SubClassOf MIRO_40000115 NCBITaxon_7164
BINARY is MIRO_40000116 Class
BINARY SubClassOf MIRO_40000116 NCBITaxon_7164
BINARY is MIRO_40000117 Class
BINARY SubClassOf MIRO_40000117 NCBITaxon_7164
BINARY is MIRO_40000118 Class
BINARY SubClassOf MIRO_40000118 NCBITaxon_7164
