BINARY is RO_0002428 ObjectProperty
BINARY is flow_rate, ro.#
BINARY is shear_force, ro.#
BINARY is shear_force, aeration
BINARY Range shear_force, chemical_uptake,
BINARY Range shear_force, organism_uptake
BINARY is ro.#cell-cell_adhesion_(aggregation) Class
BINARY SubClassOf ro.#cell-cell_adhesion_(aggregation) biofilm_development_stage
BINARY is BFO_0000002 Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is BFO_0000004 Class
BINARY SubClassOf BFO_0000004 BFO_0000002
BINARY is BFO_0000015 Class
BINARY is BFO_0000019 Class
BINARY SubClassOf BFO_0000019 BFO_0000020
BINARY is BFO_0000020 Class
BINARY SubClassOf BFO_0000020 BFO_0000002
BINARY is GO_0008150 Class
BINARY SubClassOf GO_0008150 BFO_0000015
BINARY is GO_0044419 Class
BINARY SubClassOf GO_0044419 GO_0008150
BINARY is GO_0050896 Class
BINARY SubClassOf GO_0050896 GO_0008150
BINARY is GO_0051704 Class
BINARY SubClassOf GO_0051704 GO_0008150
BINARY is GO_0051705 Class
BINARY is ro.# Class
BINARY SubClassOf ro.# biofilm_development_stage
BINARY is ro.# Class
BINARY SubClassOf ro.# biofilm_development_stage
BINARY is ro.# Class
BINARY is ro.# Class
BINARY SubClassOf ro.# physical_object_property
BINARY is ro.# Class
BINARY SubClassOf ro.# environmental_property
BINARY is ro.# Class
BINARY SubClassOf ro.# physical_object_property
BINARY is ro.# Class
BINARY SubClassOf ro.# physical_object_property
BINARY is adhesins Class
BINARY SubClassOf adhesins biological_object_property
BINARY is aeration Class
BINARY SubClassOf aeration physical_object_property
BINARY is antibiotic_resistance Class
BINARY SubClassOf antibiotic_resistance biological_object_property
BINARY is antimicrobial_resistance Class
BINARY SubClassOf antimicrobial_resistance biological_object_property
BINARY is attachment Class
BINARY SubClassOf attachment biofilm_development_stage
BINARY is biofilm_development_stage Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is biological_object_property Class
BINARY SubClassOf biological_object_property BFO_0000019
BINARY is biomass Class
BINARY SubClassOf biomass biological_object_property
BINARY is cell_charge Class
BINARY SubClassOf cell_charge biological_object_property
BINARY is cell_density Class
BINARY SubClassOf cell_density biological_object_property
BINARY is chemical_uptake Class
BINARY SubClassOf chemical_uptake GO_0051705
BINARY is detachment Class
BINARY SubClassOf detachment GO_0051704
BINARY is environmental_property Class
BINARY SubClassOf environmental_property BFO_0000019
BINARY is gas Class
BINARY SubClassOf gas phase_of_matters
BINARY is growth_rate Class
BINARY SubClassOf growth_rate biological_object_property
BINARY is hydrophilicity Class
BINARY SubClassOf hydrophilicity biological_object_property
BINARY is hydrophobicity Class
BINARY SubClassOf hydrophobicity biological_object_property
BINARY is liquid Class
BINARY SubClassOf liquid phase_of_matters
BINARY is maturation_I Class
BINARY SubClassOf maturation_I biofilm_development_stage
BINARY is maturation_II Class
BINARY SubClassOf maturation_II biofilm_development_stage
BINARY is monolayer_microcolony Class
BINARY SubClassOf monolayer_microcolony biofilm_development_stage
BINARY is nutrient_level Class
BINARY is internal_bulk_fluid ro.#
BINARY is organism_uptake Class
BINARY SubClassOf organism_uptake GO_0051705
BINARY is pH Class
BINARY is internal_bulk_fluid ro.#
BINARY is permeability Class
BINARY SubClassOf permeability biological_object_property
BINARY is persister Class
BINARY SubClassOf persister biological_object_property
BINARY is phase_of_matters Class
BINARY SubClassOf phase_of_matters physical_object_property
BINARY is physical_object_property Class
BINARY SubClassOf physical_object_property BFO_0000019
BINARY is potassium Class
BINARY SubClassOf potassium trace_minerals
BINARY is solid Class
BINARY SubClassOf solid phase_of_matters
BINARY is temperature Class
BINARY SubClassOf temperature physical_object_property
BINARY is trace_minerals Class
BINARY is external_bulk_fluid, ro.#
BINARY is external_bulk_fluid, environmental_property
BINARY is vitamins Class
BINARY is external_bulk_fluid, ro.#
BINARY is external_bulk_fluid, environmental_property
BINARY is www.w3.org/2002/07/# Class
