BINARY is float Datatype
BINARY is hasIntensity ObjectProperty
BINARY is isAmountOf ObjectProperty
BINARY Domain isAmountOf Amount
BINARY Range isAmountOf Activity
BINARY is isEffectOf ObjectProperty
BINARY Domain isEffectOf Exercise_effect
BINARY Range isEffectOf Activity
BINARY is isFrequencyOf ObjectProperty
BINARY Domain isFrequencyOf Frequency
BINARY Range isFrequencyOf Activity
BINARY is isIntensityOf ObjectProperty
BINARY Domain isIntensityOf Intensity
BINARY Range isIntensityOf Activity
BINARY is isLocationOf ObjectProperty
BINARY Domain isLocationOf Location
BINARY Range isLocationOf Activity
BINARY is isObservationPeriodOf ObjectProperty
BINARY Domain isObservationPeriodOf Observation_period
BINARY Range isObservationPeriodOf Activity
BINARY is isRegularityOf ObjectProperty
BINARY Domain isRegularityOf Regularity
BINARY Range isRegularityOf Activity
BINARY is isRequiredConditionOf ObjectProperty
BINARY Domain isRequiredConditionOf Required_condition
BINARY Range isRequiredConditionOf Activity
BINARY is isSpeedOf ObjectProperty
BINARY Domain isSpeedOf Speed
BINARY Range isSpeedOf Activity
BINARY is isUnitOfMeasureOf ObjectProperty
BINARY Domain isUnitOfMeasureOf Unit_of_measure
BINARY Range isUnitOfMeasureOf Activity
BINARY is hasTotalAmountMin DataProperty
BINARY is Activity Class
BINARY SubClassOf Activity PACO
BINARY is Amount Class
BINARY SubClassOf Amount Modifier
BINARY is Brisk Class
BINARY SubClassOf Brisk Speed
BINARY is By_distance Class
BINARY SubClassOf By_distance Amount
BINARY is By_duration Class
BINARY SubClassOf By_duration Amount
BINARY is By_hour Class
BINARY SubClassOf By_hour By_duration
BINARY is By_minute Class
BINARY SubClassOf By_minute By_duration
BINARY is By_repetition Class
BINARY SubClassOf By_repetition Amount
BINARY is Cardiovascular_fitness Class
BINARY SubClassOf Cardiovascular_fitness Exercise_program
BINARY is Daily_living_activity Class
BINARY is Day Class
BINARY SubClassOf Day Temporal_unit
BINARY is Distance_unit Class
BINARY SubClassOf Distance_unit Unit_of_measure
BINARY is Elastic_band Class
BINARY SubClassOf Elastic_band Exercise_equipment
BINARY is Exercise_effect Class
BINARY SubClassOf Exercise_effect PACO
BINARY is Exercise_equipment Class
BINARY SubClassOf Exercise_equipment PACO
BINARY is Exercise_leisure_activity Class
BINARY is Exercise_program Class
BINARY SubClassOf Exercise_program PACO
BINARY is Fast Class
BINARY SubClassOf Fast Speed
BINARY is Free_weights Class
BINARY SubClassOf Free_weights Exercise_equipment
BINARY is Frequency Class
BINARY SubClassOf Frequency Modifier
BINARY is Ground Class
BINARY SubClassOf Ground Required_condition
BINARY is Hour Class
BINARY SubClassOf Hour Temporal_unit
BINARY is Ice Class
BINARY SubClassOf Ice Required_condition
BINARY is Improved_body_balance Class
BINARY SubClassOf Improved_body_balance Exercise_effect
BINARY is Improved_posture Class
BINARY SubClassOf Improved_posture Exercise_effect
BINARY is Improved_range_of_motion Class
BINARY SubClassOf Improved_range_of_motion Exercise_effect
BINARY is Increased_bone_strength Class
BINARY SubClassOf Increased_bone_strength Exercise_effect
BINARY is Increased_breathing Class
BINARY SubClassOf Increased_breathing Exercise_effect
BINARY is Increased_heart_rate Class
BINARY SubClassOf Increased_heart_rate Exercise_effect
BINARY is Increased_muscle_strength Class
BINARY SubClassOf Increased_muscle_strength Exercise_effect
BINARY is Indoor Class
BINARY SubClassOf Indoor Location
BINARY DisjointWith Indoor Outdoor
BINARY is Insufficient_activity Class
BINARY equiv Insufficient_activity PACO_and_(((hasIntensity_some_Moderate)_and_(hasTotalAmountMin_some__not_(float[_150.0f])))_or_((hasIntensity_some_Vigorous)_and_(hasTotalAmountMin_some__not_(float[_75.0f])))_or_(hasIntensity_some_Low))
BINARY SubClassOf Insufficient_activity PACO
BINARY is Integrated_fitness Class
BINARY SubClassOf Integrated_fitness Exercise_program
BINARY is Intensity Class
BINARY SubClassOf Intensity Modifier
BINARY is Irregular Class
BINARY SubClassOf Irregular Regularity
BINARY DisjointWith Irregular Regular
BINARY is Location Class
BINARY SubClassOf Location Modifier
BINARY is Low Class
BINARY SubClassOf Low Intensity
BINARY is Meter Class
BINARY SubClassOf Meter Distance_unit
BINARY is Mile Class
BINARY SubClassOf Mile Distance_unit
BINARY is Minute Class
BINARY SubClassOf Minute Temporal_unit
BINARY is Moderate Class
BINARY SubClassOf Moderate Intensity
BINARY is Modifier Class
BINARY SubClassOf Modifier PACO
BINARY is Month Class
BINARY SubClassOf Month Temporal_unit
BINARY is Nordic_track Class
BINARY SubClassOf Nordic_track Exercise_equipment
BINARY is Observation_period Class
BINARY SubClassOf Observation_period Modifier
BINARY is Outdoor Class
BINARY SubClassOf Outdoor Location
BINARY DisjointWith Outdoor Indoor
BINARY is PACO Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is Per_month Class
BINARY SubClassOf Per_month Frequency
BINARY is Per_week Class
