BINARY is encodes ObjectProperty
BINARY is DR1 Class
BINARY SubClassOf DR1 HLA-DRB1,
BINARY SubClassOf DR1 encodes_some_DR1_Chain
BINARY is DR10 Class
BINARY SubClassOf DR10 HLA-DRB1,
BINARY SubClassOf DR10 encodes_some_DR10_Chain
BINARY is DR10_Chain Class
BINARY is DR11 Class
BINARY SubClassOf DR11 DR5,
BINARY SubClassOf DR11 DRB1_111101,
BINARY SubClassOf DR11 encodes_some_DR11_Chain
BINARY is DR11_Chain Class
BINARY is DR12 Class
BINARY SubClassOf DR12 DR5,
BINARY SubClassOf DR12 encodes_some_DR12_Chain
BINARY is DR12_Chain Class
BINARY is DR13 Class
BINARY SubClassOf DR13 DR6,
BINARY SubClassOf DR13 encodes_some_DR13_Chain
BINARY is DR13_Chain Class
BINARY is DR14 Class
BINARY SubClassOf DR14 DR6,
BINARY SubClassOf DR14 encodes_some_DR14_Chain
BINARY is DR14_Chain Class
BINARY is DR15 Class
BINARY SubClassOf DR15 DR2,
BINARY SubClassOf DR15 encodes_some_DR15_Chain
BINARY is DR15_Chain Class
BINARY is DR16 Class
BINARY SubClassOf DR16 DR2,
BINARY SubClassOf DR16 encodes_some_DR16_Chain
BINARY is DR16_Chain Class
BINARY is DR17 Class
BINARY SubClassOf DR17 DR3,
BINARY SubClassOf DR17 encodes_some_DR17_Chain
BINARY is DR17_Chain Class
BINARY is DR18 Class
BINARY SubClassOf DR18 DR3,
BINARY SubClassOf DR18 encodes_some_DR18_Chain
BINARY is DR18_Chain Class
BINARY is DR1_Chain Class
BINARY is DR2 Class
BINARY SubClassOf DR2 HLA-DRB1,
BINARY SubClassOf DR2 encodes_some_DR2_Chain
BINARY is DR2_Chain Class
BINARY is DR3 Class
BINARY SubClassOf DR3 HLA-DRB1,
BINARY SubClassOf DR3 encodes_some_DR3_Chain
BINARY is DR3_Chain Class
BINARY is DR4 Class
BINARY SubClassOf DR4 HLA-DRB1,
BINARY SubClassOf DR4 encodes_some_DR4_Chain
BINARY is DR4_Chain Class
BINARY is DR5 Class
BINARY SubClassOf DR5 HLA-DRB1,
BINARY SubClassOf DR5 encodes_some_DR5_Chain
BINARY is DR5_Chain Class
BINARY is DR6 Class
BINARY SubClassOf DR6 HLA-DRB1
BINARY is DR7 Class
BINARY SubClassOf DR7 HLA-DRB1,
BINARY SubClassOf DR7 encodes_some_DR7_Chain
BINARY is DR7_Chain Class
BINARY is DR8 Class
BINARY SubClassOf DR8 HLA-DRB1,
BINARY SubClassOf DR8 encodes_some_DR8_Chain
BINARY is DR8_Chain Class
BINARY is DR9 Class
BINARY SubClassOf DR9 HLA-DRB1,
BINARY SubClassOf DR9 encodes_some_DR9_Chain
BINARY is DR9_Chain Class
BINARY is DRB1_01 Class
BINARY SubClassOf DRB1_01 HLA-DRB1,
BINARY SubClassOf DRB1_01 encodes_some_DRB1_01_Chain
BINARY is DRB1_0101 Class
BINARY SubClassOf DRB1_0101 DR1,
BINARY SubClassOf DRB1_0101 DRB1_01,
BINARY SubClassOf DRB1_0101 encodes_some_DRB1_0101_Chain
BINARY is DRB1_010101 Class
BINARY SubClassOf DRB1_010101 DRB1_0101
BINARY is DRB1_010102 Class
BINARY SubClassOf DRB1_010102 DRB1_0101
BINARY is DRB1_010103 Class
BINARY SubClassOf DRB1_010103 DRB1_0101
BINARY is DRB1_010104 Class
BINARY SubClassOf DRB1_010104 DRB1_0101
BINARY is DRB1_010105 Class
BINARY SubClassOf DRB1_010105 DRB1_0101
BINARY is DRB1_010106 Class
BINARY SubClassOf DRB1_010106 DRB1_0101
BINARY is DRB1_010107 Class
BINARY SubClassOf DRB1_010107 DRB1_0101
BINARY is DRB1_010108 Class
BINARY SubClassOf DRB1_010108 DRB1_0101
BINARY is DRB1_010109 Class
BINARY SubClassOf DRB1_010109 DRB1_0101
BINARY is DRB1_010110 Class
BINARY SubClassOf DRB1_010110 DRB1_0101
BINARY is DRB1_0101_Chain Class
BINARY is DRB1_0102 Class
BINARY SubClassOf DRB1_0102 DR1,
BINARY SubClassOf DRB1_0102 DRB1_01,
BINARY SubClassOf DRB1_0102 encodes_some_DRB1_0102_Chain
BINARY is DRB1_010201 Class
BINARY SubClassOf DRB1_010201 DRB1_0102
BINARY is DRB1_010202 Class
BINARY SubClassOf DRB1_010202 DRB1_0102
BINARY is DRB1_010203 Class
BINARY SubClassOf DRB1_010203 DRB1_0102
BINARY is DRB1_010204 Class
BINARY SubClassOf DRB1_010204 DRB1_0102
BINARY is DRB1_010205 Class
BINARY SubClassOf DRB1_010205 DRB1_0102
BINARY is DRB1_0102_Chain Class
BINARY is DRB1_0103 Class
BINARY SubClassOf DRB1_0103 DR1,
BINARY SubClassOf DRB1_0103 DRB1_01,
BINARY SubClassOf DRB1_0103 encodes_some_DRB1_0103_Chain
BINARY is DRB1_0103_Chain Class
BINARY is DRB1_0104 Class
BINARY SubClassOf DRB1_0104 DR1,
BINARY SubClassOf DRB1_0104 DRB1_01,
BINARY SubClassOf DRB1_0104 encodes_some_DRB1_0104_Chain
BINARY is DRB1_0104_Chain Class
BINARY is DRB1_0105 Class
BINARY SubClassOf DRB1_0105 DR1,
BINARY SubClassOf DRB1_0105 DRB1_01,
BINARY SubClassOf DRB1_0105 encodes_some_DRB1_0105_Chain
BINARY is DRB1_0105_Chain Class
BINARY is DRB1_0106 Class
BINARY SubClassOf DRB1_0106 DR1,
BINARY SubClassOf DRB1_0106 DRB1_01,
BINARY SubClassOf DRB1_0106 encodes_some_DRB1_0106_Chain
BINARY is DRB1_0106_Chain Class
BINARY is DRB1_0107 Class
BINARY SubClassOf DRB1_0107 DR1,
BINARY SubClassOf DRB1_0107 DRB1_01,
BINARY SubClassOf DRB1_0107 encodes_some_DRB1_0107_Chain
BINARY is DRB1_0107_Chain Class
BINARY is DRB1_0108 Class
BINARY SubClassOf DRB1_0108 DR1,
BINARY SubClassOf DRB1_0108 DRB1_01,
BINARY SubClassOf DRB1_0108 encodes_some_DRB1_0108_Chain
BINARY is DRB1_0108_Chain Class
BINARY is DRB1_0109 Class
BINARY SubClassOf DRB1_0109 DR1,
BINARY SubClassOf DRB1_0109 DRB1_01,
BINARY SubClassOf DRB1_0109 encodes_some_DRB1_0109_Chain
BINARY is DRB1_0109_Chain Class
BINARY is DRB1_0110 Class
BINARY SubClassOf DRB1_0110 DR1,
BINARY SubClassOf DRB1_0110 DRB1_01,
BINARY SubClassOf DRB1_0110 encodes_some_DRB1_0110_Chain
BINARY is DRB1_0110_Chain Class
BINARY is DRB1_0111 Class
BINARY SubClassOf DRB1_0111 DR1,
BINARY SubClassOf DRB1_0111 DRB1_01,
BINARY SubClassOf DRB1_0111 encodes_some_DRB1_0111_Chain
BINARY is DRB1_0111_Chain Class
BINARY is DRB1_0112 Class
BINARY SubClassOf DRB1_0112 DRB1_01,
BINARY SubClassOf DRB1_0112 encodes_some_DRB1_0112_Chain
BINARY is DRB1_0112_Chain Class
BINARY is DRB1_0113 Class
BINARY SubClassOf DRB1_0113 DRB1_01,
BINARY SubClassOf DRB1_0113 encodes_some_DRB1_0113_Chain
BINARY is DRB1_0113_Chain Class
BINARY is DRB1_0114 Class
BINARY SubClassOf DRB1_0114 DRB1_01,
BINARY SubClassOf DRB1_0114 encodes_some_DRB1_0114_Chain
BINARY is DRB1_0114_Chain Class
BINARY is DRB1_0115 Class
BINARY SubClassOf DRB1_0115 DRB1_01,
BINARY SubClassOf DRB1_0115 encodes_some_DRB1_0115_Chain
BINARY is DRB1_0115_Chain Class
BINARY is DRB1_0116 Class
BINARY SubClassOf DRB1_0116 DRB1_01,
BINARY SubClassOf DRB1_0116 encodes_some_DRB1_0116_Chain
BINARY is DRB1_0116_Chain Class
BINARY is DRB1_0117 Class
BINARY SubClassOf DRB1_0117 DRB1_01,
BINARY SubClassOf DRB1_0117 encodes_some_DRB1_0117_Chain
BINARY is DRB1_0117_Chain Class
BINARY is DRB1_0118 Class
BINARY SubClassOf DRB1_0118 DRB1_01,
BINARY SubClassOf DRB1_0118 encodes_some_DRB1_0118_Chain
BINARY is DRB1_0118_Chain Class
BINARY is DRB1_0119 Class
BINARY SubClassOf DRB1_0119 DRB1_01,
BINARY SubClassOf DRB1_0119 encodes_some_DRB1_0119_Chain
BINARY is DRB1_0119_Chain Class
BINARY is DRB1_0120 Class
BINARY SubClassOf DRB1_0120 DRB1_01,
BINARY SubClassOf DRB1_0120 encodes_some_DRB1_0120_Chain
BINARY is DRB1_0120_Chain Class
BINARY is DRB1_0121 Class
BINARY SubClassOf DRB1_0121 DRB1_01,
BINARY SubClassOf DRB1_0121 encodes_some_DRB1_0121_Chain
BINARY is DRB1_0121_Chain Class
BINARY is DRB1_0122 Class
BINARY SubClassOf DRB1_0122 DRB1_01,
BINARY SubClassOf DRB1_0122 encodes_some_DRB1_0122_Chain
BINARY is DRB1_0122_Chain Class
BINARY is DRB1_01_Chain Class
BINARY is DRB1_03 Class
BINARY SubClassOf DRB1_03 HLA-DRB1,
BINARY SubClassOf DRB1_03 encodes_some_DRB1_03_Chain
BINARY is DRB1_0301 Class
BINARY SubClassOf DRB1_0301 DR17,
BINARY SubClassOf DRB1_0301 DRB1_03,
BINARY SubClassOf DRB1_0301 encodes_some_DRB1_0301_Chain
BINARY is DRB1_030101 Class
BINARY SubClassOf DRB1_030101 DRB1_0301
BINARY is DRB1_03010101 Class
BINARY SubClassOf DRB1_03010101 DRB1_030101
BINARY is DRB1_03010102 Class
BINARY SubClassOf DRB1_03010102 DRB1_030101
BINARY is DRB1_030102 Class
BINARY SubClassOf DRB1_030102 DRB1_0301
BINARY is DRB1_030103 Class
BINARY SubClassOf DRB1_030103 DRB1_0301
BINARY is DRB1_030104 Class
BINARY SubClassOf DRB1_030104 DRB1_0301
BINARY is DRB1_030105 Class
BINARY SubClassOf DRB1_030105 DRB1_0301
BINARY is DRB1_030106 Class
BINARY SubClassOf DRB1_030106 DRB1_0301
BINARY is DRB1_030107 Class
BINARY SubClassOf DRB1_030107 DRB1_0301
BINARY is DRB1_0301_Chain Class
BINARY is DRB1_0302 Class
BINARY SubClassOf DRB1_0302 DR18,
BINARY SubClassOf DRB1_0302 DRB1_03,
BINARY SubClassOf DRB1_0302 encodes_some_DRB1_0302_Chain
BINARY is DRB1_030201 Class
BINARY SubClassOf DRB1_030201 DRB1_0302
BINARY is DRB1_030202 Class
BINARY SubClassOf DRB1_030202 DRB1_0302
BINARY is DRB1_0302_Chain Class
BINARY is DRB1_0303 Class
BINARY SubClassOf DRB1_0303 DR18,
BINARY SubClassOf DRB1_0303 DRB1_03,
BINARY SubClassOf DRB1_0303 encodes_some_DRB1_0303_Chain
BINARY is DRB1_0303_Chain Class
BINARY is DRB1_0304 Class
BINARY SubClassOf DRB1_0304 DR17,
BINARY SubClassOf DRB1_0304 DRB1_03,
BINARY SubClassOf DRB1_0304 encodes_some_DRB1_0304_Chain
BINARY is DRB1_0304_Chain Class
BINARY is DRB1_0305 Class
BINARY SubClassOf DRB1_0305 DR17,
BINARY SubClassOf DRB1_0305 DRB1_03,
BINARY SubClassOf DRB1_0305 encodes_some_DRB1_0305_Chain
BINARY is DRB1_030501 Class
BINARY SubClassOf DRB1_030501 DRB1_0305
BINARY is DRB1_030502 Class
BINARY SubClassOf DRB1_030502 DRB1_0305
BINARY is DRB1_030503 Class
BINARY SubClassOf DRB1_030503 DRB1_0305
BINARY is DRB1_0305_Chain Class
BINARY is DRB1_0306 Class
BINARY SubClassOf DRB1_0306 DR3,
BINARY SubClassOf DRB1_0306 DRB1_03,
BINARY SubClassOf DRB1_0306 encodes_some_DRB1_0306_Chain
BINARY is DRB1_0306_Chain Class
BINARY is DRB1_0307 Class
BINARY SubClassOf DRB1_0307 DR3,
BINARY SubClassOf DRB1_0307 DRB1_03,
BINARY SubClassOf DRB1_0307 encodes_some_DRB1_0307_Chain
BINARY is DRB1_0307_Chain Class
BINARY is DRB1_0308 Class
BINARY SubClassOf DRB1_0308 DR3,
BINARY SubClassOf DRB1_0308 DRB1_03,
BINARY SubClassOf DRB1_0308 encodes_some_DRB1_0308_Chain
BINARY is DRB1_0308_Chain Class
BINARY is DRB1_0309 Class
BINARY SubClassOf DRB1_0309 DR3,
BINARY SubClassOf DRB1_0309 DRB1_03,
BINARY SubClassOf DRB1_0309 encodes_some_DRB1_0309_Chain
BINARY is DRB1_0309_Chain Class
BINARY is DRB1_0310 Class
BINARY SubClassOf DRB1_0310 DR17,
BINARY SubClassOf DRB1_0310 DRB1_03,
BINARY SubClassOf DRB1_0310 encodes_some_DRB1_0310_Chain
BINARY is DRB1_0310_Chain Class
BINARY is DRB1_0311 Class
BINARY SubClassOf DRB1_0311 DR17,
BINARY SubClassOf DRB1_0311 DRB1_03,
BINARY SubClassOf DRB1_0311 encodes_some_DRB1_0311_Chain
BINARY is DRB1_0311_Chain Class
BINARY is DRB1_0312 Class
BINARY SubClassOf DRB1_0312 DR3,
BINARY SubClassOf DRB1_0312 DRB1_03,
BINARY SubClassOf DRB1_0312 encodes_some_DRB1_0312_Chain
BINARY is DRB1_0312_Chain Class
BINARY is DRB1_0313 Class
BINARY SubClassOf DRB1_0313 DR3,
BINARY SubClassOf DRB1_0313 DRB1_03,
BINARY SubClassOf DRB1_0313 encodes_some_DRB1_0313_Chain
BINARY is DRB1_031301 Class
BINARY SubClassOf DRB1_031301 DRB1_0313
BINARY is DRB1_031302 Class
BINARY SubClassOf DRB1_031302 DRB1_0313
BINARY is DRB1_0313_Chain Class
BINARY is DRB1_0314 Class
BINARY SubClassOf DRB1_0314 DR3,
BINARY SubClassOf DRB1_0314 DRB1_03,
BINARY SubClassOf DRB1_0314 encodes_some_DRB1_0314_Chain
BINARY is DRB1_0314_Chain Class
BINARY is DRB1_0315 Class
BINARY SubClassOf DRB1_0315 DR17,
BINARY SubClassOf DRB1_0315 DRB1_03,
BINARY SubClassOf DRB1_0315 encodes_some_DRB1_0315_Chain
BINARY is DRB1_0315_Chain Class
BINARY is DRB1_0316 Class
BINARY SubClassOf DRB1_0316 DR3,
BINARY SubClassOf DRB1_0316 DRB1_03,
BINARY SubClassOf DRB1_0316 encodes_some_DRB1_0316_Chain
BINARY is DRB1_0316_Chain Class
BINARY is DRB1_0317 Class
BINARY SubClassOf DRB1_0317 DR3,
BINARY SubClassOf DRB1_0317 DRB1_03,
BINARY SubClassOf DRB1_0317 encodes_some_DRB1_0317_Chain
BINARY is DRB1_0317_Chain Class
BINARY is DRB1_0318 Class
BINARY SubClassOf DRB1_0318 DR3,
BINARY SubClassOf DRB1_0318 DRB1_03,
BINARY SubClassOf DRB1_0318 encodes_some_DRB1_0318_Chain
BINARY is DRB1_0318_Chain Class
BINARY is DRB1_0319 Class
BINARY SubClassOf DRB1_0319 DR3,
BINARY SubClassOf DRB1_0319 DRB1_03,
BINARY SubClassOf DRB1_0319 encodes_some_DRB1_0319_Chain
BINARY is DRB1_0319_Chain Class
BINARY is DRB1_0320 Class
BINARY SubClassOf DRB1_0320 DR3,
BINARY SubClassOf DRB1_0320 DRB1_03,
BINARY SubClassOf DRB1_0320 encodes_some_DRB1_0320_Chain
BINARY is DRB1_0320_Chain Class
BINARY is DRB1_0321 Class
BINARY SubClassOf DRB1_0321 DR3,
BINARY SubClassOf DRB1_0321 DRB1_03,
BINARY SubClassOf DRB1_0321 encodes_some_DRB1_0321_Chain
BINARY is DRB1_0321_Chain Class
BINARY is DRB1_0322 Class
BINARY SubClassOf DRB1_0322 DR3,
BINARY SubClassOf DRB1_0322 DRB1_03,
BINARY SubClassOf DRB1_0322 encodes_some_DRB1_0322_Chain
BINARY is DRB1_0322_Chain Class
BINARY is DRB1_0323 Class
BINARY SubClassOf DRB1_0323 DR3,
BINARY SubClassOf DRB1_0323 DRB1_03,
BINARY SubClassOf DRB1_0323 encodes_some_DRB1_0323_Chain
BINARY is DRB1_0323_Chain Class
BINARY is DRB1_0324 Class
BINARY SubClassOf DRB1_0324 DR3,
BINARY SubClassOf DRB1_0324 DRB1_03,
BINARY SubClassOf DRB1_0324 encodes_some_DRB1_0324_Chain
BINARY is DRB1_0324_Chain Class
BINARY is DRB1_0325 Class
BINARY SubClassOf DRB1_0325 DR3,
BINARY SubClassOf DRB1_0325 DRB1_03,
BINARY SubClassOf DRB1_0325 encodes_some_DRB1_0325_Chain
BINARY is DRB1_0325_Chain Class
BINARY is DRB1_0326 Class
BINARY SubClassOf DRB1_0326 DRB1_03,
BINARY SubClassOf DRB1_0326 encodes_some_DRB1_0326_Chain
BINARY is DRB1_0326_Chain Class
BINARY is DRB1_0327 Class
BINARY SubClassOf DRB1_0327 DRB1_03,
BINARY SubClassOf DRB1_0327 encodes_some_DRB1_0327_Chain
BINARY is DRB1_0327_Chain Class
BINARY is DRB1_0328 Class
BINARY SubClassOf DRB1_0328 DRB1_03,
BINARY SubClassOf DRB1_0328 encodes_some_DRB1_0328_Chain
BINARY is DRB1_0328_Chain Class
BINARY is DRB1_0329 Class
BINARY SubClassOf DRB1_0329 DRB1_03,
BINARY SubClassOf DRB1_0329 encodes_some_DRB1_0329_Chain
BINARY is DRB1_0329_Chain Class
BINARY is DRB1_0330 Class
BINARY SubClassOf DRB1_0330 DRB1_03,
BINARY SubClassOf DRB1_0330 encodes_some_DRB1_0330_Chain
BINARY is DRB1_0330_Chain Class
BINARY is DRB1_0331 Class
BINARY SubClassOf DRB1_0331 DRB1_03,
BINARY SubClassOf DRB1_0331 encodes_some_DRB1_0331_Chain
BINARY is DRB1_0331_Chain Class
BINARY is DRB1_0332 Class
BINARY SubClassOf DRB1_0332 DRB1_03,
BINARY SubClassOf DRB1_0332 encodes_some_DRB1_0332_Chain
BINARY is DRB1_0332_Chain Class
BINARY is DRB1_0333 Class
BINARY SubClassOf DRB1_0333 DRB1_03,
BINARY SubClassOf DRB1_0333 encodes_some_DRB1_0333_Chain
BINARY is DRB1_0333_Chain Class
BINARY is DRB1_0334 Class
BINARY SubClassOf DRB1_0334 DRB1_03,
BINARY SubClassOf DRB1_0334 encodes_some_DRB1_0334_Chain
BINARY is DRB1_0334_Chain Class
BINARY is DRB1_0335 Class
BINARY SubClassOf DRB1_0335 DRB1_03,
BINARY SubClassOf DRB1_0335 encodes_some_DRB1_0335_Chain
BINARY is DRB1_0335_Chain Class
BINARY is DRB1_0336 Class
BINARY SubClassOf DRB1_0336 DRB1_03,
BINARY SubClassOf DRB1_0336 encodes_some_DRB1_0336_Chain
BINARY is DRB1_0336_Chain Class
BINARY is DRB1_0337 Class
BINARY SubClassOf DRB1_0337 DRB1_03,
BINARY SubClassOf DRB1_0337 encodes_some_DRB1_0337_Chain
BINARY is DRB1_0337_Chain Class
BINARY is DRB1_0338 Class
BINARY SubClassOf DRB1_0338 DRB1_03,
BINARY SubClassOf DRB1_0338 encodes_some_DRB1_0338_Chain
BINARY is DRB1_0338_Chain Class
BINARY is DRB1_0339 Class
BINARY SubClassOf DRB1_0339 DRB1_03,
BINARY SubClassOf DRB1_0339 encodes_some_DRB1_0339_Chain
BINARY is DRB1_0339_Chain Class
BINARY is DRB1_0340 Class
BINARY SubClassOf DRB1_0340 DRB1_03,
BINARY SubClassOf DRB1_0340 encodes_some_DRB1_0340_Chain
BINARY is DRB1_0340_Chain Class
BINARY is DRB1_0341 Class
BINARY SubClassOf DRB1_0341 DRB1_03,
BINARY SubClassOf DRB1_0341 encodes_some_DRB1_0341_Chain
