BINARY is BFO_0000053 ObjectProperty
BINARY is CHEBI_10023 Class
BINARY SubClassOf CHEBI_10023 CHEBI_35727,
BINARY SubClassOf CHEBI_10023 CHEBI_37143,
BINARY SubClassOf CHEBI_10023 CHEBI_39447
BINARY is CHEBI_100241 Class
BINARY SubClassOf CHEBI_100241 CHEBI_23765,
BINARY SubClassOf CHEBI_100241 CHEBI_26512,
BINARY SubClassOf CHEBI_100241 CHEBI_36709,
BINARY SubClassOf CHEBI_100241 CHEBI_46848
BINARY is CHEBI_100246 Class
BINARY SubClassOf CHEBI_100246 CHEBI_23765,
BINARY SubClassOf CHEBI_100246 CHEBI_26512,
BINARY SubClassOf CHEBI_100246 CHEBI_46848
BINARY is CHEBI_10100 Class
BINARY SubClassOf CHEBI_10100 CHEBI_24828
BINARY is CHEBI_10102 Class
BINARY SubClassOf CHEBI_10102 CHEBI_18379,
BINARY SubClassOf CHEBI_10102 CHEBI_38669
BINARY is CHEBI_10119 Class
BINARY SubClassOf CHEBI_10119 CHEBI_24829,
BINARY SubClassOf CHEBI_10119 CHEBI_26144,
BINARY SubClassOf CHEBI_10119 CHEBI_36683,
BINARY SubClassOf CHEBI_10119 CHEBI_48902
BINARY is CHEBI_10125 Class
BINARY SubClassOf CHEBI_10125 CHEBI_46908
BINARY is CHEBI_101278 Class
BINARY SubClassOf CHEBI_101278 CHEBI_48684,
BINARY SubClassOf CHEBI_101278 BFO_0000053_some_DRON_00020325
BINARY is CHEBI_119915 Class
BINARY SubClassOf CHEBI_119915 CHEBI_13248,
BINARY SubClassOf CHEBI_119915 CHEBI_26151,
BINARY SubClassOf CHEBI_119915 CHEBI_37622
BINARY is CHEBI_13248 Class
BINARY is CHEBI_16714 Class
BINARY SubClassOf CHEBI_16714 CHEBI_25418,
BINARY SubClassOf CHEBI_16714 CHEBI_38164
BINARY is CHEBI_17334 Class
BINARY SubClassOf CHEBI_17334 CHEBI_25865
BINARY is CHEBI_18379 Class
BINARY is CHEBI_18946 Class
BINARY SubClassOf CHEBI_18946 CHEBI_25000
BINARY is CHEBI_21731 Class
BINARY is CHEBI_22315 Class
BINARY is CHEBI_22327 Class
BINARY is CHEBI_22527 Class
BINARY SubClassOf CHEBI_22527 CHEBI_26401
BINARY is CHEBI_22682 Class
BINARY is CHEBI_22715 Class
BINARY SubClassOf CHEBI_22715 CHEBI_27171,
BINARY SubClassOf CHEBI_22715 CHEBI_38101
