BINARY is OCE_0000012 ObjectProperty
BINARY is CHEBI_24432 Class
BINARY is CHEBI_27081 Class
BINARY is CHEBI_33330 Class
BINARY SubClassOf CHEBI_33330 CHEBI_33561
BINARY is CHEBI_33331 Class
BINARY SubClassOf CHEBI_33331 CHEBI_33561
BINARY is CHEBI_33340 Class
BINARY SubClassOf CHEBI_33340 CHEBI_33561
BINARY is CHEBI_33345 Class
BINARY SubClassOf CHEBI_33345 CHEBI_33561
BINARY is CHEBI_33347 Class
BINARY SubClassOf CHEBI_33347 CHEBI_33561
BINARY is CHEBI_33350 Class
BINARY SubClassOf CHEBI_33350 CHEBI_33561
BINARY is CHEBI_33352 Class
BINARY SubClassOf CHEBI_33352 CHEBI_33561
BINARY is CHEBI_33356 Class
BINARY SubClassOf CHEBI_33356 CHEBI_33561
BINARY is CHEBI_33358 Class
BINARY SubClassOf CHEBI_33358 CHEBI_33561
BINARY is CHEBI_33362 Class
BINARY SubClassOf CHEBI_33362 CHEBI_33561
BINARY is CHEBI_33366 Class
BINARY SubClassOf CHEBI_33366 CHEBI_33561
BINARY is CHEBI_33382 Class
BINARY SubClassOf CHEBI_33382 CHEBI_33561
BINARY is CHEBI_33397 Class
BINARY SubClassOf CHEBI_33397 CHEBI_33561
BINARY is CHEBI_33521 Class
BINARY SubClassOf CHEBI_33521 CHEBI_33358
BINARY is CHEBI_33561 Class
BINARY equiv CHEBI_33561 OCE_0000012_some_OCE_0000009
BINARY SubClassOf CHEBI_33561 CHEBI_27081,
BINARY SubClassOf CHEBI_33561 CHEBI_33521,
BINARY SubClassOf CHEBI_33561 OCE_0000012_some_OCE_0000009,
BINARY SubClassOf CHEBI_33561 OCE_0000012_some
BINARY SubClassOf CHEBI_33561 (CHEBI_50903_and_OCE_0000009),
BINARY SubClassOf CHEBI_33561 OCE_0000012_only_CHEBI_50903
BINARY DisjointWith CHEBI_33561 OCE_0000012_some_OCE_0000009
BINARY is CHEBI_50903 Class
BINARY SubClassOf CHEBI_50903 CHEBI_52209
BINARY DisjointWith CHEBI_50903 OCE_0000009
BINARY is CHEBI_52209 Class
BINARY is CHEBI_52211 Class
BINARY SubClassOf CHEBI_52211 CHEBI_24432
BINARY is CHEBI_76969 Class
BINARY is CHEBI_76971 Class
BINARY SubClassOf CHEBI_76971 CHEBI_76969
BINARY is CHEBI_78295 Class
BINARY SubClassOf CHEBI_78295 CHEBI_52211
BINARY is OCE_0000009 Class
BINARY DisjointWith OCE_0000009 CHEBI_50903
BINARY is www.w3.org/2002/07/# Class
