BINARY is BFO_0000162 ObjectProperty
BINARY is CHEBI_139588 Class
BINARY SubClassOf CHEBI_139588 CHEBI_52395
BINARY is CHEBI_15379 Class
BINARY SubClassOf CHEBI_15379 CHEBI_23367
BINARY is CHEBI_15734 Class
BINARY SubClassOf CHEBI_15734 CHEBI_30879
BINARY is CHEBI_15882 Class
BINARY SubClassOf CHEBI_15882 CHEBI_33853
BINARY is CHEBI_16134 Class
BINARY SubClassOf CHEBI_16134 CHEBI_23367
BINARY is CHEBI_16227 Class
BINARY SubClassOf CHEBI_16227 CHEBI_26421
BINARY is CHEBI_16240 Class
BINARY SubClassOf CHEBI_16240 CHEBI_23367
BINARY is CHEBI_16385 Class
BINARY SubClassOf CHEBI_16385 CHEBI_23367
BINARY is CHEBI_16526 Class
BINARY SubClassOf CHEBI_16526 CHEBI_23014
BINARY is CHEBI_16648 Class
BINARY SubClassOf CHEBI_16648 CHEBI_22324
BINARY is CHEBI_16670 Class
BINARY SubClassOf CHEBI_16670 CHEBI_37622
BINARY is CHEBI_16842 Class
BINARY SubClassOf CHEBI_16842 CHEBI_17478
BINARY is CHEBI_17087 Class
BINARY SubClassOf CHEBI_17087 CHEBI_36587
BINARY is CHEBI_17245 Class
BINARY SubClassOf CHEBI_17245 CHEBI_23014
BINARY is CHEBI_172874 Class
BINARY SubClassOf CHEBI_172874 CHEBI_25713
BINARY is CHEBI_17478 Class
BINARY SubClassOf CHEBI_17478 CHEBI_36587
BINARY is CHEBI_17792 Class
BINARY SubClassOf CHEBI_17792 CHEBI_37578
BINARY is CHEBI_17883 Class
BINARY SubClassOf CHEBI_17883 CHEBI_18140
BINARY is CHEBI_17997 Class
BINARY SubClassOf CHEBI_17997 CHEBI_23367
BINARY is CHEBI_18140 Class
BINARY SubClassOf CHEBI_18140 CHEBI_23367
BINARY is CHEBI_18310 Class
BINARY SubClassOf CHEBI_18310 CHEBI_23367
BINARY DisjointWith CHEBI_18310 MOP_0000717
BINARY is CHEBI_18379 Class
BINARY SubClassOf CHEBI_18379 CHEBI_23424
BINARY is CHEBI_22213 Class
BINARY SubClassOf CHEBI_22213 CHEBI_35293,
BINARY SubClassOf CHEBI_22213 CHEBI_38101
BINARY is CHEBI_22324 Class
BINARY SubClassOf CHEBI_22324 CHEBI_25703
BINARY is CHEBI_22339 Class
BINARY SubClassOf CHEBI_22339 CHEBI_23367
BINARY is CHEBI_22495 Class
BINARY SubClassOf CHEBI_22495 CHEBI_17478
BINARY is CHEBI_22680 Class
BINARY SubClassOf CHEBI_22680 CHEBI_23367
BINARY is CHEBI_22698 Class
BINARY SubClassOf CHEBI_22698 CHEBI_17478
BINARY is CHEBI_22715 Class
BINARY SubClassOf CHEBI_22715 CHEBI_23367
BINARY is CHEBI_23014 Class
BINARY SubClassOf CHEBI_23014 CHEBI_36963
BINARY is CHEBI_23086 Class
BINARY SubClassOf CHEBI_23086 CHEBI_23367
BINARY is CHEBI_23252 Class
BINARY SubClassOf CHEBI_23252 CHEBI_23367
BINARY is CHEBI_23367 Class
BINARY SubClassOf CHEBI_23367 CHEBI_24431
BINARY DisjointWith CHEBI_23367 CHEBI_24433
BINARY is CHEBI_23424 Class
BINARY SubClassOf CHEBI_23424 CHEBI_35352
BINARY is CHEBI_24043 Class
BINARY SubClassOf CHEBI_24043 CHEBI_38104
BINARY is CHEBI_24079 Class
BINARY SubClassOf CHEBI_24079 CHEBI_35636
BINARY is CHEBI_24129 Class
BINARY SubClassOf CHEBI_24129 CHEBI_38104
BINARY is CHEBI_24431 Class
BINARY is CHEBI_24433 Class
BINARY DisjointWith CHEBI_24433 CHEBI_23367
BINARY is CHEBI_24469 Class
BINARY SubClassOf CHEBI_24469 CHEBI_24472
BINARY is CHEBI_24472 Class
BINARY SubClassOf CHEBI_24472 CHEBI_17792
BINARY is CHEBI_24828 Class
BINARY SubClassOf CHEBI_24828 CHEBI_35293,
BINARY SubClassOf CHEBI_24828 CHEBI_38101
BINARY is CHEBI_25000 Class
BINARY SubClassOf CHEBI_25000 CHEBI_38104
BINARY is CHEBI_25698 Class
BINARY SubClassOf CHEBI_25698 CHEBI_36963
BINARY is CHEBI_25703 Class
BINARY SubClassOf CHEBI_25703 CHEBI_25710
BINARY is CHEBI_25707 Class
BINARY SubClassOf CHEBI_25707 CHEBI_23367
BINARY is CHEBI_25710 Class
BINARY SubClassOf CHEBI_25710 CHEBI_23367
BINARY is CHEBI_25713 Class
BINARY SubClassOf CHEBI_25713 CHEBI_23367
BINARY is CHEBI_25717 Class
BINARY SubClassOf CHEBI_25717 CHEBI_23367
BINARY is CHEBI_25750 Class
BINARY SubClassOf CHEBI_25750 CHEBI_23367
BINARY is CHEBI_25996 Class
BINARY SubClassOf CHEBI_25996 CHEBI_23367
BINARY is CHEBI_2634 Class
BINARY SubClassOf CHEBI_2634 CHEBI_23367
BINARY is CHEBI_26407 Class
BINARY SubClassOf CHEBI_26407 CHEBI_38104
BINARY is CHEBI_26410 Class
BINARY SubClassOf CHEBI_26410 CHEBI_38101
BINARY is CHEBI_26421 Class
BINARY SubClassOf CHEBI_26421 CHEBI_38101
BINARY is CHEBI_26455 Class
BINARY SubClassOf CHEBI_26455 CHEBI_38101
BINARY is CHEBI_26513 Class
BINARY SubClassOf CHEBI_26513 CHEBI_38101
BINARY is CHEBI_26519 Class
BINARY SubClassOf CHEBI_26519 CHEBI_23367
BINARY is CHEBI_26588 Class
BINARY SubClassOf CHEBI_26588 CHEBI_38101
BINARY is CHEBI_26878 Class
BINARY SubClassOf CHEBI_26878 CHEBI_30879
BINARY is CHEBI_26961 Class
BINARY SubClassOf CHEBI_26961 CHEBI_38106
BINARY is CHEBI_27539 Class
BINARY SubClassOf CHEBI_27539 CHEBI_24828
BINARY is CHEBI_278547 Class
BINARY SubClassOf CHEBI_278547 CHEBI_23367
BINARY is CHEBI_28802 Class
BINARY SubClassOf CHEBI_28802 CHEBI_38104
BINARY is CHEBI_29224 Class
BINARY SubClassOf CHEBI_29224 CHEBI_23367
BINARY is CHEBI_29256 Class
BINARY SubClassOf CHEBI_29256 CHEBI_23367
BINARY is CHEBI_29312 Class
BINARY SubClassOf CHEBI_29312 CHEBI_23367
BINARY is CHEBI_30096 Class
BINARY SubClassOf CHEBI_30096 CHEBI_23367
BINARY is CHEBI_30879 Class
BINARY SubClassOf CHEBI_30879 CHEBI_33822
BINARY is CHEBI_31697 Class
BINARY SubClassOf CHEBI_31697 CHEBI_24828
BINARY is CHEBI_32816 Class
BINARY SubClassOf CHEBI_32816 CHEBI_33575,
BINARY SubClassOf CHEBI_32816 CHEBI_33860
BINARY is CHEBI_32863 Class
BINARY SubClassOf CHEBI_32863 CHEBI_32952
BINARY is CHEBI_32876 Class
BINARY SubClassOf CHEBI_32876 CHEBI_32952
BINARY is CHEBI_32877 Class
BINARY SubClassOf CHEBI_32877 CHEBI_32952
BINARY is CHEBI_32878 Class
BINARY SubClassOf CHEBI_32878 CHEBI_33641
BINARY is CHEBI_32952 Class
BINARY SubClassOf CHEBI_32952 CHEBI_50047
BINARY is CHEBI_32955 Class
BINARY SubClassOf CHEBI_32955 CHEBI_38104
BINARY is CHEBI_32988 Class
BINARY SubClassOf CHEBI_32988 CHEBI_23367
BINARY is CHEBI_33256 Class
BINARY SubClassOf CHEBI_33256 CHEBI_32988
BINARY is CHEBI_33259 Class
BINARY SubClassOf CHEBI_33259 CHEBI_23367
BINARY is CHEBI_33308 Class
BINARY SubClassOf CHEBI_33308 CHEBI_36587
BINARY is CHEBI_33403 Class
BINARY SubClassOf CHEBI_33403 CHEBI_33259
BINARY is CHEBI_33434 Class
BINARY SubClassOf CHEBI_33434 CHEBI_33259
BINARY is CHEBI_33575 Class
BINARY SubClassOf CHEBI_33575 CHEBI_36587
BINARY is CHEBI_33595 Class
BINARY SubClassOf CHEBI_33595 CHEBI_23367
BINARY is CHEBI_33597 Class
BINARY SubClassOf CHEBI_33597 CHEBI_33595
BINARY is CHEBI_33598 Class
BINARY SubClassOf CHEBI_33598 CHEBI_33597
BINARY is CHEBI_33635 Class
BINARY SubClassOf CHEBI_33635 CHEBI_33595
BINARY is CHEBI_33641 Class
BINARY SubClassOf CHEBI_33641 CHEBI_23367
BINARY is CHEBI_33655 Class
BINARY SubClassOf CHEBI_33655 CHEBI_33595
BINARY is CHEBI_33658 Class
BINARY SubClassOf CHEBI_33658 CHEBI_33659
BINARY is CHEBI_33659 Class
BINARY SubClassOf CHEBI_33659 CHEBI_33655
BINARY is CHEBI_33671 Class
BINARY SubClassOf CHEBI_33671 CHEBI_33635
BINARY is CHEBI_33822 Class
BINARY SubClassOf CHEBI_33822 CHEBI_23367
BINARY is CHEBI_33823 Class
BINARY SubClassOf CHEBI_33823 CHEBI_33822
BINARY is CHEBI_33836 Class
BINARY SubClassOf CHEBI_33836 CHEBI_33659
BINARY is CHEBI_33839 Class
BINARY SubClassOf CHEBI_33839 CHEBI_23367
BINARY is CHEBI_33853 Class
BINARY SubClassOf CHEBI_33853 CHEBI_33659,
BINARY SubClassOf CHEBI_33853 CHEBI_33822
BINARY is CHEBI_33860 Class
BINARY SubClassOf CHEBI_33860 CHEBI_33659,
BINARY SubClassOf CHEBI_33860 CHEBI_50047
BINARY is CHEBI_35293 Class
BINARY SubClassOf CHEBI_35293 CHEBI_33635
BINARY is CHEBI_35352 Class
BINARY SubClassOf CHEBI_35352 CHEBI_23367
BINARY is CHEBI_35353 Class
BINARY SubClassOf CHEBI_35353 CHEBI_35352
BINARY is CHEBI_35403 Class
BINARY SubClassOf CHEBI_35403 CHEBI_23367
BINARY is CHEBI_35562 Class
BINARY SubClassOf CHEBI_35562 CHEBI_38597
BINARY is CHEBI_35636 Class
BINARY SubClassOf CHEBI_35636 CHEBI_23367
BINARY is CHEBI_35681 Class
BINARY SubClassOf CHEBI_35681 CHEBI_30879
BINARY is CHEBI_35689 Class
BINARY SubClassOf CHEBI_35689 CHEBI_38101
BINARY is CHEBI_35701 Class
BINARY SubClassOf CHEBI_35701 CHEBI_36963
BINARY is CHEBI_35715 Class
BINARY SubClassOf CHEBI_35715 CHEBI_23367
BINARY is CHEBI_35873 Class
BINARY SubClassOf CHEBI_35873 CHEBI_36606
BINARY is CHEBI_35886 Class
BINARY SubClassOf CHEBI_35886 CHEBI_23367
BINARY is CHEBI_36587 Class
BINARY SubClassOf CHEBI_36587 CHEBI_23367
BINARY is CHEBI_36601 Class
BINARY SubClassOf CHEBI_36601 CHEBI_23367
BINARY is CHEBI_36605 Class
BINARY SubClassOf CHEBI_36605 CHEBI_23367
BINARY is CHEBI_36606 Class
BINARY SubClassOf CHEBI_36606 CHEBI_23367
BINARY is CHEBI_36687 Class
BINARY SubClassOf CHEBI_36687 CHEBI_37579
BINARY is CHEBI_36871 Class
BINARY SubClassOf CHEBI_36871 CHEBI_26519
BINARY is CHEBI_36872 Class
BINARY SubClassOf CHEBI_36872 CHEBI_26519
BINARY is CHEBI_36963 Class
BINARY SubClassOf CHEBI_36963 CHEBI_23367
BINARY is CHEBI_37578 Class
BINARY SubClassOf CHEBI_37578 CHEBI_23367
BINARY is CHEBI_37579 Class
BINARY SubClassOf CHEBI_37579 CHEBI_37578
BINARY is CHEBI_37592 Class
BINARY SubClassOf CHEBI_37592 CHEBI_25710
BINARY is CHEBI_37602 Class
BINARY SubClassOf CHEBI_37602 CHEBI_23367
BINARY is CHEBI_37613 Class
BINARY SubClassOf CHEBI_37613 CHEBI_33598,
BINARY SubClassOf CHEBI_37613 CHEBI_33641
BINARY is CHEBI_37622 Class
BINARY SubClassOf CHEBI_37622 CHEBI_33256
BINARY is CHEBI_37735 Class
BINARY SubClassOf CHEBI_37735 CHEBI_35701
BINARY is CHEBI_38101 Class
BINARY SubClassOf CHEBI_38101 CHEBI_35352,
BINARY SubClassOf CHEBI_38101 CHEBI_5686
BINARY is CHEBI_38104 Class
BINARY SubClassOf CHEBI_38104 CHEBI_5686
BINARY is CHEBI_38106 Class
BINARY SubClassOf CHEBI_38106 CHEBI_5686
BINARY is CHEBI_38166 Class
BINARY SubClassOf CHEBI_38166 CHEBI_33671
BINARY is CHEBI_38269 Class
BINARY SubClassOf CHEBI_38269 CHEBI_23367
BINARY is CHEBI_38597 Class
BINARY SubClassOf CHEBI_38597 CHEBI_35352
BINARY is CHEBI_38757 Class
BINARY SubClassOf CHEBI_38757 CHEBI_38104
BINARY is CHEBI_38784 Class
BINARY SubClassOf CHEBI_38784 CHEBI_38104
BINARY is CHEBI_39447 Class
BINARY SubClassOf CHEBI_39447 CHEBI_38101
BINARY is CHEBI_39477 Class
BINARY SubClassOf CHEBI_39477 CHEBI_36872
BINARY is CHEBI_44864 Class
BINARY SubClassOf CHEBI_44864 CHEBI_29256
BINARY is CHEBI_47266 Class
BINARY SubClassOf CHEBI_47266 CHEBI_18140
BINARY is CHEBI_47985 Class
BINARY SubClassOf CHEBI_47985 CHEBI_25698
BINARY is CHEBI_47986 Class
BINARY SubClassOf CHEBI_47986 CHEBI_47985
BINARY is CHEBI_47988 Class
BINARY SubClassOf CHEBI_47988 CHEBI_25698,
BINARY SubClassOf CHEBI_47988 CHEBI_25713
BINARY is CHEBI_48420 Class
BINARY SubClassOf CHEBI_48420 CHEBI_35403
BINARY is CHEBI_48513 Class
BINARY SubClassOf CHEBI_48513 CHEBI_35293,
BINARY SubClassOf CHEBI_48513 CHEBI_38101
BINARY is CHEBI_48901 Class
BINARY SubClassOf CHEBI_48901 CHEBI_38106,
BINARY SubClassOf CHEBI_48901 CHEBI_68452
BINARY is CHEBI_49553 Class
BINARY SubClassOf CHEBI_49553 CHEBI_23367
BINARY is CHEBI_50047 Class
BINARY SubClassOf CHEBI_50047 CHEBI_35352
BINARY is CHEBI_50075 Class
BINARY SubClassOf CHEBI_50075 CHEBI_38101
BINARY is CHEBI_50413 Class
BINARY SubClassOf CHEBI_50413 CHEBI_17478
BINARY is CHEBI_50784 Class
BINARY SubClassOf CHEBI_50784 CHEBI_33308
BINARY is CHEBI_50887 Class
BINARY SubClassOf CHEBI_50887 CHEBI_24472
BINARY is CHEBI_50978 Class
BINARY SubClassOf CHEBI_50978 CHEBI_23367
BINARY is CHEBI_51080 Class
BINARY SubClassOf CHEBI_51080 CHEBI_36963
BINARY is CHEBI_51154 Class
BINARY SubClassOf CHEBI_51154 CHEBI_23367
BINARY is CHEBI_51186 Class
BINARY SubClassOf CHEBI_51186 CHEBI_25707
BINARY is CHEBI_51187 Class
BINARY SubClassOf CHEBI_51187 CHEBI_25707
BINARY is CHEBI_51236 Class
BINARY SubClassOf CHEBI_51236 CHEBI_51187
BINARY is CHEBI_51277 Class
BINARY SubClassOf CHEBI_51277 CHEBI_36587
BINARY is CHEBI_51454 Class
BINARY SubClassOf CHEBI_51454 CHEBI_33598
BINARY is CHEBI_51462 Class
BINARY SubClassOf CHEBI_51462 CHEBI_51186
BINARY is CHEBI_51469 Class
BINARY SubClassOf CHEBI_51469 CHEBI_51462
BINARY is CHEBI_51494 Class
BINARY SubClassOf CHEBI_51494 CHEBI_25707
BINARY is CHEBI_51614 Class
BINARY SubClassOf CHEBI_51614 CHEBI_33659
BINARY is CHEBI_51721 Class
BINARY SubClassOf CHEBI_51721 CHEBI_17087
BINARY is CHEBI_51839 Class
BINARY SubClassOf CHEBI_51839 CHEBI_17087,
BINARY SubClassOf CHEBI_51839 CHEBI_17792
BINARY is CHEBI_51849 Class
BINARY SubClassOf CHEBI_51849 CHEBI_17087,
BINARY SubClassOf CHEBI_51849 CHEBI_33308
BINARY is CHEBI_51867 Class
BINARY SubClassOf CHEBI_51867 CHEBI_17087
BINARY is CHEBI_51929 Class
BINARY SubClassOf CHEBI_51929 CHEBI_23367
BINARY is CHEBI_52094 Class
BINARY SubClassOf CHEBI_52094 CHEBI_36587
BINARY is CHEBI_52395 Class
BINARY SubClassOf CHEBI_52395 CHEBI_17087
BINARY is CHEBI_53212 Class
BINARY SubClassOf CHEBI_53212 CHEBI_35352,
BINARY SubClassOf CHEBI_53212 CHEBI_36963
BINARY is CHEBI_53434 Class
BINARY SubClassOf CHEBI_53434 CHEBI_23367
