BINARY is hasGrade ObjectProperty
BINARY is C00 Class
BINARY SubClassOf C00 C00-C14
BINARY is C00-C14 Class
BINARY SubClassOf C00-C14 ICDO3Topography
BINARY is C000 Class
BINARY SubClassOf C000 C00
BINARY is C001 Class
BINARY SubClassOf C001 C00
BINARY is C002 Class
BINARY SubClassOf C002 C00
BINARY is C003 Class
BINARY SubClassOf C003 C00
BINARY is C004 Class
BINARY SubClassOf C004 C00
BINARY is C005 Class
BINARY SubClassOf C005 C00
BINARY is C006 Class
BINARY SubClassOf C006 C00
BINARY is C008 Class
BINARY SubClassOf C008 C00
BINARY is C009 Class
BINARY SubClassOf C009 C00
BINARY is C01 Class
BINARY SubClassOf C01 C00-C14
BINARY is C019 Class
BINARY SubClassOf C019 C01
BINARY is C02 Class
BINARY SubClassOf C02 C00-C14
BINARY is C020 Class
BINARY SubClassOf C020 C02
BINARY is C021 Class
BINARY SubClassOf C021 C02
BINARY is C022 Class
BINARY SubClassOf C022 C02
BINARY is C023 Class
BINARY SubClassOf C023 C02
BINARY is C024 Class
BINARY SubClassOf C024 C02
BINARY is C028 Class
BINARY SubClassOf C028 C02
BINARY is C029 Class
BINARY SubClassOf C029 C02
BINARY is C03 Class
BINARY SubClassOf C03 C00-C14
BINARY is C030 Class
BINARY SubClassOf C030 C03
BINARY is C031 Class
BINARY SubClassOf C031 C03
BINARY is C039 Class
BINARY SubClassOf C039 C03
BINARY is C04 Class
BINARY SubClassOf C04 C00-C14
BINARY is C040 Class
BINARY SubClassOf C040 C04
BINARY is C041 Class
BINARY SubClassOf C041 C04
BINARY is C048 Class
BINARY SubClassOf C048 C04
BINARY is C049 Class
BINARY SubClassOf C049 C04
BINARY is C05 Class
BINARY SubClassOf C05 C00-C14
BINARY is C050 Class
BINARY SubClassOf C050 C05
BINARY is C051 Class
BINARY SubClassOf C051 C05
BINARY is C052 Class
BINARY SubClassOf C052 C05
BINARY is C058 Class
BINARY SubClassOf C058 C05
BINARY is C059 Class
BINARY SubClassOf C059 C05
BINARY is C06 Class
BINARY SubClassOf C06 C00-C14
BINARY is C060 Class
BINARY SubClassOf C060 C06
BINARY is C061 Class
BINARY SubClassOf C061 C06
BINARY is C062 Class
BINARY SubClassOf C062 C06
BINARY is C068 Class
BINARY SubClassOf C068 C06
BINARY is C069 Class
BINARY SubClassOf C069 C06
BINARY is C07 Class
BINARY SubClassOf C07 C00-C14
BINARY is C079 Class
BINARY SubClassOf C079 C07
BINARY is C08 Class
BINARY SubClassOf C08 C00-C14
BINARY is C080 Class
BINARY SubClassOf C080 C08
BINARY is C081 Class
BINARY SubClassOf C081 C08
BINARY is C088 Class
BINARY SubClassOf C088 C08
BINARY is C089 Class
BINARY SubClassOf C089 C08
BINARY is C09 Class
BINARY SubClassOf C09 C00-C14
BINARY is C090 Class
BINARY SubClassOf C090 C09
BINARY is C091 Class
BINARY SubClassOf C091 C09
BINARY is C098 Class
BINARY SubClassOf C098 C09
BINARY is C099 Class
BINARY SubClassOf C099 C09
BINARY is C10 Class
BINARY SubClassOf C10 C00-C14
BINARY is C100 Class
BINARY SubClassOf C100 C10
BINARY is C101 Class
BINARY SubClassOf C101 C10
BINARY is C102 Class
BINARY SubClassOf C102 C10
BINARY is C103 Class
BINARY SubClassOf C103 C10
BINARY is C104 Class
BINARY SubClassOf C104 C10
BINARY is C108 Class
BINARY SubClassOf C108 C10
BINARY is C109 Class
BINARY SubClassOf C109 C10
BINARY is C11 Class
BINARY SubClassOf C11 C00-C14
BINARY is C110 Class
BINARY SubClassOf C110 C11
BINARY is C111 Class
BINARY SubClassOf C111 C11
BINARY is C112 Class
BINARY SubClassOf C112 C11
BINARY is C113 Class
BINARY SubClassOf C113 C11
BINARY is C118 Class
BINARY SubClassOf C118 C11
BINARY is C119 Class
BINARY SubClassOf C119 C11
BINARY is C12 Class
BINARY SubClassOf C12 C00-C14
BINARY is C129 Class
BINARY SubClassOf C129 C12
BINARY is C13 Class
