BINARY is RO_0000086 ObjectProperty
BINARY is D001482 Class
BINARY SubClassOf D001482 GENEPIO_0001568
BINARY is D058751 Class
BINARY SubClassOf D058751 GENEPIO_0001247
BINARY is ARO_3004430 Class
BINARY is BFO_0000016 Class
BINARY equiv BFO_0000016 BFO_0000023
BINARY SubClassOf BFO_0000016 BFO_0000017
BINARY DisjointWith BFO_0000016 BFO_0000023
BINARY is BFO_0000017 Class
BINARY is BFO_0000023 Class
BINARY equiv BFO_0000023 BFO_0000016
BINARY DisjointWith BFO_0000023 BFO_0000016
BINARY is BFO_0000034 Class
BINARY SubClassOf BFO_0000034 BFO_0000016
BINARY is DOID_0040001 Class
BINARY SubClassOf DOID_0040001 DOID_0060524
BINARY is DOID_0040083 Class
BINARY SubClassOf DOID_0040083 DOID_874
BINARY is DOID_0040084 Class
BINARY SubClassOf DOID_0040084 DOID_874
BINARY is DOID_0040085 Class
BINARY SubClassOf DOID_0040085 DOID_104
BINARY is DOID_0050004 Class
BINARY SubClassOf DOID_0050004 DOID_10400
BINARY is DOID_0050025 Class
BINARY SubClassOf DOID_0050025 DOID_10242
BINARY is DOID_0050026 Class
BINARY SubClassOf DOID_0050026 DOID_10242
BINARY is DOID_0050035 Class
BINARY SubClassOf DOID_0050035 DOID_11104
BINARY is DOID_0050041 Class
BINARY SubClassOf DOID_0050041 DOID_11104
BINARY is DOID_0050042 Class
BINARY SubClassOf DOID_0050042 DOID_11104
BINARY is DOID_0050043 Class
BINARY SubClassOf DOID_0050043 DOID_11104
BINARY is DOID_0050046 Class
BINARY SubClassOf DOID_0050046 DOID_11104
BINARY is DOID_0050047 Class
BINARY SubClassOf DOID_0050047 DOID_11104
BINARY is DOID_0050050 Class
BINARY SubClassOf DOID_0050050 DOID_11104
BINARY is DOID_0050051 Class
BINARY SubClassOf DOID_0050051 DOID_11104
BINARY is DOID_0050052 Class
BINARY SubClassOf DOID_0050052 DOID_11104
BINARY is DOID_0050059 Class
BINARY SubClassOf DOID_0050059 DOID_13386
BINARY is DOID_0050061 Class
BINARY SubClassOf DOID_0050061 DOID_0050338
BINARY is DOID_0050117 Class
BINARY SubClassOf DOID_0050117 DOID_4
BINARY is DOID_0050141 Class
BINARY SubClassOf DOID_0050141 DOID_11976
BINARY is DOID_0050150 Class
BINARY SubClassOf DOID_0050150 DOID_10458
BINARY is DOID_0050152 Class
BINARY SubClassOf DOID_0050152 DOID_874
BINARY is DOID_0050155 Class
BINARY SubClassOf DOID_0050155 DOID_863
BINARY is DOID_0050160 Class
BINARY SubClassOf DOID_0050160 DOID_7427
BINARY is DOID_0050161 Class
BINARY SubClassOf DOID_0050161 DOID_1579
BINARY is DOID_0050166 Class
BINARY SubClassOf DOID_0050166 DOID_1962,
BINARY SubClassOf DOID_0050166 DOID_2149
BINARY is DOID_0050338 Class
BINARY SubClassOf DOID_0050338 DOID_104
BINARY is DOID_0050339 Class
BINARY SubClassOf DOID_0050339 DOID_104
BINARY is DOID_0050340 Class
BINARY SubClassOf DOID_0050340 DOID_104
BINARY is DOID_0050352 Class
BINARY SubClassOf DOID_0050352 DOID_11976
BINARY is DOID_0050353 Class
BINARY SubClassOf DOID_0050353 DOID_11976
BINARY is DOID_0050354 Class
BINARY SubClassOf DOID_0050354 DOID_11976
BINARY is DOID_0050382 Class
BINARY SubClassOf DOID_0050382 DOID_2123
BINARY is DOID_0050383 Class
BINARY SubClassOf DOID_0050383 DOID_2123
BINARY is DOID_0050398 Class
BINARY SubClassOf DOID_0050398 DOID_11102
BINARY is DOID_0050456 Class
BINARY SubClassOf DOID_0050456 DOID_0050338
BINARY is DOID_0050480 Class
BINARY SubClassOf DOID_0050480 DOID_11256
BINARY is DOID_0050481 Class
BINARY SubClassOf DOID_0050481 DOID_11256
BINARY is DOID_0050484 Class
BINARY SubClassOf DOID_0050484 DOID_11104
BINARY is DOID_0050485 Class
BINARY SubClassOf DOID_0050485 DOID_0050338
BINARY is DOID_0050486 Class
BINARY SubClassOf DOID_0050486 DOID_37
BINARY is DOID_0050487 Class
BINARY SubClassOf DOID_0050487 DOID_0050486,
BINARY SubClassOf DOID_0050487 DOID_104
BINARY is DOID_0050488 Class
BINARY SubClassOf DOID_0050488 DOID_9856
BINARY is DOID_0050490 Class
BINARY SubClassOf DOID_0050490 DOID_9988
BINARY is DOID_0050491 Class
BINARY SubClassOf DOID_0050491 DOID_9988
BINARY is DOID_0050584 Class
BINARY SubClassOf DOID_0050584 DOID_8200
BINARY is DOID_0050589 Class
BINARY SubClassOf DOID_0050589 DOID_5295
BINARY is DOID_0050598 Class
BINARY SubClassOf DOID_0050598 DOID_399
BINARY is DOID_0050599 Class
BINARY SubClassOf DOID_0050599 DOID_0050598
BINARY is DOID_0050686 Class
BINARY SubClassOf DOID_0050686 DOID_162
BINARY is DOID_0050700 Class
BINARY SubClassOf DOID_0050700 DOID_114
BINARY is DOID_0050829 Class
BINARY SubClassOf DOID_0050829 DOID_1287
BINARY is DOID_0060031 Class
BINARY SubClassOf DOID_0060031 DOID_417,
BINARY SubClassOf DOID_0060031 DOID_77
BINARY is DOID_0060057 Class
BINARY SubClassOf DOID_0060057 DOID_3044
BINARY is DOID_0060118 Class
BINARY SubClassOf DOID_0060118 DOID_7
BINARY is DOID_0060180 Class
BINARY SubClassOf DOID_0060180 DOID_0050589
BINARY is DOID_0060345 Class
BINARY SubClassOf DOID_0060345 DOID_11102
BINARY is DOID_0060492 Class
BINARY SubClassOf DOID_0060492 DOID_4377
BINARY is DOID_0060495 Class
BINARY SubClassOf DOID_0060495 DOID_3044
BINARY is DOID_0060502 Class
BINARY SubClassOf DOID_0060502 DOID_1205
BINARY is DOID_0060503 Class
BINARY SubClassOf DOID_0060503 DOID_3044
BINARY is DOID_0060504 Class
BINARY SubClassOf DOID_0060504 DOID_0060503
BINARY is DOID_0060505 Class
BINARY SubClassOf DOID_0060505 DOID_0060503
BINARY is DOID_0060506 Class
BINARY SubClassOf DOID_0060506 DOID_0060503
BINARY is DOID_0060507 Class
BINARY SubClassOf DOID_0060507 DOID_0060503
BINARY is DOID_0060508 Class
BINARY SubClassOf DOID_0060508 DOID_0060503
BINARY is DOID_0060509 Class
BINARY SubClassOf DOID_0060509 DOID_0060503
BINARY is DOID_0060510 Class
BINARY SubClassOf DOID_0060510 DOID_0060503
BINARY is DOID_0060511 Class
BINARY SubClassOf DOID_0060511 DOID_0060503
BINARY is DOID_0060512 Class
BINARY SubClassOf DOID_0060512 DOID_0060503
BINARY is DOID_0060513 Class
BINARY SubClassOf DOID_0060513 DOID_3044
BINARY is DOID_0060514 Class
BINARY SubClassOf DOID_0060514 DOID_0060513
BINARY is DOID_0060515 Class
BINARY SubClassOf DOID_0060515 DOID_0060513
BINARY is DOID_0060516 Class
BINARY SubClassOf DOID_0060516 DOID_0060513
BINARY is DOID_0060517 Class
BINARY SubClassOf DOID_0060517 DOID_0060513
BINARY is DOID_0060518 Class
BINARY SubClassOf DOID_0060518 DOID_0060513
BINARY is DOID_0060521 Class
BINARY SubClassOf DOID_0060521 DOID_4376
BINARY is DOID_0060522 Class
BINARY SubClassOf DOID_0060522 DOID_4376
BINARY is DOID_0060523 Class
BINARY SubClassOf DOID_0060523 DOID_0060495
BINARY is DOID_0060524 Class
BINARY SubClassOf DOID_0060524 DOID_0060495
BINARY is DOID_0060525 Class
BINARY SubClassOf DOID_0060525 DOID_0040001
BINARY is DOID_0060526 Class
BINARY SubClassOf DOID_0060526 DOID_0060524
BINARY is DOID_0060527 Class
BINARY SubClassOf DOID_0060527 DOID_0040001
BINARY is DOID_0060528 Class
BINARY SubClassOf DOID_0060528 DOID_0040001
BINARY is DOID_0060529 Class
BINARY SubClassOf DOID_0060529 DOID_0040001
BINARY is DOID_0060530 Class
BINARY SubClassOf DOID_0060530 DOID_0060523
BINARY is DOID_0060531 Class
BINARY SubClassOf DOID_0060531 DOID_0060530
BINARY is DOID_0060570 Class
BINARY SubClassOf DOID_0060570 DOID_114,
BINARY SubClassOf DOID_0060570 DOID_399
BINARY is DOID_0060859 Class
