BINARY is OBI_0000294 ObjectProperty
BINARY is IAO_0000015 Class
BINARY equiv IAO_0000015 Quality_and_(OBI_0000294_some_IAO_0000030)
BINARY SubClassOf IAO_0000015 Quality
BINARY DisjointWith IAO_0000015 Quality_and_(OBI_0000294_some_IAO_0000030)
BINARY is IAO_0000030 Class
BINARY is IAO_0000442 Class
BINARY SubClassOf IAO_0000442 Role
BINARY is Continuant Class
BINARY is DependentContinuant Class
BINARY equiv DependentContinuant GenericallyDependentContinuant_or_SpecificallyDependentContinuant
BINARY SubClassOf DependentContinuant Continuant
BINARY DisjointWith DependentContinuant SpatialRegion
BINARY DisjointWith DependentContinuant IndependentContinuant
BINARY is Disposition Class
BINARY SubClassOf Disposition RealizableEntity
BINARY DisjointWith Disposition Role
BINARY DisjointWith Disposition Function
BINARY is Function Class
BINARY SubClassOf Function RealizableEntity
BINARY DisjointWith Function Role
BINARY DisjointWith Function Disposition
BINARY is GenericallyDependentContinuant Class
BINARY SubClassOf GenericallyDependentContinuant DependentContinuant
BINARY is IndependentContinuant Class
BINARY DisjointWith IndependentContinuant DependentContinuant
BINARY is Quality Class
BINARY SubClassOf Quality SpecificallyDependentContinuant
BINARY DisjointWith Quality RealizableEntity
BINARY is RealizableEntity Class
BINARY SubClassOf RealizableEntity SpecificallyDependentContinuant
BINARY DisjointWith RealizableEntity Quality
BINARY is Role Class
BINARY SubClassOf Role RealizableEntity
BINARY DisjointWith Role Function
BINARY DisjointWith Role Disposition
BINARY is SpatialRegion Class
BINARY DisjointWith SpatialRegion DependentContinuant
BINARY is SpecificallyDependentContinuant Class
BINARY SubClassOf SpecificallyDependentContinuant IAO_0000015,
BINARY SubClassOf SpecificallyDependentContinuant DependentContinuant
BINARY is www.w3.org/2002/07/# Class
