BINARY is IAO_0000136 ObjectProperty
BINARY is CHEBI_17843 Class
BINARY SubClassOf CHEBI_17843 CHEBI_33697,
BINARY SubClassOf CHEBI_17843 NCRO_0004000
BINARY is CHEBI_18111 Class
BINARY SubClassOf CHEBI_18111 CHEBI_33697,
BINARY SubClassOf CHEBI_18111 NCRO_0004000
BINARY is CHEBI_33697 Class
BINARY is CHEBI_74035 Class
BINARY SubClassOf CHEBI_74035 CHEBI_33697,
BINARY SubClassOf CHEBI_74035 NCRO_0004000
BINARY is CHEBI_8762 Class
BINARY SubClassOf CHEBI_8762 NCRO_0004000
BINARY is NCRO_0004000 Class
BINARY SubClassOf NCRO_0004000 CHEBI_33697
BINARY is NCRO_0004001 Class
BINARY is NCRO_0004002 Class
BINARY SubClassOf NCRO_0004002 NCRO_0004000,
BINARY SubClassOf NCRO_0004002 inverse_(IAO_0000136)_some_SO_0000655
BINARY DisjointWith NCRO_0004002 NCRO_0004003
BINARY is NCRO_0004003 Class
BINARY SubClassOf NCRO_0004003 NCRO_0004000
BINARY DisjointWith NCRO_0004003 NCRO_0004002
BINARY is NCRO_0004004 Class
BINARY SubClassOf NCRO_0004004 NCRO_0004000
BINARY is NCRO_0004005 Class
BINARY SubClassOf NCRO_0004005 NCRO_0004000
BINARY is NCRO_0004019 Class
BINARY SubClassOf NCRO_0004019 NCRO_0004000
BINARY is SO_0000276 Class
BINARY SubClassOf SO_0000276 NCRO_0004000
BINARY is SO_0000655 Class
BINARY is www.w3.org/2002/07/# Class
BINARY DisjointClasses www.w3.org/2002/07/# CHEBI_17843,CHEBI_18111,CHEBI_74035,CHEBI_8762,NCRO_0004001,NCRO_0004004,NCRO_0004005
BINARY DisjointClasses www.w3.org/2002/07/# CHEBI_17843,CHEBI_18111,CHEBI_74035,CHEBI_8762,NCRO_0004004,NCRO_0004005,SO_0000276
