BINARY is RO_0001000 ObjectProperty
BINARY is ReverseStrandPosition Class
BINARY SubClassOf ReverseStrandPosition StrandedPosition
BINARY is StrandedPosition Class
BINARY is CL_0000000 Class
BINARY SubClassOf CL_0000000 UBERON_0001062
BINARY is GENO_0000160 Class
BINARY SubClassOf GENO_0000160 UBERON_0000105
BINARY DisjointWith GENO_0000160 OBI_0100026
BINARY is GENO_0000351 Class
BINARY is GENO_0000904 Class
BINARY is IAO_0000002 Class
BINARY is IAO_0000027 Class
BINARY SubClassOf IAO_0000027 IAO_0000225
BINARY is IAO_0000078 Class
BINARY equiv IAO_0000078 {IAO_0000002_,_IAO_0000120_,_IAO_0000121_,_IAO_0000122_,_IAO_0000123_,_IAO_0000124_,_IAO_0000125_,_IAO_0000423_,_IAO_0000428}
BINARY SubClassOf IAO_0000078 IAO_0000102
BINARY is IAO_0000102 Class
BINARY SubClassOf IAO_0000102 IAO_0000027
BINARY is IAO_0000103 Class
BINARY is IAO_0000120 Class
BINARY is IAO_0000121 Class
BINARY is IAO_0000122 Class
BINARY is IAO_0000123 Class
BINARY is IAO_0000124 Class
BINARY is IAO_0000125 Class
BINARY is IAO_0000224 Class
BINARY is IAO_0000225 Class
BINARY equiv IAO_0000225 {IAO_0000103_,_IAO_0000226_,_IAO_0000227_,_IAO_0000228_,_IAO_0000229_,_OMO_0001000}
BINARY SubClassOf IAO_0000225 IAO_0000102
BINARY DisjointWith IAO_0000225 OMO_0001000}
BINARY DisjointWith IAO_0000225 IAO_0000229
BINARY DisjointWith IAO_0000225 IAO_0000228
BINARY DisjointWith IAO_0000225 IAO_0000227
BINARY DisjointWith IAO_0000225 IAO_0000226
BINARY DisjointWith IAO_0000225 {IAO_0000103
BINARY is IAO_0000226 Class
BINARY is IAO_0000227 Class
BINARY is IAO_0000228 Class
BINARY is IAO_0000229 Class
BINARY is IAO_0000409 Class
BINARY equiv IAO_0000409 {IAO_0000410_,_IAO_0000420_,_IAO_0000421}
BINARY SubClassOf IAO_0000409 IAO_0000102
BINARY is IAO_0000410 Class
BINARY is IAO_0000420 Class
BINARY is IAO_0000421 Class
BINARY is IAO_0000423 Class
BINARY is IAO_0000428 Class
BINARY is IAO_8000000 Class
BINARY SubClassOf IAO_8000000 IAO_0000102
BINARY is IAO_8000001 Class
BINARY SubClassOf IAO_8000001 IAO_8000000
BINARY is IAO_8000002 Class
BINARY SubClassOf IAO_8000002 IAO_8000000
BINARY is IAO_8000003 Class
BINARY SubClassOf IAO_8000003 IAO_8000000
BINARY is IAO_8000004 Class
BINARY SubClassOf IAO_8000004 IAO_8000000
BINARY is IAO_8000005 Class
BINARY SubClassOf IAO_8000005 IAO_8000006
BINARY is IAO_8000006 Class
BINARY SubClassOf IAO_8000006 IAO_8000000
BINARY is IAO_8000007 Class
BINARY SubClassOf IAO_8000007 IAO_8000006
BINARY is IAO_8000008 Class
BINARY SubClassOf IAO_8000008 IAO_8000006
BINARY is IAO_8000009 Class
BINARY SubClassOf IAO_8000009 IAO_8000006
BINARY is IAO_8000010 Class
