BINARY is integer Datatype
BINARY is hasDuration DataProperty
BINARY Domain hasDuration ICHI
BINARY Range hasDuration integer
BINARY is A00_B99 Class
BINARY DisjointWith A00_B99 I00_I99
BINARY is C00_D48 Class
BINARY DisjointWith C00_D48 I00_I99
BINARY is D50 Class
BINARY is D50_0 Class
BINARY DisjointWith D50_0 D50_9
BINARY is D50_1 Class
BINARY DisjointWith D50_1 D50_9
BINARY is D50_8 Class
BINARY DisjointWith D50_8 D50_9
BINARY is D50_9 Class
BINARY SubClassOf D50_9 D50
BINARY DisjointWith D50_9 D50_8
BINARY DisjointWith D50_9 D50_1
BINARY DisjointWith D50_9 D50_0
BINARY is D50_D89 Class
BINARY DisjointWith D50_D89 I00_I99
BINARY is D53 Class
BINARY is D53_0 Class
BINARY DisjointWith D53_0 D53_2
BINARY is D53_1 Class
BINARY DisjointWith D53_1 D53_2
BINARY is D53_2 Class
BINARY SubClassOf D53_2 D53
BINARY DisjointWith D53_2 D53_9
BINARY DisjointWith D53_2 D53_8
BINARY DisjointWith D53_2 D53_1
BINARY DisjointWith D53_2 D53_0
BINARY is D53_8 Class
BINARY DisjointWith D53_8 D53_2
BINARY is D53_9 Class
BINARY DisjointWith D53_9 D53_2
BINARY is D55 Class
BINARY is D55_0 Class
BINARY DisjointWith D55_0 D55_2
BINARY is D55_1 Class
BINARY DisjointWith D55_1 D55_2
BINARY is D55_2 Class
BINARY SubClassOf D55_2 D55
BINARY DisjointWith D55_2 D55_9
BINARY DisjointWith D55_2 D55_8
BINARY DisjointWith D55_2 D55_3
BINARY DisjointWith D55_2 D55_1
BINARY DisjointWith D55_2 D55_0
BINARY is D55_3 Class
BINARY DisjointWith D55_3 D55_2
BINARY is D55_8 Class
BINARY DisjointWith D55_8 D55_2
BINARY is D55_9 Class
BINARY DisjointWith D55_9 D55_2
BINARY is D73 Class
BINARY is D73_0 Class
BINARY DisjointWith D73_0 D73_5
BINARY is D73_1 Class
BINARY DisjointWith D73_1 D73_5
BINARY is D73_2 Class
BINARY DisjointWith D73_2 D73_5
BINARY is D73_3 Class
BINARY DisjointWith D73_3 D73_5
BINARY is D73_4 Class
BINARY DisjointWith D73_4 D73_5
BINARY is D73_5 Class
BINARY SubClassOf D73_5 D73
BINARY DisjointWith D73_5 D73_9
BINARY DisjointWith D73_5 D73_8
BINARY DisjointWith D73_5 D73_4
BINARY DisjointWith D73_5 D73_3
BINARY DisjointWith D73_5 D73_2
BINARY DisjointWith D73_5 D73_1
BINARY DisjointWith D73_5 D73_0
BINARY is D73_8 Class
BINARY DisjointWith D73_8 D73_5
BINARY is D73_9 Class
BINARY DisjointWith D73_9 D73_5
BINARY is D81 Class
BINARY is D81_0 Class
BINARY DisjointWith D81_0 D81_6
BINARY is D81_1 Class
BINARY DisjointWith D81_1 D81_6
BINARY is D81_2 Class
BINARY DisjointWith D81_2 D81_6
BINARY is D81_3 Class
BINARY DisjointWith D81_3 D81_6
BINARY is D81_4 Class
BINARY DisjointWith D81_4 D81_6
BINARY is D81_5 Class
BINARY DisjointWith D81_5 D81_6
BINARY is D81_6 Class
BINARY SubClassOf D81_6 D81
BINARY DisjointWith D81_6 D81_9
BINARY DisjointWith D81_6 D81_8
BINARY DisjointWith D81_6 D81_7
BINARY DisjointWith D81_6 D81_5
BINARY DisjointWith D81_6 D81_4
BINARY DisjointWith D81_6 D81_3
BINARY DisjointWith D81_6 D81_2
BINARY DisjointWith D81_6 D81_1
BINARY DisjointWith D81_6 D81_0
BINARY is D81_7 Class
BINARY DisjointWith D81_7 D81_6
BINARY is D81_8 Class
BINARY DisjointWith D81_8 D81_6
BINARY is D81_9 Class
BINARY DisjointWith D81_9 D81_6
BINARY is D82 Class
BINARY is D82_0 Class
BINARY DisjointWith D82_0 D82_2
BINARY is D82_1 Class
BINARY DisjointWith D82_1 D82_2
BINARY is D82_2 Class
BINARY SubClassOf D82_2 D82
BINARY DisjointWith D82_2 D82_9
BINARY DisjointWith D82_2 D82_8
BINARY DisjointWith D82_2 D82_4
BINARY DisjointWith D82_2 D82_3
BINARY DisjointWith D82_2 D82_1
BINARY DisjointWith D82_2 D82_0
BINARY is D82_3 Class
BINARY DisjointWith D82_3 D82_2
BINARY is D82_4 Class
BINARY DisjointWith D82_4 D82_2
BINARY is D82_8 Class
BINARY DisjointWith D82_8 D82_2
BINARY is D82_9 Class
BINARY DisjointWith D82_9 D82_2
BINARY is D84 Class
BINARY is D84_0 Class
BINARY DisjointWith D84_0 D84_1
BINARY is D84_1 Class
BINARY SubClassOf D84_1 D84
BINARY DisjointWith D84_1 D84_9
BINARY DisjointWith D84_1 D84_8
BINARY DisjointWith D84_1 D84_0
BINARY is D84_8 Class
BINARY DisjointWith D84_8 D84_1
BINARY is D84_9 Class
BINARY DisjointWith D84_9 D84_1
BINARY is E00_E90 Class
BINARY DisjointWith E00_E90 I00_I99
BINARY is F00_F99 Class
BINARY DisjointWith F00_F99 I00_I99
BINARY is G00_G99 Class
BINARY DisjointWith G00_G99 I00_I99
BINARY is H00_H59 Class
BINARY DisjointWith H00_H59 I00_I99
BINARY is H60_H95 Class
BINARY DisjointWith H60_H95 I00_I99
BINARY is H81 Class
BINARY is H81_0 Class
BINARY SubClassOf H81_0 H81
BINARY DisjointWith H81_0 H81_9
BINARY DisjointWith H81_0 H81_8
BINARY DisjointWith H81_0 H81_4
BINARY DisjointWith H81_0 H81_3
BINARY DisjointWith H81_0 H81_2
BINARY DisjointWith H81_0 H81_1
BINARY is H81_1 Class
BINARY DisjointWith H81_1 H81_0
BINARY is H81_2 Class
BINARY DisjointWith H81_2 H81_0
BINARY is H81_3 Class
BINARY DisjointWith H81_3 H81_0
BINARY is H81_4 Class
BINARY DisjointWith H81_4 H81_0
BINARY is H81_8 Class
BINARY DisjointWith H81_8 H81_0
BINARY is H81_9 Class
BINARY DisjointWith H81_9 H81_0
BINARY is I00_I02 Class
BINARY SubClassOf I00_I02 I00_I99
BINARY is I00_I99 Class
BINARY SubClassOf I00_I99 ICD10_Chapter
BINARY DisjointWith I00_I99 Z00_Z99
BINARY DisjointWith I00_I99 V01_Y98
BINARY DisjointWith I00_I99 U00_U99
BINARY DisjointWith I00_I99 S00_T98
BINARY DisjointWith I00_I99 R00_R99
BINARY DisjointWith I00_I99 Q00_Q99
BINARY DisjointWith I00_I99 P00_P96
BINARY DisjointWith I00_I99 O00_O99
BINARY DisjointWith I00_I99 N00_N99
BINARY DisjointWith I00_I99 M00_M99
BINARY DisjointWith I00_I99 L00_L99
BINARY DisjointWith I00_I99 K00_K93
BINARY DisjointWith I00_I99 J00_J99
BINARY DisjointWith I00_I99 H60_H95
BINARY DisjointWith I00_I99 H00_H59
BINARY DisjointWith I00_I99 G00_G99
BINARY DisjointWith I00_I99 F00_F99
BINARY DisjointWith I00_I99 E00_E90
BINARY DisjointWith I00_I99 D50_D89
BINARY DisjointWith I00_I99 C00_D48
BINARY DisjointWith I00_I99 A00_B99
BINARY is I01 Class
BINARY is I01_0 Class
BINARY SubClassOf I01_0 I01
BINARY DisjointWith I01_0 I01_9
BINARY DisjointWith I01_0 I01_8
BINARY DisjointWith I01_0 I01_2
BINARY DisjointWith I01_0 I01_1
BINARY is I01_1 Class
BINARY SubClassOf I01_1 I01
BINARY DisjointWith I01_1 I01_9
BINARY DisjointWith I01_1 I01_8
BINARY DisjointWith I01_1 I01_2
BINARY DisjointWith I01_1 I01_0
BINARY is I01_2 Class
BINARY SubClassOf I01_2 I01
BINARY DisjointWith I01_2 I01_9
BINARY DisjointWith I01_2 I01_8
BINARY DisjointWith I01_2 I01_1
BINARY DisjointWith I01_2 I01_0
BINARY is I01_8 Class
BINARY SubClassOf I01_8 I01
BINARY DisjointWith I01_8 I01_9
BINARY DisjointWith I01_8 I01_2
BINARY DisjointWith I01_8 I01_1
BINARY DisjointWith I01_8 I01_0
BINARY is I01_9 Class
BINARY SubClassOf I01_9 I01
BINARY DisjointWith I01_9 I01_8
BINARY DisjointWith I01_9 I01_2
BINARY DisjointWith I01_9 I01_1
BINARY DisjointWith I01_9 I01_0
BINARY is I02 Class
BINARY is I02_0 Class
BINARY SubClassOf I02_0 I02
BINARY DisjointWith I02_0 I02_9
BINARY is I02_9 Class
BINARY SubClassOf I02_9 I02
BINARY DisjointWith I02_9 I02_0
BINARY is I05 Class
BINARY is I05_0 Class
BINARY SubClassOf I05_0 I05
BINARY DisjointWith I05_0 I05_9
BINARY DisjointWith I05_0 I05_8
BINARY DisjointWith I05_0 I05_2
BINARY DisjointWith I05_0 I05_1
BINARY is I05_1 Class
BINARY SubClassOf I05_1 I05
BINARY DisjointWith I05_1 I05_9
BINARY DisjointWith I05_1 I05_8
BINARY DisjointWith I05_1 I05_2
BINARY DisjointWith I05_1 I05_0
BINARY is I05_2 Class
BINARY SubClassOf I05_2 I05
