BINARY is www.w3.org/2000/01/-schema# Datatype
BINARY is hasMagnitude ObjectProperty
BINARY is hasProtocol ObjectProperty
BINARY is hasQuality ObjectProperty
BINARY is hasRole ObjectProperty
BINARY is implements ObjectProperty
BINARY is undergoneBy ObjectProperty
BINARY is hasPart ObjectProperty
BINARY is partOf ObjectProperty
BINARY is hasIntegerValue DataProperty
BINARY is ABVDChemo Class
BINARY SubClassOf ABVDChemo Chemotherapy
BINARY is ACChemo Class
BINARY SubClassOf ACChemo Chemotherapy
BINARY is AbducensNerve Class
BINARY SubClassOf AbducensNerve CranialNerve
BINARY is Adenomastectomy Class
BINARY SubClassOf Adenomastectomy BreastResection
BINARY is AdjuvantChemotherapy Class
BINARY SubClassOf AdjuvantChemotherapy AdjuvantTherapy
BINARY is AdjuvantTherapy Class
BINARY is AdrenalGland Class
BINARY SubClassOf AdrenalGland CorticomedullaryOrgan
BINARY is AnteriorInferiorRenalSegment Class
BINARY SubClassOf AnteriorInferiorRenalSegment RenalSegment
BINARY is AnteriorSuperiorRenalSegment Class
BINARY SubClassOf AnteriorSuperiorRenalSegment RenalSegment
BINARY is AntiarrhythmicPharmacotherapy Class
BINARY DisjointWith AntiarrhythmicPharmacotherapy Chemotherapy
BINARY is Aromatase Class
BINARY DisjointWith Aromatase Kinase
BINARY is AxillaryNodeDissection Class
BINARY DisjointWith AxillaryNodeDissection Lobectomy
BINARY DisjointWith AxillaryNodeDissection BreastResection
BINARY is BEPChemo Class
BINARY SubClassOf BEPChemo Chemotherapy
BINARY is BilateralOvariectomy Class
BINARY SubClassOf BilateralOvariectomy Ovariectomy
BINARY DisjointWith BilateralOvariectomy UnilateralOvariectomy
BINARY is Biologist Class
BINARY is BloodPressure Class
BINARY is Brainstem Class
BINARY SubClassOf Brainstem SegmentOfBrain
BINARY is BreastResection Class
BINARY SubClassOf BreastResection Resection
BINARY DisjointWith BreastResection AxillaryNodeDissection
BINARY is C-VAMPChemo Class
BINARY SubClassOf C-VAMPChemo Chemotherapy
BINARY is CAFChemo Class
BINARY SubClassOf CAFChemo Chemotherapy
BINARY is CAVChemo Class
BINARY SubClassOf CAVChemo Chemotherapy
BINARY is CHOPChemo Class
BINARY SubClassOf CHOPChemo Chemotherapy
BINARY is CMFChemo Class
BINARY SubClassOf CMFChemo Chemotherapy
BINARY is CN_0 Class
BINARY is CanonicalOrganismalSurface Class
BINARY SubClassOf CanonicalOrganismalSurface OrganismalSurface
BINARY DisjointWith CanonicalOrganismalSurface PathologicalOrganismalSurface
BINARY is CapecitabineDocetaxelChemo Class
BINARY SubClassOf CapecitabineDocetaxelChemo Chemotherapy
BINARY is CarboplatinEtoposideChemo Class
BINARY SubClassOf CarboplatinEtoposideChemo Chemotherapy
BINARY is CardiacSymptom Class
BINARY SubClassOf CardiacSymptom CardiovascularSystemSymptom
BINARY DisjointWith CardiacSymptom VascularSymptom
BINARY is CardinalFreeLimbSegment Class
BINARY is CardiovascularSystemSymptom Class
BINARY is CerebralHemisphere Class
BINARY SubClassOf CerebralHemisphere SegmentOfBrain
BINARY is Chemotherapy Class
BINARY SubClassOf Chemotherapy Pharmacotherapy,
BINARY SubClassOf Chemotherapy hasMagnitude_some_NumberOfCycles,
BINARY SubClassOf Chemotherapy hasRole_some
BINARY SubClassOf Chemotherapy (AdjuvantChemotherapy_or_NeoadjuvantChemotherapy_or_PrimaryTherapy),
BINARY SubClassOf Chemotherapy hasRole_some
BINARY SubClassOf Chemotherapy (PrimaryTherapy_or_SupportingTherapy),
BINARY SubClassOf Chemotherapy hasMagnitude_min_0_NumberOfLatenessDays,
BINARY SubClassOf Chemotherapy hasQuality_min_0_Lateness,
BINARY SubClassOf Chemotherapy hasRole_min_0_AdjuvantChemotherapy,
BINARY SubClassOf Chemotherapy hasRole_min_0_NeoadjuvantChemotherapy
BINARY DisjointWith Chemotherapy SupportivePharmacotherapy
BINARY DisjointWith Chemotherapy Immunotherapy
BINARY DisjointWith Chemotherapy HormonalTreatment
BINARY DisjointWith Chemotherapy GeneTherapy
BINARY DisjointWith Chemotherapy AntiarrhythmicPharmacotherapy
BINARY is ChlVPPChemo Class
BINARY SubClassOf ChlVPPChemo Chemotherapy
BINARY is CisplatinFluorouracilChemo Class
BINARY SubClassOf CisplatinFluorouracilChemo Chemotherapy
BINARY is ClinicalStudy Class
BINARY is ClinicalStudyProtocol Class
BINARY is CoccygealVertebra Class
BINARY SubClassOf CoccygealVertebra Vertebra
BINARY is ColloidCarcinoma Class
BINARY DisjointWith ColloidCarcinoma InvasiveDuctalCarcinoma
BINARY DisjointWith ColloidCarcinoma InflammatoryCarcinoma
BINARY is ComedoCarcinoma Class
BINARY SubClassOf ComedoCarcinoma InvasiveDuctalCarcinoma
BINARY is ComputerScientist Class
BINARY is CorticomedullaryOrgan Class
