BINARY is AssociatedWith ObjectProperty
BINARY is AcuteLymphoblasticLeukemia Class
BINARY SubClassOf AcuteLymphoblasticLeukemia LymphoidLeukemia
BINARY is AcuteMyeloidLeukemia Class
BINARY SubClassOf AcuteMyeloidLeukemia MyeloidLeukemia
BINARY is Adenocarcinoma Class
BINARY SubClassOf Adenocarcinoma Carcinoma
BINARY is Adenoma Class
BINARY SubClassOf Adenoma EpithelialNeoplasm
BINARY is AdenosquamousCarcinoma Class
BINARY SubClassOf AdenosquamousCarcinoma ComplexAndMixedNeoplasm
BINARY is AdiposeTissueNeoplasm Class
BINARY SubClassOf AdiposeTissueNeoplasm ConnectiveAndSoftTissueNeoplasm
BINARY DisjointWith AdiposeTissueNeoplasm ConnectiveTissueNeoplasm
BINARY is AdrenalCortexNeoplasm Class
BINARY SubClassOf AdrenalCortexNeoplasm AdrenalGlandNeoplasm
BINARY is AdrenalGlandNeoplasm Class
BINARY SubClassOf AdrenalGlandNeoplasm EndocrineGlandNeoplasm
BINARY is Agammaglobulinemia Class
BINARY SubClassOf Agammaglobulinemia BloodProteinDisorder
BINARY is AnaplasticThyroidCarcinoma Class
BINARY SubClassOf AnaplasticThyroidCarcinoma ThyroidNeoplasm
BINARY is Angiomyolipoma Class
BINARY SubClassOf Angiomyolipoma AdiposeTissueNeoplasm
BINARY is Ascites Class
BINARY SubClassOf Ascites PathologicProcess
BINARY is AzaserineInducedPancreaticNeoplasm Class
BINARY SubClassOf AzaserineInducedPancreaticNeoplasm ChemicalInducedNeoplasm
BINARY is B-CellLymphocyticLeukemia Class
BINARY SubClassOf B-CellLymphocyticLeukemia LymphoidLeukemia
BINARY is BarrettEsophagus Class
BINARY SubClassOf BarrettEsophagus EsophagealDisease
BINARY is BasophilicLeukemia Class
BINARY SubClassOf BasophilicLeukemia MyeloidLeukemia
BINARY is BileDuctNeoplasm Class
BINARY SubClassOf BileDuctNeoplasm BiliaryTractNeoplasm
BINARY is BiliaryTractNeoplasm Class
BINARY SubClassOf BiliaryTractNeoplasm DigestiveSystemNeoplasm
BINARY is BloodPlateletDisorders Class
BINARY SubClassOf BloodPlateletDisorders HematologicDisease
BINARY is BloodProteinDisorder Class
BINARY SubClassOf BloodProteinDisorder HematologicDisease
BINARY is BloomSyndrome Class
BINARY SubClassOf BloomSyndrome MultipleAbnormalities
BINARY is BoneMarrowDiseases Class
BINARY SubClassOf BoneMarrowDiseases HematologicDisease
BINARY is BoneNeoplasm Class
BINARY SubClassOf BoneNeoplasm Neoplasm
BINARY is BoneTissueNeoplasm Class
BINARY SubClassOf BoneTissueNeoplasm ConnectiveTissueNeoplasm
BINARY is BrainNeoplasm Class
BINARY SubClassOf BrainNeoplasm CentralNervousSystemNeoplasm
BINARY is BreastDiseases Class
BINARY SubClassOf BreastDiseases PathologicalCondition
BINARY is BreastFibrocysticDisease Class
BINARY SubClassOf BreastFibrocysticDisease BreastDiseases
BINARY is BreastNeoplasm Class
BINARY SubClassOf BreastNeoplasm Neoplasm
BINARY is Carcinoma Class
BINARY SubClassOf Carcinoma EpithelialNeoplasm
BINARY is CentralNervousSystemNeoplasm Class
BINARY equiv CentralNervousSystemNeoplasm NervousTissueNeoplasm
BINARY SubClassOf CentralNervousSystemNeoplasm NervousSystemNeoplasm
BINARY DisjointWith CentralNervousSystemNeoplasm NervousTissueNeoplasm
BINARY is ChemicalInducedNeoplasm Class
BINARY SubClassOf ChemicalInducedNeoplasm ExperimentalNeoplasm
BINARY is Chondrosarcoma Class
BINARY SubClassOf Chondrosarcoma ConnectiveTissueNeoplasm
BINARY is Chordoma Class
BINARY SubClassOf Chordoma GermCellAndEmbryonicNeoplasm
BINARY is Choriocarcinoma Class
BINARY SubClassOf Choriocarcinoma TrophoblasticNeoplasm
BINARY is ComplexAndMixedNeoplasm Class
BINARY SubClassOf ComplexAndMixedNeoplasm Neoplasm
BINARY is CongenitalAbnormality Class
BINARY SubClassOf CongenitalAbnormality PathologicalCondition
BINARY is CongenitalHemolyticAnemia Class
BINARY SubClassOf CongenitalHemolyticAnemia InbornGeneticDisease
BINARY is CongenitalHypoplasticAnemia Class
BINARY SubClassOf CongenitalHypoplasticAnemia InbornGeneticDisease
BINARY is ConnectiveAndSoftTissueNeoplasm Class
BINARY SubClassOf ConnectiveAndSoftTissueNeoplasm Neoplasm
BINARY is ConnectiveTissueNeoplasm Class
BINARY SubClassOf ConnectiveTissueNeoplasm ConnectiveAndSoftTissueNeoplasm
BINARY DisjointWith ConnectiveTissueNeoplasm AdiposeTissueNeoplasm
BINARY is CysticFibrosis Class
BINARY SubClassOf CysticFibrosis LungDisease
BINARY is DigestiveSystemDisease Class
BINARY SubClassOf DigestiveSystemDisease PathologicalCondition
BINARY DisjointWith DigestiveSystemDisease Neoplasm
BINARY is DigestiveSystemNeoplasm Class
BINARY SubClassOf DigestiveSystemNeoplasm Neoplasm
BINARY is EmbryonalCarcinoma Class
BINARY SubClassOf EmbryonalCarcinoma GermCellAndEmbryonicNeoplasm
BINARY is EndocrineGlandNeoplasm Class
BINARY SubClassOf EndocrineGlandNeoplasm FollicularThyroidCarcinoma,
BINARY SubClassOf EndocrineGlandNeoplasm Neoplasm
BINARY is Endothelioma Class
BINARY SubClassOf Endothelioma Neoplasm
BINARY is EpithelialNeoplasm Class
BINARY SubClassOf EpithelialNeoplasm Neoplasm
BINARY is EsophagealDisease Class
BINARY SubClassOf EsophagealDisease GastrointestinalDisease
BINARY is EsophagealNeoplasm Class
BINARY SubClassOf EsophagealNeoplasm GastrointestinalNeoplasm
BINARY is ExperimentalNeoplasm Class
BINARY SubClassOf ExperimentalNeoplasm Neoplasm,
BINARY SubClassOf ExperimentalNeoplasm AssociatedWith_some_LungNeoplasm,
BINARY SubClassOf ExperimentalNeoplasm AssociatedWith_only_T-CellLymphocyticLeukemia
BINARY is EyeNeoplasm Class
BINARY SubClassOf EyeNeoplasm Neoplasm
BINARY is FanconiAnemia Class
BINARY SubClassOf FanconiAnemia CongenitalHypoplasticAnemia
BINARY is FemaleGenitalNeoplasm Class
BINARY SubClassOf FemaleGenitalNeoplasm UrogenitalNeoplasm
BINARY is FibrousTissueNeoplasm Class
BINARY SubClassOf FibrousTissueNeoplasm ConnectiveTissueNeoplasm
BINARY is FollicularThyroidCarcinoma Class
BINARY SubClassOf FollicularThyroidCarcinoma ThyroidNeoplasm
BINARY is GallbladderNeoplasm Class
BINARY SubClassOf GallbladderNeoplasm BiliaryTractNeoplasm
BINARY is GastricNeoplasm Class
BINARY SubClassOf GastricNeoplasm GastrointestinalNeoplasm
BINARY is GastrointestinalDisease Class
BINARY SubClassOf GastrointestinalDisease DigestiveSystemDisease
BINARY is GastrointestinalNeoplasm Class
BINARY SubClassOf GastrointestinalNeoplasm DigestiveSystemNeoplasm
BINARY is GermCellAndEmbryonicNeoplasm Class
