BINARY is boolean Datatype
BINARY is causes ObjectProperty
BINARY is distantMetastasisOf ObjectProperty
BINARY SubPropertyOf distantMetastasisOf metastasisOf
BINARY is distantRecurrenceOf ObjectProperty
BINARY SubPropertyOf distantRecurrenceOf relapseOf
BINARY is excisedBy ObjectProperty
BINARY Domain excisedBy MaterialOrganismalIndependentContinuant
BINARY Range excisedBy SurgicalProcedure
BINARY InverseOf excisedBy excises
BINARY is excises ObjectProperty
BINARY InverseOf excises excisedBy
BINARY is graftedBy ObjectProperty
BINARY Domain graftedBy MaterialOrganismalIndependentContinuant
BINARY Range graftedBy SurgicalProcedure
BINARY InverseOf graftedBy grafts
BINARY is grafts ObjectProperty
BINARY InverseOf grafts graftedBy
BINARY is hasDepth ObjectProperty
BINARY is hasDiameter ObjectProperty
BINARY is hasDistantMetastasis ObjectProperty
BINARY SubPropertyOf hasDistantMetastasis hasMetastasis
BINARY is hasDistantRecurrence ObjectProperty
BINARY SubPropertyOf hasDistantRecurrence hasRelapse
BINARY is hasHeight ObjectProperty
BINARY is hasLength ObjectProperty
BINARY is hasLocalRecurrence ObjectProperty
BINARY Domain hasLocalRecurrence MalignNeoplasm
BINARY InverseOf hasLocalRecurrence localRecurrenceOf
BINARY is hasMagnitude ObjectProperty
BINARY is hasMalignancy ObjectProperty
BINARY Characteristics hasMalignancy Functional
BINARY Domain hasMalignancy PathologicalFormation
BINARY Range hasMalignancy Malignancy
BINARY is hasMetastasis ObjectProperty
BINARY Domain hasMetastasis Neoplasm
BINARY Range hasMetastasis Neoplasm
BINARY InverseOf hasMetastasis metastasisOf
BINARY is hasQuality ObjectProperty
BINARY is hasRegionalRecurrence ObjectProperty
BINARY SubPropertyOf hasRegionalRecurrence hasRelapse
BINARY is hasRelapse ObjectProperty
BINARY Domain hasRelapse MalignNeoplasm
BINARY Range hasRelapse MalignNeoplasm
BINARY InverseOf hasRelapse relapseOf
BINARY is hasTumorClass ObjectProperty
BINARY Domain hasTumorClass MalignNeoplasm
BINARY Range hasTumorClass TumorClass
BINARY InverseOf hasTumorClass tumorClassOf
BINARY is hasWeight ObjectProperty
BINARY is hasWidth ObjectProperty
BINARY is implements ObjectProperty
BINARY is localRecurrenceOf ObjectProperty
BINARY InverseOf localRecurrenceOf hasLocalRecurrence
BINARY is metastasisOf ObjectProperty
BINARY Domain metastasisOf Neoplasm
BINARY Range metastasisOf Neoplasm
