BINARY is decimal Datatype
BINARY is RO_0003303 ObjectProperty
BINARY is SCDO_0000469 ObjectProperty
BINARY is SCDO_0000474 ObjectProperty
BINARY is SCDO_0000663 ObjectProperty
BINARY is SCDO_0000664 ObjectProperty
BINARY is SCDO_0001297 ObjectProperty
BINARY is SCDO_0001364 ObjectProperty
BINARY is SCDO_1000005 ObjectProperty
BINARY is SCDO_1000015 ObjectProperty
BINARY is SCDO_1000018 ObjectProperty
BINARY is SCDO_1000172 ObjectProperty
BINARY is SCDO_1000184 ObjectProperty
BINARY is SCDO_1000190 ObjectProperty
BINARY is SCDO_1000191 ObjectProperty
BINARY is SCDO_1000193 ObjectProperty
BINARY is SCDO_1000194 ObjectProperty
BINARY is SCDO_1000196 ObjectProperty
BINARY is SCDO_1000202 ObjectProperty
BINARY is SCDO_1000210 ObjectProperty
BINARY is SCDO_1000218 ObjectProperty
BINARY is SCDO_1000222 ObjectProperty
BINARY is SCDO_1000223 ObjectProperty
BINARY is SCDO_1000772 ObjectProperty
BINARY Domain SCDO_1000772 SCDO_0000728
BINARY Range SCDO_1000772 HP_0000118
BINARY is SCDO_1000782 ObjectProperty
BINARY Domain SCDO_1000782 SCDO_0000728
BINARY Range SCDO_1000782 UO_0000000
BINARY is SCDO_1110663 ObjectProperty
BINARY is SCDO_1000523 DataProperty
BINARY Characteristics SCDO_1000523 Functional
BINARY Domain SCDO_1000523 SCDO_0000728
BINARY Range SCDO_1000523 decimal
BINARY is SCDO_1000524 DataProperty
BINARY Characteristics SCDO_1000524 Functional
BINARY Domain SCDO_1000524 SCDO_0000728
BINARY Range SCDO_1000524 decimal
BINARY is SCDO_1000776 DataProperty
BINARY Characteristics SCDO_1000776 Functional
BINARY Domain SCDO_1000776 SCDO_0000728
BINARY Range SCDO_1000776 decimal
BINARY is SCDO_1000777 DataProperty
BINARY Characteristics SCDO_1000777 Functional
BINARY Domain SCDO_1000777 SCDO_0000728
BINARY Range SCDO_1000777 decimal
BINARY is SCDO_1000778 DataProperty
BINARY Characteristics SCDO_1000778 Functional
BINARY Domain SCDO_1000778 SCDO_0000728
BINARY Range SCDO_1000778 decimal
BINARY is SCDO_1000779 DataProperty
BINARY Characteristics SCDO_1000779 Functional
BINARY Domain SCDO_1000779 SCDO_0000728
BINARY Range SCDO_1000779 decimal
BINARY is SCDO_1000780 DataProperty
BINARY Characteristics SCDO_1000780 Functional
BINARY Domain SCDO_1000780 SCDO_0000728
BINARY Range SCDO_1000780 decimal
BINARY is SCDO_1000781 DataProperty
BINARY Characteristics SCDO_1000781 Functional
BINARY Domain SCDO_1000781 SCDO_0000728
BINARY Range SCDO_1000781 decimal
BINARY is APOLLO_SV_00000241 Class
BINARY SubClassOf APOLLO_SV_00000241 SCDO_0300005
BINARY is ARO_0000006 Class
BINARY SubClassOf ARO_0000006 NCIT_C258,
BINARY SubClassOf ARO_0000006 SCDO_0000922,
BINARY SubClassOf ARO_0000006 SCDO_1110663_some_SCDO_1000144,
BINARY SubClassOf ARO_0000006 SCDO_1110663_some_SCDO_1000145,
BINARY SubClassOf ARO_0000006 SCDO_1110663_some_SCDO_1000146,
BINARY SubClassOf ARO_0000006 SCDO_1110663_some_SCDO_1000147,
BINARY SubClassOf ARO_0000006 SCDO_1110663_some_SCDO_1000148,
BINARY SubClassOf ARO_0000006 SCDO_1110663_some_SCDO_1000149,
BINARY SubClassOf ARO_0000006 SCDO_1110663_some_SCDO_1000150,
BINARY SubClassOf ARO_0000006 SCDO_1110663_some_SCDO_1000151
BINARY is ARO_0000054 Class
BINARY SubClassOf ARO_0000054 NCIT_C258,
BINARY SubClassOf ARO_0000054 SCDO_0000922,
BINARY SubClassOf ARO_0000054 SCDO_1110663_some_SCDO_1000144,
BINARY SubClassOf ARO_0000054 SCDO_1110663_some_SCDO_1000145,
BINARY SubClassOf ARO_0000054 SCDO_1110663_some_SCDO_1000146,
BINARY SubClassOf ARO_0000054 SCDO_1110663_some_SCDO_1000147,
BINARY SubClassOf ARO_0000054 SCDO_1110663_some_SCDO_1000148,
BINARY SubClassOf ARO_0000054 SCDO_1110663_some_SCDO_1000149,
BINARY SubClassOf ARO_0000054 SCDO_1110663_some_SCDO_1000150,
BINARY SubClassOf ARO_0000054 SCDO_1110663_some_SCDO_1000151,
BINARY SubClassOf ARO_0000054 SCDO_1110663_some_SCDO_1000152,
BINARY SubClassOf ARO_0000054 SCDO_1110663_some_SCDO_1000153,
BINARY SubClassOf ARO_0000054 SCDO_1110663_some_SCDO_1000154
BINARY is ARO_0000064 Class
BINARY SubClassOf ARO_0000064 ARO_0000054
BINARY is CHEBI_23888 Class
BINARY SubClassOf CHEBI_23888 SCDO_0001152
BINARY is CHEBI_35482 Class
BINARY SubClassOf CHEBI_35482 SCDO_0000050
BINARY is CHEBI_35493 Class
BINARY SubClassOf CHEBI_35493 CHEBI_23888,
BINARY SubClassOf CHEBI_35493 SCDO_0000922,
BINARY SubClassOf CHEBI_35493 SCDO_1110663_some_SCDO_1000146,
BINARY SubClassOf CHEBI_35493 SCDO_1110663_some_SCDO_1000147,
BINARY SubClassOf CHEBI_35493 SCDO_1110663_some_SCDO_1000149,
BINARY SubClassOf CHEBI_35493 SCDO_1110663_some_SCDO_1000151
BINARY is CHEBI_42797 Class
BINARY SubClassOf CHEBI_42797 CHEBI_23888,
BINARY SubClassOf CHEBI_42797 SCDO_0000922,
BINARY SubClassOf CHEBI_42797 SCDO_1110663_some_SCDO_1000149,
BINARY SubClassOf CHEBI_42797 SCDO_1110663_some_SCDO_1000154
BINARY is CHEBI_60809 Class
BINARY SubClassOf CHEBI_60809 SCDO_0001152,
BINARY SubClassOf CHEBI_60809 SCDO_1000015_some_NCIT_C39547
BINARY is CHEBI_6909 Class
BINARY SubClassOf CHEBI_6909 NCIT_C258,
BINARY SubClassOf CHEBI_6909 SCDO_0000922,
BINARY SubClassOf CHEBI_6909 SCDO_1000018_some_HP_0001081,
BINARY SubClassOf CHEBI_6909 SCDO_1110663_some_SCDO_1000145,
BINARY SubClassOf CHEBI_6909 SCDO_1110663_some_SCDO_1000146
BINARY is CHMO_0001009 Class
BINARY SubClassOf CHMO_0001009 SCDO_1000577
BINARY is CMO_0000001 Class
BINARY SubClassOf CMO_0000001 SCDO_0000728
BINARY is CMO_0000003 Class
BINARY SubClassOf CMO_0000003 CMO_0000001
BINARY is CMO_0000011 Class
BINARY SubClassOf CMO_0000011 CMO_0000021
BINARY is CMO_0000015 Class
BINARY SubClassOf CMO_0000015 SCDO_0000728,
BINARY SubClassOf CMO_0000015 SCDO_0001297_some_NCIT_C17357,
BINARY SubClassOf CMO_0000015 SCDO_0001297_some_SCDO_0000304,
BINARY SubClassOf CMO_0000015 SCDO_1000190_some_OBI_0002140,
BINARY SubClassOf CMO_0000015 SCDO_1000772_some_MP_0005533,
BINARY SubClassOf CMO_0000015 SCDO_1000772_some_MP_0005534
BINARY is CMO_0000021 Class
BINARY SubClassOf CMO_0000021 SCDO_0000728
BINARY is CMO_0000023 Class
BINARY SubClassOf CMO_0000023 CMO_0000035
BINARY is CMO_0000025 Class
BINARY is CMO_0000027 Class
BINARY is CMO_0000029 Class
BINARY is CMO_0000035 Class
BINARY SubClassOf CMO_0000035 SCDO_0000728
BINARY is CMO_0000036 Class
BINARY SubClassOf CMO_0000036 CMO_0000035
BINARY is CMO_0000094 Class
BINARY SubClassOf CMO_0000094 SCDO_0000728
BINARY is CMO_0000195 Class
BINARY SubClassOf CMO_0000195 CMO_0000001
BINARY is CMO_0000204 Class
BINARY SubClassOf CMO_0000204 CMO_0000035
BINARY is CMO_0000256 Class
BINARY SubClassOf CMO_0000256 SCDO_0000728
BINARY is CMO_0000364 Class
BINARY is CMO_0001321 Class
BINARY SubClassOf CMO_0001321 CMO_0000035
BINARY is DOID_0050731 Class
BINARY SubClassOf DOID_0050731 SCDO_1000261
BINARY is DOID_0060181 Class
BINARY SubClassOf DOID_0060181 HP_0025031
BINARY is DOID_1188 Class
BINARY is DOID_1584 Class
BINARY SubClassOf DOID_1584 HP_0002086,
BINARY SubClassOf DOID_1584 SCDO_1000000
BINARY is DOID_2326 Class
BINARY SubClassOf DOID_2326 IDO_0000586,
BINARY SubClassOf DOID_2326 SCDO_1110663_some_SCDO_1000147,
BINARY SubClassOf DOID_2326 SCDO_1110663_some_SCDO_1000149
BINARY is DOID_4 Class
BINARY SubClassOf DOID_4 SCDO_0001000,
BINARY SubClassOf DOID_4 SCDO_1000015_some_NCIT_C17047
BINARY is DOID_813 Class
BINARY SubClassOf DOID_813 HP_0000924,
BINARY SubClassOf DOID_813 IDO_0000586,
BINARY SubClassOf DOID_813 SCDO_1110663_some_SCDO_1000144,
BINARY SubClassOf DOID_813 SCDO_1110663_some_SCDO_1000146,
BINARY SubClassOf DOID_813 SCDO_1110663_some_SCDO_1000150,
BINARY SubClassOf DOID_813 SCDO_1110663_some_SCDO_1000151
BINARY is DRON_00017565 Class
BINARY SubClassOf DRON_00017565 SCDO_0000791
BINARY is DUO_0000018 Class
BINARY SubClassOf DUO_0000018 SCDO_1000408
BINARY is DUO_0000019 Class
BINARY SubClassOf DUO_0000019 SCDO_1000408
BINARY is DUO_0000020 Class
BINARY SubClassOf DUO_0000020 SCDO_1000408
BINARY is DUO_0000021 Class
BINARY SubClassOf DUO_0000021 SCDO_1000408
BINARY is DUO_0000022 Class
BINARY SubClassOf DUO_0000022 SCDO_1000408
BINARY is DUO_0000024 Class
BINARY SubClassOf DUO_0000024 SCDO_1000408
BINARY is DUO_0000025 Class
BINARY SubClassOf DUO_0000025 SCDO_1000408
BINARY is DUO_0000026 Class
BINARY SubClassOf DUO_0000026 SCDO_1000408
BINARY is DUO_0000027 Class
BINARY SubClassOf DUO_0000027 SCDO_1000408
BINARY is DUO_0000028 Class
BINARY SubClassOf DUO_0000028 SCDO_1000408
BINARY is DUO_0000029 Class
BINARY SubClassOf DUO_0000029 SCDO_1000408
BINARY is ENVO_02500036 Class
BINARY SubClassOf ENVO_02500036 SCDO_0000897
BINARY is EUPATH_0000034 Class
BINARY SubClassOf EUPATH_0000034 SCDO_0004061,
BINARY SubClassOf EUPATH_0000034 RO_0003303_some_NCIT_C95504,
BINARY SubClassOf EUPATH_0000034 RO_0003303_some_NCIT_C95535,
BINARY SubClassOf EUPATH_0000034 RO_0003303_some_SCDO_0000042,
BINARY SubClassOf EUPATH_0000034 SCDO_1000222_some_SCDO_1000240
BINARY is EUPATH_0000050 Class
BINARY SubClassOf EUPATH_0000050 NCIT_C103165
BINARY is EUPATH_0000215 Class
BINARY is EUPATH_0000310 Class
BINARY SubClassOf EUPATH_0000310 SCDO_0006339
BINARY is ExO_0000034 Class
BINARY SubClassOf ExO_0000034 NCIT_C19332,
BINARY SubClassOf ExO_0000034 SCDO_0001090,
BINARY SubClassOf ExO_0000034 SCDO_1000157
BINARY is ExO_0000048 Class
BINARY SubClassOf ExO_0000048 SCDO_0000897
BINARY is GAZ_00000448 Class
BINARY SubClassOf GAZ_00000448 SCDO_0000897
BINARY is GSSO_000109 Class
BINARY SubClassOf GSSO_000109 NCIT_C91106
BINARY is GSSO_003239 Class
BINARY SubClassOf GSSO_003239 SCDO_1000430
BINARY is HP_0000005 Class
BINARY SubClassOf HP_0000005 SCDO_0001000
BINARY is HP_0000006 Class
BINARY SubClassOf HP_0000006 HP_0000005
BINARY is HP_0000007 Class
BINARY SubClassOf HP_0000007 HP_0000005
BINARY is HP_0000077 Class
BINARY SubClassOf HP_0000077 HP_0000079
BINARY is HP_0000078 Class
BINARY SubClassOf HP_0000078 HP_0000118
BINARY is HP_0000079 Class
BINARY SubClassOf HP_0000079 HP_0000118
BINARY is HP_0000080 Class
BINARY SubClassOf HP_0000080 HP_0000078
BINARY is HP_0000084 Class
BINARY is HP_0000096 Class
BINARY is HP_0000097 Class
BINARY is HP_0000099 Class
BINARY is HP_0000112 Class
BINARY is HP_0000118 Class
BINARY is HP_0000123 Class
BINARY SubClassOf HP_0000123 HP_0002715
BINARY is HP_0000132 Class
BINARY is HP_0000225 Class
BINARY SubClassOf HP_0000225 HP_0000271
BINARY is HP_0000271 Class
BINARY SubClassOf HP_0000271 HP_0000118
BINARY is HP_0000388 Class
BINARY SubClassOf HP_0000388 HP_0002715,
BINARY SubClassOf HP_0000388 IDO_0000586,
BINARY SubClassOf HP_0000388 SCDO_0000664_some_IDO_0000560,
BINARY SubClassOf HP_0000388 SCDO_0000664_some_NCIT_C258,
