BINARY is FOBI_00422 ObjectProperty
BINARY is fobi.#FOBI Class
BINARY SubClassOf fobi.#FOBI FOBI_040108
BINARY is fobi.#FOBI Class
BINARY SubClassOf fobi.#FOBI FOBI_040061
BINARY is fobi.#FOBI Class
BINARY is fobi.#FOBI Class
BINARY SubClassOf fobi.#FOBI FOBI_040013
BINARY is fobi.#FOBI Class
BINARY is fobi.#FOBI Class
BINARY is fobi.#FOBI Class
BINARY SubClassOf fobi.#FOBI FOBI_040017
BINARY is fobi.#FOBI Class
BINARY is fobi.#FOBI Class
BINARY is fobi.#FOBI Class
BINARY is fobi.#FOBI Class
BINARY SubClassOf fobi.#FOBI FOBI_040054
BINARY is fobi.#FOBI Class
BINARY is FOBI_050089 fobi.#
BINARY is fobi.#FOBI Class
BINARY SubClassOf fobi.#FOBI FOBI_040005
BINARY is fobi.#FOBI Class
BINARY is fobi.#FOBI Class
BINARY is fobi.#FOBI Class
BINARY is fobi.#FOBI Class
BINARY SubClassOf fobi.#FOBI FOBI_040054
BINARY is fobi.#FOBI Class
BINARY is fobi.#FOBI Class
BINARY SubClassOf fobi.#FOBI FOBI_040043
BINARY is fobi.#FOBI Class
BINARY SubClassOf fobi.#FOBI FOBI_040012
BINARY is fobi.#FOBI Class
BINARY SubClassOf fobi.#FOBI FOBI_040005
BINARY is fobi.#FOBI Class
BINARY SubClassOf fobi.#FOBI FOBI_040054
BINARY is fobi.#FOBI Class
BINARY SubClassOf fobi.#FOBI FOBI_040015
BINARY is fobi.#FOBI Class
BINARY is fobi.#FOBI Class
BINARY is fobi.#FOBI Class
BINARY SubClassOf fobi.#FOBI FOBI_040015
BINARY is fobi.#FOBI Class
BINARY is fobi.#FOBI Class
BINARY SubClassOf fobi.#FOBI FOBI_040006
BINARY is fobi.#FOBI Class
BINARY SubClassOf fobi.#FOBI FOBI_040108
BINARY is fobi.#FOBI Class
BINARY is fobi.#FOBI Class
BINARY is fobi.#FOBI Class
BINARY is fobi.#FOBI Class
BINARY is fobi.#FOBI Class
BINARY SubClassOf fobi.#FOBI FOBI_040081
BINARY is fobi.#FOBI Class
