BINARY is double Datatype
BINARY is BFO_0000053 ObjectProperty
BINARY is BFO_0000071 ObjectProperty
BINARY is IAO_0000039 ObjectProperty
BINARY is www.obofoundry.org/ro/ro.# ObjectProperty
BINARY is OBI_0001937 DataProperty
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is //www.wikidata.org/wiki/ Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is BFO_0000016 Class
BINARY is CHEBI_100241 Class
BINARY is CHEBI_10093 Class
BINARY is CHEBI_10110 Class
BINARY is CHEBI_10124 Class
BINARY is CHEBI_10125 Class
BINARY is CHEBI_101278 Class
