BINARY is ICDO_0000042 ObjectProperty
BINARY is ICDO_0000001 Class
BINARY is ICDO_0000011 Class
BINARY is ICDO_0000036 Class
BINARY is ICDO_0000040 Class
BINARY is ICDO_0000075 Class
BINARY is ICDO_0000393 icdo.#
BINARY is ICDO_0000422 Class
BINARY is ICDO_0000374 icdo.#
BINARY is ICDO_10H60.3 Class
BINARY equiv ICDO_10H60.3 ICDO_0000042_some_ICDO_0000011,
BINARY equiv ICDO_10H60.3 ICDO_0000042_some_ICDO_0000036
BINARY SubClassOf ICDO_10H60.3 ICDO_11AA0Y,
BINARY SubClassOf ICDO_10H60.3 ICDO_0000042_some_ICDO_0000036
BINARY DisjointWith ICDO_10H60.3 ICDO_0000042_some_ICDO_0000011
BINARY is ICDO_10H62 Class
BINARY is ICDO_10H62.0 Class
BINARY SubClassOf ICDO_10H62.0 ICDO_10H62,
BINARY SubClassOf ICDO_10H62.0 ICDO_0000042_some_ICDO_0000040,
BINARY SubClassOf ICDO_10H62.0 ICDO_0000042_some_ICDO_0000075,
BINARY is ICDO_0000393 ICDO_0000042_only_icdo.#
BINARY is ICDO_11AA0Y Class
BINARY is icdo.# Class
BINARY SubClassOf icdo.# ICDO_0000001
BINARY is icdo.# Class
BINARY is ICDO_0000374 icdo.#
BINARY is icdo.# Class
BINARY is ICDO_0000374 icdo.#
BINARY is icdo.# Class
BINARY is ICDO_0000374 icdo.#
BINARY is icdo.# Class
BINARY is ICDO_0000374 icdo.#
BINARY is icdo.# Class
BINARY is ICDO_0000374 icdo.#
BINARY is icdo.# Class
BINARY is ICDO_0000374 icdo.#
BINARY is icdo.# Class
BINARY is ICDO_0000374 icdo.#
BINARY is icdo.# Class
BINARY is ICDO_0000374 icdo.#
BINARY is icdo.# Class
BINARY is ICDO_0000374 icdo.#
BINARY is icdo.# Class
BINARY is ICDO_0000374 icdo.#
BINARY is icdo.# Class
BINARY is ICDO_0000374 icdo.#
BINARY DisjointWith ICDO_0000374 ICDO_0000075
BINARY is icdo.# Class
BINARY is ICDO_0000374 icdo.#
BINARY is icdo.# Class
BINARY is ICDO_0000374 icdo.#
BINARY is icdo.# Class
BINARY is ICDO_0000374 icdo.#
BINARY is icdo.# Class
BINARY is ICDO_0000374 icdo.#
BINARY is icdo.# Class
BINARY is ICDO_0000374 icdo.#
BINARY is icdo.# Class
BINARY is ICDO_0000374 icdo.#
BINARY is icdo./ Class
BINARY is ICDO_0000374 icdo.#
BINARY is icdo./ Class
BINARY is ICDO_0000374 icdo.#
BINARY is icdo./ Class
BINARY is ICDO_0000374 icdo.#
BINARY is icdo./ Class
BINARY is ICDO_0000374 icdo.#
BINARY is icdo./ Class
BINARY is ICDO_0000374 icdo.#
BINARY is icdo./ Class
BINARY is ICDO_0000374 icdo.#
BINARY is icdo./ Class
BINARY is ICDO_0000374 icdo.#
BINARY is icdo./ Class
BINARY is ICDO_0000374 icdo.#
BINARY is icdo./ Class
BINARY is ICDO_0000374 icdo.#
BINARY is icdo./ Class
BINARY is ICDO_0000374 icdo.#
BINARY is icdo./ Class
BINARY is ICDO_0000374 icdo.#
BINARY is icdo./ Class
BINARY is ICDO_0000374 icdo.#
BINARY is icdo./ Class
BINARY is ICDO_0000374 icdo.#
BINARY is www.w3.org/2002/07/# Class
