BINARY is has_template ObjectProperty
BINARY is 15-LOX-1_mRNA Class
BINARY SubClassOf 15-LOX-1_mRNA UnprocessedmRNA
BINARY is 40S_mRNA Class
BINARY SubClassOf 40S_mRNA UnprocessedmRNA
BINARY is 60S_mRNA Class
BINARY SubClassOf 60S_mRNA UnprocessedmRNA
BINARY is A2M_mRNA Class
BINARY SubClassOf A2M_mRNA UnprocessedmRNA
BINARY is ABCA1_mRNA Class
BINARY SubClassOf ABCA1_mRNA UnprocessedmRNA
BINARY is ABL_mRNA Class
BINARY SubClassOf ABL_mRNA UnprocessedmRNA
BINARY is ABchannel_mRNA Class
BINARY SubClassOf ABchannel_mRNA UnprocessedmRNA
BINARY is ACHE_mRNA Class
BINARY SubClassOf ACHE_mRNA UnprocessedmRNA
BINARY is ACO1_mRNA Class
BINARY SubClassOf ACO1_mRNA UnprocessedmRNA
BINARY is ACTA1_mRNA Class
BINARY SubClassOf ACTA1_mRNA UnprocessedmRNA
BINARY is ADAM10_mRNA Class
BINARY SubClassOf ADAM10_mRNA UnprocessedmRNA
BINARY is ADAM17_mRNA Class
BINARY SubClassOf ADAM17_mRNA UnprocessedmRNA
BINARY is ADAM_mRNA Class
BINARY SubClassOf ADAM_mRNA UnprocessedmRNA
BINARY is ADCY10_mRNA Class
BINARY SubClassOf ADCY10_mRNA UnprocessedmRNA
BINARY is ADRBK1_mRNA Class
BINARY SubClassOf ADRBK1_mRNA UnprocessedmRNA
BINARY is AGER_mRNA Class
BINARY SubClassOf AGER_mRNA UnprocessedmRNA
BINARY is AKT1S1_mRNA Class
BINARY SubClassOf AKT1S1_mRNA UnprocessedmRNA
BINARY is AKT1_mRNA Class
BINARY SubClassOf AKT1_mRNA UnprocessedmRNA
BINARY is ALB_mRNA Class
BINARY SubClassOf ALB_mRNA UnprocessedmRNA
BINARY is ALOX_mRNA Class
BINARY SubClassOf ALOX_mRNA UnprocessedmRNA
BINARY is AMPAR_mRNA Class
BINARY SubClassOf AMPAR_mRNA UnprocessedmRNA
BINARY is AP1_mRNA Class
BINARY SubClassOf AP1_mRNA UnprocessedmRNA
BINARY is APAF1_mRNA Class
BINARY SubClassOf APAF1_mRNA UnprocessedmRNA
BINARY is APBA1_mRNA Class
BINARY SubClassOf APBA1_mRNA UnprocessedmRNA
BINARY is APBB1_mRNA Class
BINARY SubClassOf APBB1_mRNA UnprocessedmRNA
BINARY is APC_mRNA Class
BINARY SubClassOf APC_mRNA UnprocessedmRNA
BINARY is APOE_mRNA Class
BINARY SubClassOf APOE_mRNA UnprocessedmRNA
BINARY is APPBP1_mRNA Class
BINARY SubClassOf APPBP1_mRNA UnprocessedmRNA
BINARY is APP_mRNA Class
BINARY SubClassOf APP_mRNA UnprocessedmRNA
BINARY is ARL4C_mRNA Class
BINARY SubClassOf ARL4C_mRNA UnprocessedmRNA
BINARY is ASC_mRNA Class
BINARY SubClassOf ASC_mRNA UnprocessedmRNA
BINARY is ATF6_mRNA Class
BINARY SubClassOf ATF6_mRNA UnprocessedmRNA
BINARY is ATG10_mRNA Class
BINARY SubClassOf ATG10_mRNA UnprocessedmRNA
BINARY is ATG11_mRNA Class
BINARY SubClassOf ATG11_mRNA UnprocessedmRNA
BINARY is ATG12_mRNA Class
BINARY SubClassOf ATG12_mRNA UnprocessedmRNA
BINARY is ATG13_mRNA Class
BINARY SubClassOf ATG13_mRNA UnprocessedmRNA
BINARY is ATG16_mRNA Class
BINARY SubClassOf ATG16_mRNA UnprocessedmRNA
BINARY is ATG17_mRNA Class
BINARY SubClassOf ATG17_mRNA UnprocessedmRNA
BINARY is ATG3_mRNA Class
BINARY SubClassOf ATG3_mRNA UnprocessedmRNA
BINARY is ATG4_mRNA Class
BINARY SubClassOf ATG4_mRNA UnprocessedmRNA
BINARY is ATG5_mRNA Class
BINARY SubClassOf ATG5_mRNA UnprocessedmRNA
BINARY is ATG7_mRNA Class
BINARY SubClassOf ATG7_mRNA UnprocessedmRNA
BINARY is ATP1_mRNA Class
BINARY SubClassOf ATP1_mRNA UnprocessedmRNA
BINARY is ATP2A_mRNA Class
BINARY SubClassOf ATP2A_mRNA UnprocessedmRNA
BINARY is ATP2_mRNA Class
BINARY SubClassOf ATP2_mRNA UnprocessedmRNA
BINARY is ATPsynth_mRNA Class
BINARY SubClassOf ATPsynth_mRNA UnprocessedmRNA
BINARY is B94_mRNA Class
BINARY SubClassOf B94_mRNA UnprocessedmRNA
BINARY is BACE1_mRNA Class
BINARY SubClassOf BACE1_mRNA UnprocessedmRNA
BINARY is BACE_mRNA Class
BINARY SubClassOf BACE_mRNA UnprocessedmRNA
BINARY is BAD_mRNA Class
BINARY SubClassOf BAD_mRNA UnprocessedmRNA
BINARY is BAX_mRNA Class
BINARY SubClassOf BAX_mRNA UnprocessedmRNA
BINARY is BCHE_mRNA Class
BINARY SubClassOf BCHE_mRNA UnprocessedmRNA
BINARY is BCL2L1_mRNA Class
BINARY SubClassOf BCL2L1_mRNA UnprocessedmRNA
BINARY is BCL2_mRNA Class
BINARY SubClassOf BCL2_mRNA UnprocessedmRNA
BINARY is BDNF_mRNA Class
BINARY SubClassOf BDNF_mRNA UnprocessedmRNA
BINARY is BF5-1_mRNA Class
BINARY SubClassOf BF5-1_mRNA UnprocessedmRNA
BINARY is BID_mRNA Class
BINARY SubClassOf BID_mRNA UnprocessedmRNA
BINARY is BTRC_mRNA Class
BINARY SubClassOf BTRC_mRNA UnprocessedmRNA
BINARY is C1Q_mRNA Class
