BINARY is SIO_000011 ObjectProperty
BINARY is BAO_0200450 Class
BINARY SubClassOf BAO_0200450 BAO_0200548
BINARY is BAO_0200451 Class
BINARY SubClassOf BAO_0200451 BAO_0200548
BINARY DisjointWith BAO_0200451 BAO_0200549
BINARY is BAO_0200452 Class
BINARY SubClassOf BAO_0200452 BAO_0200548
BINARY is BAO_0200548 Class
BINARY is Thing, www.w3.org/2002/07/#
BINARY is Thing, SIO_000011_some_BAO_0200549,
BINARY is Thing, SIO_000011_only_BAO_0200451
BINARY is BAO_0200549 Class
BINARY DisjointWith BAO_0200549 BAO_0200451
BINARY is www.w3.org/2002/07/# Class
