BINARY is OPB_00320 ObjectProperty
BINARY is OPB_00007 Class
BINARY SubClassOf OPB_00007 OPB_00041
BINARY is OPB_00008 Class
BINARY SubClassOf OPB_00008 OPB_00041
BINARY is OPB_00009 Class
BINARY SubClassOf OPB_00009 OPB_01394
BINARY is OPB_00011 Class
BINARY SubClassOf OPB_00011 OPB_00041
BINARY is OPB_00012 Class
BINARY SubClassOf OPB_00012 OPB_00041
BINARY is OPB_00015 Class
BINARY SubClassOf OPB_00015 OPB_00041
BINARY is OPB_00017 Class
BINARY DisjointWith OPB_00017 OPB_01022
BINARY is OPB_00019 Class
BINARY SubClassOf OPB_00019 OPB_00423
BINARY is OPB_00033 Class
BINARY SubClassOf OPB_00033 OPB_00176
BINARY is OPB_00036 Class
BINARY SubClassOf OPB_00036 OPB_00514,
BINARY SubClassOf OPB_00036 OPB_00320_exactly_1_OPB_00435
BINARY is OPB_00041 Class
BINARY SubClassOf OPB_00041 OPB_01449
BINARY is OPB_00047 Class
BINARY SubClassOf OPB_00047 OPB_01538,
BINARY SubClassOf OPB_00047 OPB_00320_exactly_1_OPB_00211
BINARY is OPB_00053 Class
BINARY SubClassOf OPB_00053 OPB_00321
BINARY is OPB_00055 Class
BINARY SubClassOf OPB_00055 OPB_01502
BINARY is OPB_00076 Class
BINARY SubClassOf OPB_00076 OPB_00218,
BINARY SubClassOf OPB_00076 OPB_00320_exactly_1_OPB_00380
BINARY is OPB_00077 Class
BINARY SubClassOf OPB_00077 OPB_00218,
BINARY SubClassOf OPB_00077 OPB_00320_exactly_1_OPB_00435
BINARY is OPB_00081 Class
BINARY SubClassOf OPB_00081 OPB_00218,
BINARY SubClassOf OPB_00081 OPB_00320_exactly_1_OPB_00195
BINARY is OPB_00082 Class
BINARY SubClassOf OPB_00082 OPB_00172
BINARY is OPB_00087 Class
BINARY SubClassOf OPB_00087 OPB_00218,
BINARY SubClassOf OPB_00087 OPB_00320_exactly_1_OPB_00211
BINARY is OPB_00088 Class
BINARY SubClassOf OPB_00088 OPB_00218,
BINARY SubClassOf OPB_00088 OPB_00320_some_OPB_00017,
BINARY SubClassOf OPB_00088 OPB_00320_only_OPB_01022
BINARY is OPB_00089 Class
BINARY SubClassOf OPB_00089 OPB_00019
BINARY is OPB_00091 Class
BINARY SubClassOf OPB_00091 OPB_00218,
BINARY SubClassOf OPB_00091 OPB_00320_some_OPB_00473
BINARY is OPB_00099 Class
BINARY SubClassOf OPB_00099 OPB_00434,
BINARY SubClassOf OPB_00099 OPB_00320_exactly_1_OPB_00247
BINARY is OPB_00104 Class
BINARY SubClassOf OPB_00104 OPB_00132,
BINARY SubClassOf OPB_00104 OPB_00320_exactly_1_OPB_00380
BINARY is OPB_00112 Class
BINARY SubClassOf OPB_00112 OPB_01538,
BINARY SubClassOf OPB_00112 OPB_00320_exactly_1_OPB_00380
BINARY is OPB_00132 Class
BINARY SubClassOf OPB_00132 OPB_01027
BINARY is OPB_00142 Class
BINARY SubClassOf OPB_00142 OPB_00421
BINARY is OPB_00151 Class
BINARY SubClassOf OPB_00151 OPB_00221
BINARY is OPB_00160 Class
BINARY SubClassOf OPB_00160 OPB_00221
BINARY is OPB_00168 Class
BINARY SubClassOf OPB_00168 OPB_00221
BINARY is OPB_00172 Class
BINARY SubClassOf OPB_00172 OPB_00514,
BINARY SubClassOf OPB_00172 OPB_00320_exactly_1_OPB_00195
BINARY is OPB_00176 Class
BINARY is OPB_00183 Class
BINARY SubClassOf OPB_00183 OPB_00221
BINARY is OPB_00185 Class
BINARY SubClassOf OPB_00185 OPB_00172
BINARY is OPB_00192 Class
BINARY SubClassOf OPB_00192 OPB_00172
BINARY is OPB_00195 Class
BINARY is OPB_00198 Class
BINARY SubClassOf OPB_00198 OPB_00221
BINARY is OPB_00211 Class
BINARY is OPB_00212 Class
BINARY SubClassOf OPB_00212 OPB_00421
BINARY is OPB_00215 Class
BINARY SubClassOf OPB_00215 OPB_00019
BINARY is OPB_00218 Class
BINARY SubClassOf OPB_00218 OPB_01027
BINARY is OPB_00221 Class
BINARY SubClassOf OPB_00221 OPB_01449
BINARY is OPB_00226 Class
BINARY SubClassOf OPB_00226 OPB_00221
BINARY is OPB_00231 Class
BINARY SubClassOf OPB_00231 OPB_00172
