BINARY is encodes ObjectProperty
BINARY is DMA_01 Class
BINARY SubClassOf DMA_01 HLA-DMA,
BINARY SubClassOf DMA_01 encodes_some_DMA_01_Chain
BINARY is DMA_0101 Class
BINARY SubClassOf DMA_0101 DMA_01
BINARY is DMA_0102 Class
BINARY SubClassOf DMA_0102 DMA_01
BINARY is DMA_0103 Class
BINARY SubClassOf DMA_0103 DMA_01
BINARY is DMA_0104 Class
BINARY SubClassOf DMA_0104 DMA_01
BINARY is DMA_01_Chain Class
BINARY is DMB_01 Class
BINARY SubClassOf DMB_01 HLA-DMB,
BINARY SubClassOf DMB_01 encodes_some_DMB_01_Chain
BINARY is DMB_0101 Class
BINARY SubClassOf DMB_0101 DMB_01
BINARY is DMB_0102 Class
BINARY SubClassOf DMB_0102 DMB_01
BINARY is DMB_0103 Class
BINARY SubClassOf DMB_0103 DMB_01
BINARY is DMB_0104 Class
BINARY SubClassOf DMB_0104 DMB_01
BINARY is DMB_0105 Class
BINARY SubClassOf DMB_0105 DMB_01
BINARY is DMB_0106 Class
BINARY SubClassOf DMB_0106 DMB_01
BINARY is DMB_0107 Class
BINARY SubClassOf DMB_0107 DMB_01
BINARY is DMB_01_Chain Class
BINARY is DOA_01 Class
BINARY SubClassOf DOA_01 HLA-DOA,
BINARY SubClassOf DOA_01 encodes_some_DOA_01_Chain
BINARY is DOA_0101 Class
BINARY SubClassOf DOA_0101 DOA_01
BINARY is DOA_0102 Class
BINARY SubClassOf DOA_0102 DOA_01
BINARY is DOA_0103 Class
BINARY SubClassOf DOA_0103 DOA_01
BINARY is DOA_0104N Class
BINARY SubClassOf DOA_0104N DOA_01
BINARY is DOA_01_Chain Class
BINARY is DOB_01 Class
BINARY SubClassOf DOB_01 HLA-DOB,
BINARY SubClassOf DOB_01 encodes_some_DOB_01_Chain
BINARY is DOB_0101 Class
BINARY SubClassOf DOB_0101 DOB_01
BINARY is DOB_0102 Class
BINARY SubClassOf DOB_0102 DOB_01
BINARY is DOB_0103 Class
BINARY SubClassOf DOB_0103 DOB_01
BINARY is DOB_0104 Class
BINARY SubClassOf DOB_0104 DOB_01
BINARY is DOB_01_Chain Class
BINARY is DPA1_0103 Class
BINARY SubClassOf DPA1_0103 HLA-DPA1,
BINARY SubClassOf DPA1_0103 encodes_some_DPA1_0103_Chain
BINARY is DPA1_010301 Class
BINARY SubClassOf DPA1_010301 DPA1_0103
BINARY is DPA1_010302 Class
BINARY SubClassOf DPA1_010302 DPA1_0103
BINARY is DPA1_010303 Class
BINARY SubClassOf DPA1_010303 DPA1_0103
BINARY is DPA1_010304 Class
BINARY SubClassOf DPA1_010304 DPA1_0103
BINARY is DPA1_0103_Chain Class
BINARY is DPA1_0104 Class
BINARY SubClassOf DPA1_0104 HLA-DPA1,
