BINARY is www.genomic-cds.org/ont/genomic-cds.# ObjectProperty
BINARY is C0000737 Class
BINARY SubClassOf C0000737 C0012240,
BINARY SubClassOf C0000737 C1457887
BINARY is C0000833 Class
BINARY SubClassOf C0000833 C3714514
BINARY is C0001403 Class
BINARY SubClassOf C0001403 C0014136,
BINARY SubClassOf C0001403 C0020962
BINARY is C0001428 Class
BINARY SubClassOf C0001428 C0150934,
BINARY SubClassOf C0001428 C2362498
BINARY is C0001511 Class
BINARY SubClassOf C0001511 C0012240,
BINARY SubClassOf C0001511 C0043251
BINARY is C0001621 Class
BINARY SubClassOf C0001621 C0014136
BINARY is C0001683 Class
BINARY SubClassOf C0001683 C1456611,
BINARY SubClassOf C0001683 C2362508
BINARY is C0001792 Class
BINARY SubClassOf C0001792 C1456590,
BINARY is Thing www.w3.org/2002/07/#
BINARY is C0001873 Class
BINARY SubClassOf C0001873 C1456610
BINARY is C0001956 Class
BINARY SubClassOf C0001956 C0740858
BINARY is C0001962 Class
BINARY SubClassOf C0001962 C0740858,
BINARY SubClassOf C0001962 C2362501
BINARY is C0002170 Class
BINARY SubClassOf C0002170 C1456601
BINARY is C0002395 Class
BINARY SubClassOf C0002395 C0001792,
BINARY SubClassOf C0002395 C1832070,
BINARY SubClassOf C0002395 C2362500
BINARY is C0002418 Class
BINARY SubClassOf C0002418 C0150933
BINARY is C0002514 Class
BINARY SubClassOf C0002514 C2362507
BINARY is C0002695 Class
BINARY SubClassOf C0002695 C1456595
BINARY is C0002726 Class
BINARY SubClassOf C0002726 C2362507
BINARY is C0002736 Class
BINARY SubClassOf C0002736 C2362500
BINARY is C0002771 Class
BINARY SubClassOf C0002771 C0013216
BINARY is C0002792 Class
BINARY SubClassOf C0002792 C0020962
BINARY is C0002845 Class
BINARY SubClassOf C0002845 C0740858
BINARY is C0002871 Class
BINARY SubClassOf C0002871 C2362499
BINARY is C0002874 Class
BINARY SubClassOf C0002874 C0020962,
BINARY SubClassOf C0002874 C2362499
BINARY is C0002895 Class
BINARY SubClassOf C0002895 C1456603,
BINARY SubClassOf C0002895 C2362499
BINARY is C0002903 Class
BINARY SubClassOf C0002903 C2362504
BINARY is C0002940 Class
BINARY SubClassOf C0002940 C2362499
BINARY is C0002962 Class
BINARY SubClassOf C0002962 C0001792,
BINARY SubClassOf C0002962 C2362499
BINARY is C0003044 Class
BINARY SubClassOf C0003044 C0020962,
BINARY SubClassOf C0003044 C0043251
BINARY is C0003175 Class
BINARY SubClassOf C0003175 C3714514
BINARY is C0003232 Class
BINARY SubClassOf C0003232 C0013216,
BINARY SubClassOf C0003232 C3714514
BINARY is C0003280 Class
BINARY SubClassOf C0003280 C0013216,
BINARY SubClassOf C0003280 C2362499
BINARY is C0003289 Class
BINARY SubClassOf C0003289 C0013216,
BINARY SubClassOf C0003289 C1832070
BINARY is C0003364 Class
BINARY SubClassOf C0003364 C0013216,
BINARY SubClassOf C0003364 C2362499
BINARY is C0003402 Class
BINARY SubClassOf C0003402 C2362501
BINARY is C0003462 Class
BINARY SubClassOf C0003462 C0012240
BINARY is C0003467 Class
BINARY SubClassOf C0003467 C1832070
BINARY is C0003486 Class
BINARY SubClassOf C0003486 C2362499
BINARY is C0003537 Class
BINARY SubClassOf C0003537 C2362500
BINARY is C0003615 Class
BINARY SubClassOf C0003615 C0012240
BINARY is C0003794 Class
BINARY SubClassOf C0003794 C0043251,
BINARY SubClassOf C0003794 C1456595
BINARY is C0003803 Class
BINARY SubClassOf C0003803 C1456603,
BINARY SubClassOf C0003803 C2362500
BINARY is C0003811 Class
BINARY SubClassOf C0003811 C2362499
BINARY is C0003818 Class
BINARY SubClassOf C0003818 C1456610
BINARY is C0003857 Class
BINARY SubClassOf C0003857 C2362499,
BINARY SubClassOf C0003857 C2362500
BINARY is C0003864 Class
BINARY SubClassOf C0003864 C1456595
BINARY is C0003869 Class
BINARY SubClassOf C0003869 C1456595,
BINARY SubClassOf C0003869 C3714514
BINARY is C0003872 Class
BINARY SubClassOf C0003872 C1456595
BINARY is C0003873 Class
BINARY SubClassOf C0003873 C0020962,
BINARY SubClassOf C0003873 C1456595
BINARY is C0003947 Class
BINARY SubClassOf C0003947 C1456599,
BINARY SubClassOf C0003947 C1456610
BINARY is C0003968 Class
BINARY SubClassOf C0003968 C2362501
BINARY is C0004030 Class
BINARY SubClassOf C0004030 C3714514
BINARY is C0004096 Class
BINARY SubClassOf C0004096 C0020962,
BINARY SubClassOf C0004096 C1456599
BINARY is C0004135 Class
BINARY SubClassOf C0004135 C1456603,
BINARY SubClassOf C0004135 C2362500
BINARY is C0004144 Class
BINARY SubClassOf C0004144 C1456599
BINARY is C0004153 Class
BINARY SubClassOf C0004153 C2362499
BINARY is C0004161 Class
BINARY SubClassOf C0004161 C0043251,
BINARY SubClassOf C0004161 C1456609,
BINARY SubClassOf C0004161 C1456706
BINARY is C0004238 Class
BINARY SubClassOf C0004238 C2362499
BINARY is C0004364 Class
BINARY SubClassOf C0004364 C0020962
BINARY is C0004601 Class
BINARY SubClassOf C0004601 C0043251,
BINARY SubClassOf C0004601 C1456595
BINARY is C0004604 Class
BINARY SubClassOf C0004604 C1456595,
BINARY SubClassOf C0004604 C2362500
BINARY is C0004623 Class
BINARY SubClassOf C0004623 C3714514
BINARY is C0004760 Class
BINARY SubClassOf C0004760 C0150934,
BINARY SubClassOf C0004760 C2362502
BINARY is C0004936 Class
BINARY SubClassOf C0004936 C1832070
BINARY is C0004943 Class
BINARY SubClassOf C0004943 C0150933,
BINARY SubClassOf C0004943 C1456600,
BINARY SubClassOf C0004943 C1456601,
BINARY SubClassOf C0004943 C2362499
BINARY is C0005119 Class
BINARY SubClassOf C0005119 C1456611,
BINARY SubClassOf C0005119 C1832070
BINARY is C0005395 Class
BINARY SubClassOf C0005395 C0012240
BINARY is C0005558 Class
BINARY SubClassOf C0005558 C0006826,
BINARY SubClassOf C0005558 C0086143
BINARY is C0005586 Class
BINARY SubClassOf C0005586 C1832070
BINARY is C0005612 Class
BINARY SubClassOf C0005612 C1456602,
BINARY SubClassOf C0005612 C2362498
BINARY is C0005684 Class
BINARY SubClassOf C0005684 C0006826,
BINARY SubClassOf C0005684 C1456596
BINARY is C0005686 Class
BINARY SubClassOf C0005686 C1456596
BINARY is C0005767 Class
BINARY SubClassOf C0005767 C2362499
BINARY is C0005818 Class
BINARY SubClassOf C0005818 C2362499
BINARY is C0005910 Class
BINARY SubClassOf C0005910 C2362501,
BINARY SubClassOf C0005910 C2362507
BINARY is C0005938 Class
BINARY SubClassOf C0005938 C1456595
BINARY is C0005940 Class
BINARY SubClassOf C0005940 C1456595
BINARY is C0005956 Class
BINARY SubClassOf C0005956 C0020962
BINARY is C0005961 Class
BINARY SubClassOf C0005961 C0020962,
BINARY SubClassOf C0005961 C2362505
BINARY is C0006057 Class
BINARY SubClassOf C0006057 C3714514
BINARY is C0006107 Class
BINARY SubClassOf C0006107 C0043251,
BINARY SubClassOf C0006107 C2362500
BINARY is C0006111 Class
BINARY SubClassOf C0006111 C2362500
BINARY is C0006118 Class
BINARY SubClassOf C0006118 C0006826,
BINARY SubClassOf C0006118 C2362500
BINARY is C0006142 Class
BINARY SubClassOf C0006142 C0006826,
BINARY SubClassOf C0006142 C0043210,
BINARY SubClassOf C0006142 C0700038
BINARY is C0006145 Class
BINARY SubClassOf C0006145 C0043210,
BINARY SubClassOf C0006145 C0700038
BINARY is C0006147 Class
BINARY SubClassOf C0006147 C0043210,
BINARY SubClassOf C0006147 C0700038,
BINARY SubClassOf C0006147 C2362501
BINARY is C0006261 Class
BINARY SubClassOf C0006261 C1456599
BINARY is C0006434 Class
