BINARY is dateTime Datatype
BINARY is actsOn ObjectProperty
BINARY Domain actsOn Process
BINARY Range actsOn organismal-continuant_or_physical-anatomical-entity
BINARY is composedBy ObjectProperty
BINARY is hasConsequence ObjectProperty
BINARY is hasInput ObjectProperty
BINARY Domain hasInput Process
BINARY Range hasInput representational-artifact
BINARY is hasMethod ObjectProperty
BINARY is hasOutput ObjectProperty
BINARY Domain hasOutput Process
BINARY Range hasOutput representational-artifact
BINARY InverseOf hasOutput outputOf
BINARY is hasRole ObjectProperty
BINARY Domain hasRole IndependentContinuant
BINARY Range hasRole Role
BINARY is isConsequenceOf ObjectProperty
BINARY is outputOf ObjectProperty
BINARY InverseOf outputOf hasOutput
BINARY is representationOf ObjectProperty
BINARY is representedBy ObjectProperty
BINARY is subjectOfDescription ObjectProperty
BINARY is www.obofoundry.org/ro/ro.# ObjectProperty
BINARY is www.obofoundry.org/ro/ro.# ObjectProperty
BINARY is www.obofoundry.org/ro/ro.# ObjectProperty
BINARY is www.obofoundry.org/ro/ro.# ObjectProperty
BINARY is www.obofoundry.org/ro/ro.# ObjectProperty
BINARY is www.obofoundry.org/ro/ro.# ObjectProperty
BINARY is occursDuring DataProperty
BINARY Domain occursDuring ProcessualEntity
BINARY Range occursDuring dateTime
BINARY is startsNoEarlierThan DataProperty
BINARY SubPropertyOf startsNoEarlierThan occursDuring
BINARY is startsNoLaterThan DataProperty
BINARY SubPropertyOf startsNoLaterThan occursDuring
BINARY is stopsNoEarlierThan DataProperty
BINARY SubPropertyOf stopsNoEarlierThan occursDuring
BINARY is stopsNoLaterThan DataProperty
BINARY SubPropertyOf stopsNoLaterThan occursDuring
BINARY is PhysicalQuality Class
BINARY SubClassOf PhysicalQuality SpecificallyDependentContinuant
BINARY is SurgicalMethod Class
BINARY SubClassOf SurgicalMethod ProcessualEntity
BINARY is aggregate-bodily-feature Class
BINARY SubClassOf aggregate-bodily-feature Entity,
BINARY is has_part_some_bodily-feature www.obofoundry.org/ro/ro.#
BINARY is anatomical-boundary-entity Class
BINARY SubClassOf anatomical-boundary-entity immaterial-anatomical-continuant
BINARY is anatomical-space Class
BINARY SubClassOf anatomical-space immaterial-anatomical-continuant
BINARY is anatomical-structure Class
BINARY DisjointWith anatomical-structure pharmacological-substance
BINARY DisjointWith anatomical-structure organism
BINARY DisjointWith anatomical-structure medical-device
BINARY is anatomical-surface Class
BINARY SubClassOf anatomical-surface anatomical-boundary-entity
BINARY is biological-process Class
BINARY SubClassOf biological-process ProcessualEntity
BINARY is bodily-feature Class
BINARY equiv bodily-feature biological-process_or_organismal-continuant_or_Quality
BINARY SubClassOf bodily-feature Entity
BINARY is clinical-act Class
BINARY SubClassOf clinical-act ProcessualEntity,
BINARY is has_agent_some_(hasRole_some_healthcare-professional-role), www.obofoundry.org/ro/ro.#
BINARY is has_participant_some_patient www.obofoundry.org/ro/ro.#
BINARY is clinical-administration-act Class
BINARY SubClassOf clinical-administration-act clinical-act
BINARY is clinical-analysis-act Class
BINARY SubClassOf clinical-analysis-act clinical-investigation-act
BINARY is clinical-artifact Class
BINARY SubClassOf clinical-artifact representational-artifact,
BINARY SubClassOf clinical-artifact composedBy_some_person,
BINARY SubClassOf clinical-artifact subjectOfDescription_some_person
BINARY is clinical-finding Class
BINARY SubClassOf clinical-finding clinical-artifact
BINARY DisjointWith clinical-finding symptom-recording
BINARY is clinical-investigation-act Class
BINARY SubClassOf clinical-investigation-act clinical-act
BINARY is clinical-phenotype Class
BINARY SubClassOf clinical-phenotype aggregate-bodily-feature
BINARY is clinician-role Class
BINARY SubClassOf clinician-role healthcare-professional-role
BINARY is computer-system Class
BINARY DisjointWith computer-system pharmacological-substance
BINARY DisjointWith computer-system organism
BINARY DisjointWith computer-system medical-device
BINARY is deoxyribonucleic-acid-structure Class
BINARY DisjointWith deoxyribonucleic-acid-structure pharmacological-substance
BINARY DisjointWith deoxyribonucleic-acid-structure organism
BINARY DisjointWith deoxyribonucleic-acid-structure medical-device
BINARY is etiologic-agent Class
BINARY SubClassOf etiologic-agent Continuant,
BINARY SubClassOf etiologic-agent hasConsequence_some_pathological-disposition
BINARY is extra-organismal-continuant Class
BINARY is genetic-abnormality Class
BINARY SubClassOf genetic-abnormality etiologic-agent,
BINARY is located_in_only_deoxyribonucleic-acid-structure www.obofoundry.org/ro/ro.#
BINARY is healthcare-professional-role Class
BINARY SubClassOf healthcare-professional-role Role
BINARY is idiopathic-disease Class
BINARY SubClassOf idiopathic-disease pathological-disposition
BINARY is immaterial-anatomical-continuant Class
BINARY SubClassOf immaterial-anatomical-continuant DependentContinuant
BINARY DisjointWith immaterial-anatomical-continuant state
BINARY DisjointWith immaterial-anatomical-continuant immaterial-pathological-continuant
BINARY is immaterial-pathological-continuant Class
BINARY SubClassOf immaterial-pathological-continuant DependentContinuant
BINARY DisjointWith immaterial-pathological-continuant state
BINARY DisjointWith immaterial-pathological-continuant immaterial-anatomical-continuant
BINARY is infectious-disease Class
BINARY SubClassOf infectious-disease pathological-disposition
BINARY is longitudinal-patient-medical-history Class
BINARY SubClassOf longitudinal-patient-medical-history ProcessAggregate
BINARY is material-pathological-entity Class
BINARY SubClassOf material-pathological-entity MaterialEntity
BINARY is medical-device Class
BINARY SubClassOf medical-device Object
BINARY DisjointWith medical-device pharmacological-substance
BINARY DisjointWith medical-device organism
BINARY DisjointWith medical-device deoxyribonucleic-acid-structure
BINARY DisjointWith medical-device computer-system
BINARY DisjointWith medical-device anatomical-structure
BINARY is medical-history-screening-act Class
BINARY is medical-problem Class
