BINARY is decimal Datatype
BINARY is belongsToSubject ObjectProperty
BINARY Characteristics belongsToSubject Functional
BINARY Domain belongsToSubject Brain_Region
BINARY Range belongsToSubject Subject
BINARY InverseOf belongsToSubject hasRegions
BINARY is hasRegions ObjectProperty
BINARY InverseOf hasRegions belongsToSubject
BINARY is volume DataProperty
BINARY Characteristics volume Functional
BINARY Domain volume Brain_Region
BINARY Range volume decimal
BINARY is z DataProperty
BINARY Characteristics z Functional
BINARY Domain z Brain_Region
BINARY Range z decimal
BINARY is Brain_Region Class
BINARY is Thing www.w3.org/2002/07/#
BINARY DisjointWith Thing Subject
BINARY is Brainstem Class
BINARY SubClassOf Brainstem Brain_Region
BINARY is Cerebellum Class
BINARY SubClassOf Cerebellum Brain_Region
BINARY is Cerebrospinal_Fluid Class
BINARY SubClassOf Cerebrospinal_Fluid Brain_Region
BINARY is Cerebrum Class
BINARY SubClassOf Cerebrum Brain_Region
BINARY is Subject Class
BINARY DisjointWith Subject Brain_Region
BINARY is www.w3.org/2002/07/# Class
