BINARY is MFOEM_000008 ObjectProperty
BINARY is BFO_0000001 Class
BINARY is BFO_0000002 Class
BINARY equiv BFO_0000002 BFO_0000003
BINARY SubClassOf BFO_0000002 BFO_0000001
BINARY DisjointWith BFO_0000002 BFO_0000003
BINARY is BFO_0000003 Class
BINARY equiv BFO_0000003 BFO_0000002
BINARY DisjointWith BFO_0000003 BFO_0000002
BINARY is BFO_0000004 Class
BINARY SubClassOf BFO_0000004 BFO_0000002
BINARY DisjointWith BFO_0000004 BFO_0000020
BINARY is BFO_0000017 Class
BINARY SubClassOf BFO_0000017 BFO_0000020
BINARY is BFO_0000019 Class
BINARY SubClassOf BFO_0000019 BFO_0000020
BINARY is BFO_0000020 Class
BINARY SubClassOf BFO_0000020 BFO_0000002
BINARY DisjointWith BFO_0000020 BFO_0000031
BINARY DisjointWith BFO_0000020 BFO_0000004
BINARY is BFO_0000031 Class
BINARY SubClassOf BFO_0000031 BFO_0000002
BINARY DisjointWith BFO_0000031 BFO_0000020
BINARY is MFOEM_000002 Class
BINARY DisjointWith MFOEM_000002 MFOEM_000086
BINARY is MFOEM_000005 Class
BINARY SubClassOf MFOEM_000005 MFOEM_000068,
BINARY SubClassOf MFOEM_000005 MF_0000031,
BINARY SubClassOf MFOEM_000005 MFOEM_000008_some_MFOEM_000002,
BINARY SubClassOf MFOEM_000005 MFOEM_000008_only_MFOEM_000086
BINARY is MFOEM_000057 Class
BINARY SubClassOf MFOEM_000057 MFOEM_000005
BINARY is MFOEM_000058 Class
BINARY SubClassOf MFOEM_000058 MFOEM_000005
BINARY is MFOEM_000059 Class
BINARY SubClassOf MFOEM_000059 MFOEM_000005
BINARY is MFOEM_000060 Class
BINARY SubClassOf MFOEM_000060 MFOEM_000005
BINARY is MFOEM_000061 Class
BINARY SubClassOf MFOEM_000061 MFOEM_000005
BINARY is MFOEM_000062 Class
BINARY SubClassOf MFOEM_000062 MFOEM_000057
BINARY is MFOEM_000063 Class
BINARY SubClassOf MFOEM_000063 MFOEM_000057
BINARY is MFOEM_000064 Class
BINARY SubClassOf MFOEM_000064 MFOEM_000058
BINARY is MFOEM_000065 Class
BINARY SubClassOf MFOEM_000065 MFOEM_000058
BINARY is MFOEM_000066 Class
BINARY SubClassOf MFOEM_000066 MFOEM_000059
BINARY is MFOEM_000067 Class
BINARY SubClassOf MFOEM_000067 MFOEM_000059
BINARY is MFOEM_000068 Class
BINARY SubClassOf MFOEM_000068 MFOEM_000060
BINARY is MFOEM_000069 Class
BINARY SubClassOf MFOEM_000069 MFOEM_000060
BINARY is MFOEM_000070 Class
BINARY SubClassOf MFOEM_000070 MFOEM_000061
BINARY is MFOEM_000071 Class
BINARY SubClassOf MFOEM_000071 MFOEM_000061
BINARY is MFOEM_000072 Class
BINARY SubClassOf MFOEM_000072 MFOEM_000005
BINARY is MFOEM_000073 Class
BINARY SubClassOf MFOEM_000073 MFOEM_000072
BINARY is MFOEM_000074 Class
BINARY SubClassOf MFOEM_000074 MFOEM_000072
BINARY is MFOEM_000075 Class
BINARY SubClassOf MFOEM_000075 MFOEM_000005
BINARY is MFOEM_000076 Class
