BINARY is hadUsage ObjectProperty
BINARY is Children'sDepressionInventory Class
BINARY SubClassOf Children'sDepressionInventory DepressionRatingScale
BINARY is Montgomery–AsbergDepressionRatingScale Class
BINARY SubClassOf Montgomery–AsbergDepressionRatingScale DepressionRatingScale
BINARY is RevisedChildren'sManifestAnxietyScale Class
BINARY SubClassOf RevisedChildren'sManifestAnxietyScale AnxietyRatingScale
BINARY is Yale–BrownObsessive–CompulsiveScale Class
BINARY SubClassOf Yale–BrownObsessive–CompulsiveScale MentalStateAssessmentScale
BINARY is AbnormalInvoluntaryMovementScale Class
BINARY SubClassOf AbnormalInvoluntaryMovementScale ExtrapyramidalSymptomRating
BINARY is AddictionSeverityIndex Class
BINARY SubClassOf AddictionSeverityIndex SubstanceUseScale
BINARY is AffectiveProcessingScale Class
BINARY SubClassOf AffectiveProcessingScale RatingScale
BINARY is AlcoholCravingQuestionnaire Class
BINARY SubClassOf AlcoholCravingQuestionnaire SubstanceCravingScale
BINARY is AlcoholDependenceScale Class
BINARY SubClassOf AlcoholDependenceScale SubstanceDependenceScale
BINARY is AlcoholEffectsScale Class
BINARY SubClassOf AlcoholEffectsScale AlcoholUseScale
BINARY is AlcoholExpectancyQuestionnaire Class
BINARY SubClassOf AlcoholExpectancyQuestionnaire AlcoholUseScale
BINARY is AlcoholSmokingandSubstanceInvolvementScreeningTest Class
BINARY SubClassOf AlcoholSmokingandSubstanceInvolvementScreeningTest SubstanceUseScale
BINARY is AlcoholUrgeQuestionnaire Class
BINARY SubClassOf AlcoholUrgeQuestionnaire SubstanceCravingScale
BINARY is AlcoholUseDisordersIdentificationTest Class
BINARY SubClassOf AlcoholUseDisordersIdentificationTest AlcoholUseScale
BINARY is AlcoholUseQuestionnaire Class
BINARY SubClassOf AlcoholUseQuestionnaire AlcoholUseScale
BINARY is AlcoholUseScale Class
BINARY SubClassOf AlcoholUseScale SubstanceUseScale
BINARY is AltmanSelf-RatingManiaScale Class
BINARY SubClassOf AltmanSelf-RatingManiaScale PsychopathologyScale
BINARY is AnnettHandPreferenceQuestionnaire Class
BINARY SubClassOf AnnettHandPreferenceQuestionnaire HandednessQuestionnaire
BINARY is AnticipatoryandConsummatoryInterpersonalPleasureScale Class
BINARY SubClassOf AnticipatoryandConsummatoryInterpersonalPleasureScale SocialFunctionRatingScale
BINARY is AnxietyRatingScale Class
BINARY SubClassOf AnxietyRatingScale MentalStateAssessmentScale
