BINARY is short Datatype
BINARY is BFO_0000050 ObjectProperty
BINARY is BFO_0000051 ObjectProperty
BINARY is BFO_0000063 ObjectProperty
BINARY is FBcv_0008000 ObjectProperty
BINARY is RO_0000052 ObjectProperty
BINARY is RO_0000056 ObjectProperty
BINARY Domain RO_0000056 BFO_0000002
BINARY Range RO_0000056 BFO_0000003
BINARY InverseOf RO_0000056 RO_0000057
BINARY is RO_0000057 ObjectProperty
BINARY InverseOf RO_0000057 RO_0000056
BINARY is RO_0002083 ObjectProperty
BINARY is RO_0002202 ObjectProperty
BINARY SubPropertyOf RO_0002202 RO_0002258
BINARY is RO_0002206 ObjectProperty
BINARY SubPropertyOf RO_0002206 RO_0002330
BINARY Domain RO_0002206 BFO_0000002
BINARY InverseOf RO_0002206 RO_0002292
BINARY is RO_0002254 ObjectProperty
BINARY SubPropertyOf RO_0002254 RO_0002258
BINARY is RO_0002258 ObjectProperty
BINARY Domain RO_0002258 BFO_0000002
BINARY Range RO_0002258 BFO_0000002
BINARY InverseOf RO_0002258 RO_0002286
BINARY is RO_0002286 ObjectProperty
BINARY InverseOf RO_0002286 RO_0002258
BINARY is RO_0002292 ObjectProperty
BINARY SubPropertyOf RO_0002292 RO_0002330
BINARY InverseOf RO_0002292 RO_0002206
BINARY is RO_0002314 ObjectProperty
BINARY is RO_0002330 ObjectProperty
BINARY Domain RO_0002330 BFO_0000002
BINARY Range RO_0002330 BFO_0000002
BINARY is RO_0002351 ObjectProperty
BINARY is RO_0002352 ObjectProperty
BINARY SubPropertyOf RO_0002352 RO_0000056
BINARY is RO_0002353 ObjectProperty
BINARY SubPropertyOf RO_0002353 RO_0000056
BINARY is RO_0002503 ObjectProperty
BINARY is RO_0002506 ObjectProperty
BINARY Domain RO_0002506 BFO_0000002
BINARY Range RO_0002506 BFO_0000002
BINARY is RO_0002508 ObjectProperty
BINARY SubPropertyOf RO_0002508 RO_0002566
BINARY is RO_0002509 ObjectProperty
BINARY SubPropertyOf RO_0002509 RO_0002506
BINARY is RO_0002559 ObjectProperty
BINARY SubPropertyOf RO_0002559 RO_0002506
BINARY is RO_0002566 ObjectProperty
BINARY SubPropertyOf RO_0002566 RO_0002506
BINARY Domain RO_0002566 BFO_0000002
BINARY Range RO_0002566 BFO_0000002
BINARY is RO_0002573 ObjectProperty
BINARY is RO_0002029 DataProperty
BINARY is BFO_0000001 Class
BINARY is BFO_0000002 Class
BINARY SubClassOf BFO_0000002 BFO_0000001
BINARY DisjointWith BFO_0000002 BFO_0000050_some_BFO_0000003
BINARY DisjointWith BFO_0000002 BFO_0000003
BINARY is BFO_0000003 Class
BINARY DisjointWith BFO_0000003 BFO_0000002
BINARY is BFO_0000004 Class
BINARY SubClassOf BFO_0000004 BFO_0000002
BINARY is BFO_0000019 Class
BINARY is BFO_0000020 Class
BINARY SubClassOf BFO_0000020 BFO_0000002
BINARY is BFO_0000031 Class
BINARY SubClassOf BFO_0000031 BFO_0000002
BINARY is CARO_0000012 Class
BINARY is CARO_0010004 Class
BINARY is CHEBI_24431 Class
BINARY is CL_0000000 Class
BINARY is ENVO_01001023 Class
BINARY is FBbt_00000001 Class
BINARY is FBbt_00004508 Class
BINARY is FBbt_00005093 Class
BINARY is FBbt_00007001 Class
BINARY is FBbt_00007002 Class
BINARY is FBbt_00100313 Class
BINARY is FBcv_0000002 Class
BINARY equiv FBcv_0000002 BFO_0000051_some
BINARY equiv FBcv_0000002 (PATO_0001236_and_(RO_0000052_some_GO_0043052)_and_(RO_0002573_some_PATO_0000460))
BINARY SubClassOf FBcv_0000002 FBcv_0000683,
BINARY SubClassOf FBcv_0000002 BFO_0000051_some
BINARY SubClassOf FBcv_0000002 (PATO_0001236_and_(RO_0000052_some_GO_0043052)_and_(RO_0002573_some_PATO_0000460))
BINARY is FBcv_0000006 Class
BINARY equiv FBcv_0000006 BFO_0000051_some
BINARY equiv FBcv_0000006 (PATO_0001761_and_(RO_0000052_some_FBbt_00000001)_and_(RO_0002573_some_PATO_0000460))
BINARY SubClassOf FBcv_0000006 FBcv_0000375,
BINARY SubClassOf FBcv_0000006 FBcv_0000376,
