BINARY is BFO_0000050 ObjectProperty
BINARY is Orphanet_10 Class
BINARY SubClassOf Orphanet_10 Orphanet_377789,
BINARY SubClassOf Orphanet_10 Orphanet_557493,
BINARY SubClassOf Orphanet_10 BFO_0000050_some_Orphanet_102283,
BINARY SubClassOf Orphanet_10 BFO_0000050_some_Orphanet_165707,
BINARY SubClassOf Orphanet_10 BFO_0000050_some_Orphanet_263749,
BINARY SubClassOf Orphanet_10 BFO_0000050_some_Orphanet_325546,
BINARY SubClassOf Orphanet_10 BFO_0000050_some_Orphanet_611327
BINARY is Orphanet_100 Class
BINARY SubClassOf Orphanet_100 Orphanet_377788,
BINARY SubClassOf Orphanet_100 Orphanet_557493,
BINARY SubClassOf Orphanet_100 BFO_0000050_some_Orphanet_139027,
BINARY SubClassOf Orphanet_100 BFO_0000050_some_Orphanet_169346,
BINARY SubClassOf Orphanet_100 BFO_0000050_some_Orphanet_183422,
BINARY SubClassOf Orphanet_100 BFO_0000050_some_Orphanet_183478,
BINARY SubClassOf Orphanet_100 BFO_0000050_some_Orphanet_252190,
BINARY SubClassOf Orphanet_100 BFO_0000050_some_Orphanet_485382,
BINARY SubClassOf Orphanet_100 BFO_0000050_some_Orphanet_519341,
BINARY SubClassOf Orphanet_100 BFO_0000050_some_Orphanet_522506,
BINARY SubClassOf Orphanet_100 BFO_0000050_some_Orphanet_522520,
BINARY SubClassOf Orphanet_100 BFO_0000050_some_Orphanet_611314,
BINARY SubClassOf Orphanet_100 BFO_0000050_some_Orphanet_79379,
BINARY SubClassOf Orphanet_100 BFO_0000050_some_Orphanet_95710,
BINARY SubClassOf Orphanet_100 BFO_0000050_some_Orphanet_98097,
BINARY SubClassOf Orphanet_100 BFO_0000050_some_Orphanet_98683
BINARY is Orphanet_1000 Class
BINARY SubClassOf Orphanet_1000 Orphanet_377788,
BINARY SubClassOf Orphanet_1000 Orphanet_557493,
BINARY SubClassOf Orphanet_1000 BFO_0000050_some_Orphanet_284804,
BINARY SubClassOf Orphanet_1000 BFO_0000050_some_Orphanet_90642
BINARY is Orphanet_100000 Class
BINARY SubClassOf Orphanet_100000 Orphanet_557494,
BINARY SubClassOf Orphanet_100000 BFO_0000050_some_Orphanet_100002
BINARY is Orphanet_100001 Class
BINARY SubClassOf Orphanet_100001 Orphanet_557494,
