BINARY is namespacestring Datatype
BINARY is RO_0000087 ObjectProperty
BINARY is RO_0001000 ObjectProperty
BINARY is RO_0002434 ObjectProperty
BINARY Characteristics RO_0002434 Symmetric
BINARY Domain RO_0002434 BFO_0000040
BINARY Range RO_0002434 BFO_0000040
BINARY is RO_0002436 ObjectProperty
BINARY SubPropertyOf RO_0002436 RO_0002434
BINARY is RO_0002448 ObjectProperty
BINARY SubPropertyOf RO_0002448 RO_0011002
BINARY Domain RO_0002448 BFO_0000040
BINARY Range RO_0002448 BFO_0000040
BINARY is RO_0002449 ObjectProperty
BINARY SubPropertyOf RO_0002449 RO_0002448
BINARY Domain RO_0002449 BFO_0000040
BINARY Range RO_0002449 BFO_0000040
BINARY is RO_0002450 ObjectProperty
BINARY SubPropertyOf RO_0002450 RO_0002448
BINARY Domain RO_0002450 BFO_0000040
BINARY Range RO_0002450 BFO_0000040
BINARY is RO_0002500 ObjectProperty
BINARY SubPropertyOf RO_0002500 RO_0002595
BINARY is RO_0002584 ObjectProperty
BINARY SubPropertyOf RO_0002584 RO_0002595
BINARY is RO_0002595 ObjectProperty
BINARY Domain RO_0002595 BFO_0000040
BINARY is RO_0011002 ObjectProperty
BINARY Domain RO_0011002 BFO_0000040
BINARY Range RO_0011002 BFO_0000040
BINARY is BFO_0000040 Class
BINARY is Thing www.w3.org/2002/07/#
BINARY is CDNO_0000001 Class
BINARY SubClassOf CDNO_0000001 BFO_0000040
BINARY is CDNO_0000002 Class
BINARY SubClassOf CDNO_0000002 CDNO_0000001
BINARY is CDNO_0000003 Class
BINARY SubClassOf CDNO_0000003 CHEBI_16646
BINARY is CDNO_0000004 Class
BINARY SubClassOf CDNO_0000004 CDNO_0000003
BINARY is CDNO_0000005 Class
BINARY SubClassOf CDNO_0000005 CDNO_0000001
BINARY is CDNO_0000006 Class
BINARY SubClassOf CDNO_0000006 CDNO_0000005,
BINARY SubClassOf CDNO_0000006 CHEBI_16646
BINARY is CDNO_0000007 Class
BINARY SubClassOf CDNO_0000007 CDNO_0000006
BINARY is CDNO_0000008 Class
BINARY SubClassOf CDNO_0000008 CDNO_0000005
BINARY is CDNO_0000009 Class
BINARY SubClassOf CDNO_0000009 CHEBI_36080
BINARY is CDNO_0000011 Class
BINARY SubClassOf CDNO_0000011 CHEBI_167164
BINARY is CDNO_0000012 Class
BINARY SubClassOf CDNO_0000012 CHEBI_167164
BINARY is CDNO_0000013 Class
BINARY SubClassOf CDNO_0000013 CDNO_0000001
BINARY is CDNO_0000014 Class
BINARY SubClassOf CDNO_0000014 CDNO_0000001,
BINARY SubClassOf CDNO_0000014 RO_0000087_some_CHEBI_33229
BINARY is CDNO_0000015 Class
BINARY SubClassOf CDNO_0000015 CDNO_0000011
BINARY is CDNO_0000016 Class
BINARY SubClassOf CDNO_0000016 CDNO_0000011
BINARY is CDNO_0000017 Class
BINARY SubClassOf CDNO_0000017 CDNO_0000011
BINARY is CDNO_0000018 Class
BINARY SubClassOf CDNO_0000018 CDNO_0000011
BINARY is CDNO_0000019 Class
BINARY SubClassOf CDNO_0000019 CDNO_0000011
BINARY is CDNO_0000020 Class
BINARY SubClassOf CDNO_0000020 CDNO_0000011
BINARY is CDNO_0000021 Class
BINARY SubClassOf CDNO_0000021 CDNO_0000011
BINARY is CDNO_0000022 Class
BINARY SubClassOf CDNO_0000022 CDNO_0000012
BINARY is CDNO_0000023 Class
BINARY SubClassOf CDNO_0000023 CDNO_0000012
BINARY is CDNO_0000024 Class
BINARY SubClassOf CDNO_0000024 CDNO_0000012
BINARY is CDNO_0000025 Class
BINARY SubClassOf CDNO_0000025 CDNO_0000012
BINARY is CDNO_0000026 Class
BINARY SubClassOf CDNO_0000026 CDNO_0000012
BINARY is CDNO_0000027 Class
BINARY SubClassOf CDNO_0000027 CDNO_0000012
BINARY is CDNO_0000028 Class
BINARY SubClassOf CDNO_0000028 CDNO_0000012
BINARY is CDNO_0000029 Class
BINARY SubClassOf CDNO_0000029 CDNO_0000012
BINARY is CDNO_0000030 Class
BINARY SubClassOf CDNO_0000030 CDNO_0000012
BINARY is CDNO_0000031 Class
BINARY SubClassOf CDNO_0000031 CHEBI_18154
BINARY is CDNO_0000032 Class
BINARY SubClassOf CDNO_0000032 CDNO_0000005
BINARY is CDNO_0000033 Class
BINARY SubClassOf CDNO_0000033 CDNO_0000005
BINARY is CDNO_0000034 Class
BINARY SubClassOf CDNO_0000034 CDNO_0000005
BINARY is CDNO_0000035 Class
BINARY SubClassOf CDNO_0000035 CDNO_0000006
BINARY is CDNO_0000036 Class
BINARY SubClassOf CDNO_0000036 CDNO_0000005
BINARY is CDNO_0000037 Class
BINARY SubClassOf CDNO_0000037 CDNO_0000005
BINARY is CDNO_0000038 Class
BINARY SubClassOf CDNO_0000038 CDNO_0000006
BINARY is CDNO_0000039 Class
BINARY SubClassOf CDNO_0000039 CDNO_0000006
BINARY is CDNO_0000040 Class
BINARY SubClassOf CDNO_0000040 CDNO_0000006
BINARY is CDNO_0100001 Class
BINARY SubClassOf CDNO_0100001 CHEBI_28057
BINARY is CDNO_0100002 Class
BINARY SubClassOf CDNO_0100002 CHEBI_28102
BINARY is CDNO_0100003 Class
BINARY SubClassOf CDNO_0100003 CHEBI_24174
BINARY is CDNO_0100004 Class
BINARY equiv CDNO_0100004 CHEBI_26543_and_(RO_0001000_some_CHEBI_17309)
BINARY SubClassOf CDNO_0100004 CDNO_0100003,
BINARY SubClassOf CDNO_0100004 CHEBI_26543
BINARY is CDNO_0100006 Class
BINARY is CDNO_0100008 Class
BINARY is CDNO_0100010 Class
BINARY SubClassOf CDNO_0100010 CHEBI_28796
BINARY is CDNO_0100011 Class
BINARY equiv CDNO_0100011 CHEBI_22590_and_(RO_0001000_some_CHEBI_61266)
BINARY SubClassOf CDNO_0100011 CHEBI_22590,
BINARY SubClassOf CDNO_0100011 RO_0001000_some_CHEBI_61266
BINARY is CDNO_0100012 Class
BINARY equiv CDNO_0100012 CHEBI_27680_and_(RO_0001000_some_CHEBI_61266)
BINARY SubClassOf CDNO_0100012 CHEBI_27680,
BINARY SubClassOf CDNO_0100012 RO_0001000_some_CHEBI_61266
BINARY is CDNO_0100013 Class
BINARY SubClassOf CDNO_0100013 CHEBI_37165
BINARY is CDNO_0100014 Class
BINARY SubClassOf CDNO_0100014 CHEBI_17234
BINARY is CDNO_0100015 Class
BINARY SubClassOf CDNO_0100015 CHEBI_17234
BINARY is CDNO_0100016 Class
BINARY SubClassOf CDNO_0100016 CHEBI_17234
BINARY is CDNO_0100017 Class
BINARY SubClassOf CDNO_0100017 CHEBI_28757
BINARY is CDNO_0100018 Class
BINARY SubClassOf CDNO_0100018 CHEBI_17234
BINARY is CDNO_0100019 Class
BINARY SubClassOf CDNO_0100019 CHEBI_33830
BINARY is CDNO_0100020 Class
BINARY SubClassOf CDNO_0100020 CHEBI_26546
BINARY is CDNO_0100021 Class
BINARY SubClassOf CDNO_0100021 CHEBI_16689
BINARY is CDNO_0100022 Class
BINARY SubClassOf CDNO_0100022 CHEBI_33830
BINARY is CDNO_0100023 Class
BINARY SubClassOf CDNO_0100023 CHEBI_33984
BINARY is CDNO_0100024 Class
BINARY SubClassOf CDNO_0100024 CHEBI_18222
BINARY is CDNO_0100025 Class
BINARY SubClassOf CDNO_0100025 CHEBI_22599
BINARY is CDNO_0100026 Class
BINARY SubClassOf CDNO_0100026 CHEBI_28260
BINARY is CDNO_0100028 Class
BINARY SubClassOf CDNO_0100028 CHEBI_28260
BINARY is CDNO_0100029 Class
BINARY SubClassOf CDNO_0100029 CHEBI_17234
BINARY is CDNO_0100030 Class
BINARY SubClassOf CDNO_0100030 CHEBI_28757
BINARY is CDNO_0100031 Class
BINARY is CDNO_0100032 Class
BINARY SubClassOf CDNO_0100032 CHEBI_28260
BINARY is CDNO_0100033 Class
BINARY SubClassOf CDNO_0100033 CHEBI_17234
BINARY is CDNO_0100034 Class
BINARY equiv CDNO_0100034 CHEBI_28757_and_(RO_0001000_some_CDNO_0100031)
BINARY SubClassOf CDNO_0100034 CHEBI_28757,
BINARY SubClassOf CDNO_0100034 RO_0001000_some_CDNO_0100031
BINARY is CDNO_0100035 Class
BINARY is CDNO_0100036 Class
BINARY SubClassOf CDNO_0100036 CHEBI_28260
BINARY is CDNO_0100037 Class
BINARY equiv CDNO_0100037 CHEBI_17234_and_(RO_0001000_some_CDNO_0100035)
BINARY SubClassOf CDNO_0100037 CHEBI_17234,
BINARY SubClassOf CDNO_0100037 RO_0001000_some_CDNO_0100035
BINARY is CDNO_0100038 Class
BINARY SubClassOf CDNO_0100038 CHEBI_28757
BINARY is CDNO_0100039 Class
BINARY SubClassOf CDNO_0100039 CHEBI_17234
BINARY is CDNO_0100040 Class
BINARY SubClassOf CDNO_0100040 CHEBI_37684
BINARY is CDNO_0100041 Class
BINARY equiv CDNO_0100041 CHEBI_17234_and_(RO_0001000_some_CDNO_0100006)
BINARY SubClassOf CDNO_0100041 CHEBI_17234,
BINARY SubClassOf CDNO_0100041 RO_0001000_some_CDNO_0100006
BINARY is CDNO_0100042 Class
BINARY SubClassOf CDNO_0100042 CHEBI_18222
BINARY is CDNO_0100043 Class
BINARY SubClassOf CDNO_0100043 CHEBI_17234
BINARY is CDNO_0100044 Class
BINARY SubClassOf CDNO_0100044 CHEBI_18222
BINARY is CDNO_0100045 Class
BINARY equiv CDNO_0100045 CHEBI_17234_and_(RO_0001000_some_CDNO_0100008)
BINARY SubClassOf CDNO_0100045 CHEBI_17234,
