BINARY is FBbi_00000346 ObjectProperty
BINARY is FBbi_00000243 Class
BINARY SubClassOf FBbi_00000243 FBbi_00000345
BINARY is FBbi_00000244 Class
BINARY SubClassOf FBbi_00000244 FBbi_00000345
BINARY is FBbi_00000245 Class
BINARY SubClassOf FBbi_00000245 FBbi_00000345
BINARY is FBbi_00000246 Class
BINARY SubClassOf FBbi_00000246 FBbi_00000345
BINARY is FBbi_00000247 Class
BINARY SubClassOf FBbi_00000247 FBbi_00000345
BINARY is FBbi_00000248 Class
BINARY SubClassOf FBbi_00000248 FBbi_00000345
BINARY is FBbi_00000249 Class
BINARY SubClassOf FBbi_00000249 FBbi_00000345
BINARY is FBbi_00000251 Class
BINARY SubClassOf FBbi_00000251 FBbi_00000345
BINARY DisjointWith FBbi_00000251 FBbi_00000341
BINARY is FBbi_00000255 Class
BINARY SubClassOf FBbi_00000255 FBbi_00000345
BINARY is FBbi_00000341 Class
BINARY DisjointWith FBbi_00000341 FBbi_00000251
BINARY is FBbi_00000343 Class
BINARY is FBbi_00000345 Class
BINARY equiv FBbi_00000345 FBbi_00000343_and_(FBbi_00000346_some_FBbi_00000341)
BINARY SubClassOf FBbi_00000345 FBbi_00000343,
BINARY SubClassOf FBbi_00000345 FBbi_00000346_some_FBbi_00000341,
BINARY SubClassOf FBbi_00000345 FBbi_00000346_only_FBbi_00000251
BINARY is FBbi_00000370 Class
BINARY SubClassOf FBbi_00000370 FBbi_00000345
BINARY is FBbi_00000371 Class
BINARY SubClassOf FBbi_00000371 FBbi_00000345
BINARY is www.w3.org/2002/07/# Class
