TR 0004 is ObjectProperty.
TR 0017 is ObjectProperty.
TR 0018 is ObjectProperty.
TEDDY 0000001 is Class.
TEDDY 0000001 DisjointWith TEDDY 0000163.
TEDDY 0000001 DisjointWith TEDDY 0000131.
TEDDY 0000001 DisjointWith TEDDY 0000124.
TEDDY 0000001 DisjointWith TEDDY 0000123.
TEDDY 0000001 DisjointWith TEDDY 0000118.
TEDDY 0000001 DisjointWith TEDDY 0000117.
TEDDY 0000001 DisjointWith TEDDY 0000073.
TEDDY 0000001 DisjointWith TEDDY 0000071.
TEDDY 0000001 DisjointWith TEDDY 0000044.
TEDDY 0000001 DisjointWith TEDDY 0000043.
TEDDY 0000001 DisjointWith TEDDY 0000038.
TEDDY 0000001 DisjointWith TEDDY 0000031.
TEDDY 0000001 DisjointWith TEDDY 0000029.
TEDDY 0000001 DisjointWith TEDDY 0000028.
TEDDY 0000001 DisjointWith TEDDY 0000027.
TEDDY 0000001 DisjointWith TEDDY 0000023.
TEDDY 0000001 DisjointWith TEDDY 0000022.
TEDDY 0000001 DisjointWith TEDDY 0000020.
TEDDY 0000001 DisjointWith TEDDY 0000017.
TEDDY 0000001 DisjointWith TEDDY 0000013.
TEDDY 0000001 DisjointWith TEDDY 0000010.
TEDDY 0000001 DisjointWith TEDDY 0000007.
TEDDY 0000001 DisjointWith TEDDY 0000006.
TEDDY 0000002 is Class.
TEDDY 0000002 DisjointWith TEDDY 0000163.
TEDDY 0000002 DisjointWith TEDDY 0000124.
TEDDY 0000002 DisjointWith TEDDY 0000123.
TEDDY 0000002 DisjointWith TEDDY 0000073.
TEDDY 0000002 DisjointWith TEDDY 0000071.
TEDDY 0000002 DisjointWith TEDDY 0000044.
TEDDY 0000002 DisjointWith TEDDY 0000043.
TEDDY 0000002 DisjointWith TEDDY 0000038.
TEDDY 0000003 is Class.
TEDDY 0000003 DisjointWith TEDDY 0000131.
TEDDY 0000003 DisjointWith TEDDY 0000124.
TEDDY 0000003 DisjointWith TEDDY 0000123.
TEDDY 0000003 DisjointWith TEDDY 0000118.
TEDDY 0000003 DisjointWith TEDDY 0000117.
TEDDY 0000003 DisjointWith TEDDY 0000073.
TEDDY 0000003 DisjointWith TEDDY 0000071.
TEDDY 0000003 DisjointWith TEDDY 0000031.
TEDDY 0000003 DisjointWith TEDDY 0000029.
TEDDY 0000003 DisjointWith TEDDY 0000028.
TEDDY 0000003 DisjointWith TEDDY 0000027.
TEDDY 0000003 DisjointWith TEDDY 0000023.
TEDDY 0000003 DisjointWith TEDDY 0000022.
TEDDY 0000003 DisjointWith TEDDY 0000020.
TEDDY 0000003 DisjointWith TEDDY 0000017.
TEDDY 0000003 DisjointWith TEDDY 0000013.
TEDDY 0000003 DisjointWith TEDDY 0000010.
TEDDY 0000003 DisjointWith TEDDY 0000007.
TEDDY 0000003 DisjointWith TEDDY 0000006.
TEDDY 0000004 is Class.
TEDDY 0000004 DisjointWith TEDDY 0000163.
TEDDY 0000004 DisjointWith TEDDY 0000131.
TEDDY 0000004 DisjointWith TEDDY 0000124.
TEDDY 0000004 DisjointWith TEDDY 0000123.
TEDDY 0000004 DisjointWith TEDDY 0000118.
TEDDY 0000004 DisjointWith TEDDY 0000117.
TEDDY 0000004 DisjointWith TEDDY 0000073.
TEDDY 0000004 DisjointWith TEDDY 0000071.
TEDDY 0000004 DisjointWith TEDDY 0000044.
TEDDY 0000004 DisjointWith TEDDY 0000043.
TEDDY 0000004 DisjointWith TEDDY 0000038.
TEDDY 0000004 DisjointWith TEDDY 0000031.
TEDDY 0000004 DisjointWith TEDDY 0000029.
TEDDY 0000004 DisjointWith TEDDY 0000028.
TEDDY 0000004 DisjointWith TEDDY 0000027.
TEDDY 0000004 DisjointWith TEDDY 0000022.
TEDDY 0000004 DisjointWith TEDDY 0000017.
TEDDY 0000004 DisjointWith TEDDY 0000013.
TEDDY 0000004 DisjointWith TEDDY 0000010.
TEDDY 0000004 DisjointWith TEDDY 0000006.
TEDDY 0000005 is Class.
TEDDY 0000005 DisjointWith TEDDY 0000163.
TEDDY 0000005 DisjointWith TEDDY 0000131.
TEDDY 0000005 DisjointWith TEDDY 0000124.
TEDDY 0000005 DisjointWith TEDDY 0000123.
TEDDY 0000005 DisjointWith TEDDY 0000118.
TEDDY 0000005 DisjointWith TEDDY 0000117.
TEDDY 0000005 DisjointWith TEDDY 0000073.
TEDDY 0000005 DisjointWith TEDDY 0000071.
TEDDY 0000005 DisjointWith TEDDY 0000044.
TEDDY 0000005 DisjointWith TEDDY 0000043.
TEDDY 0000005 DisjointWith TEDDY 0000038.
TEDDY 0000005 DisjointWith TEDDY 0000031.
TEDDY 0000005 DisjointWith TEDDY 0000029.
TEDDY 0000005 DisjointWith TEDDY 0000028.
TEDDY 0000005 DisjointWith TEDDY 0000027.
TEDDY 0000005 DisjointWith TEDDY 0000022.
TEDDY 0000005 DisjointWith TEDDY 0000020.
TEDDY 0000005 DisjointWith TEDDY 0000017.
TEDDY 0000005 DisjointWith TEDDY 0000013.
TEDDY 0000005 DisjointWith TEDDY 0000007.
TEDDY 0000006 is Class.
TEDDY 0000006 SubClassOf TEDDY 0000005.
TEDDY 0000006 DisjointWith TEDDY obsolete.
TEDDY 0000006 DisjointWith TEDDY 0000179.
TEDDY 0000006 DisjointWith TEDDY 0000178.
TEDDY 0000006 DisjointWith TEDDY 0000177.
TEDDY 0000006 DisjointWith TEDDY 0000175.
TEDDY 0000006 DisjointWith TEDDY 0000166.
TEDDY 0000006 DisjointWith TEDDY 0000165.
TEDDY 0000006 DisjointWith TEDDY 0000164.
TEDDY 0000006 DisjointWith TEDDY 0000163.
TEDDY 0000006 DisjointWith TEDDY 0000162.
TEDDY 0000006 DisjointWith TEDDY 0000154.
TEDDY 0000006 DisjointWith TEDDY 0000153.
TEDDY 0000006 DisjointWith TEDDY 0000152.
TEDDY 0000006 DisjointWith TEDDY 0000151.
TEDDY 0000006 DisjointWith TEDDY 0000147.
TEDDY 0000006 DisjointWith TEDDY 0000146.
TEDDY 0000006 DisjointWith TEDDY 0000145.
TEDDY 0000006 DisjointWith TEDDY 0000143.
TEDDY 0000006 DisjointWith TEDDY 0000142.
TEDDY 0000006 DisjointWith TEDDY 0000141.
TEDDY 0000006 DisjointWith TEDDY 0000140.
TEDDY 0000006 DisjointWith TEDDY 0000139.
TEDDY 0000006 DisjointWith TEDDY 0000138.
TEDDY 0000006 DisjointWith TEDDY 0000137.
TEDDY 0000006 DisjointWith TEDDY 0000132.
TEDDY 0000006 DisjointWith TEDDY 0000131.
TEDDY 0000006 DisjointWith TEDDY 0000130.
TEDDY 0000006 DisjointWith TEDDY 0000129.
TEDDY 0000006 DisjointWith TEDDY 0000128.
TEDDY 0000006 DisjointWith TEDDY 0000127.
TEDDY 0000006 DisjointWith TEDDY 0000126.
TEDDY 0000006 DisjointWith TEDDY 0000125.
TEDDY 0000006 DisjointWith TEDDY 0000124.
TEDDY 0000006 DisjointWith TEDDY 0000123.
TEDDY 0000006 DisjointWith TEDDY 0000122.
TEDDY 0000006 DisjointWith TEDDY 0000121.
