double is Datatype.
BFO 0000053 is ObjectProperty.
BFO 0000071 is ObjectProperty.
IAO 0000039 is ObjectProperty.
pr# is ObjectProperty.
www.obofoundry.org/ro/ro.# is ObjectProperty.
OBI 0001937 is DataProperty.
BFO 0000016 is Class.
CHEBI 100241 is Class.
CHEBI 10033 is Class.
CHEBI 10082 is Class.
CHEBI 10093 is Class.
CHEBI 10101 is Class.
CHEBI 101085 is Class.
CHEBI 10110 is Class.
CHEBI 10112 is Class.
CHEBI 10119 is Class.
CHEBI 10125 is Class.
CHEBI 101278 is Class.
CHEBI 102130 is Class.
CHEBI 102166 is Class.
CHEBI 102524 is Class.
CHEBI 104011 is Class.
CHEBI 10607 is Class.
CHEBI 107736 is Class.
CHEBI 110423 is Class.
CHEBI 113451 is Class.
CHEBI 114786 is Class.
CHEBI 116735 is Class.
CHEBI 119486 is Class.
CHEBI 119915 is Class.
CHEBI 125 is Class.
CHEBI 12777 is Class.
CHEBI 131383 is Class.
CHEBI 131389 is Class.
CHEBI 131527 is Class.
CHEBI 132153 is Class.
CHEBI 132230 is Class.
CHEBI 133009 is Class.
CHEBI 133017 is Class.
CHEBI 133354 is Class.
CHEBI 133748 is Class.
CHEBI 134756 is Class.
CHEBI 134760 is Class.
CHEBI 134761 is Class.
CHEBI 134765 is Class.
CHEBI 134772 is Class.
CHEBI 134779 is Class.
CHEBI 134813 is Class.
CHEBI 134929 is Class.
CHEBI 134996 is Class.
CHEBI 135032 is Class.
CHEBI 135042 is Class.
CHEBI 135047 is Class.
CHEBI 135096 is Class.
CHEBI 135144 is Class.
CHEBI 135169 is Class.
CHEBI 135180 is Class.
CHEBI 135204 is Class.
CHEBI 135207 is Class.
CHEBI 135226 is Class.
CHEBI 135276 is Class.
CHEBI 135293 is Class.
CHEBI 135306 is Class.
CHEBI 135312 is Class.
CHEBI 135317 is Class.
CHEBI 135361 is Class.
CHEBI 135372 is Class.
CHEBI 135419 is Class.
CHEBI 135424 is Class.
CHEBI 135433 is Class.
CHEBI 135442 is Class.
CHEBI 135515 is Class.
CHEBI 135525 is Class.
CHEBI 135535 is Class.
CHEBI 135538 is Class.
CHEBI 135590 is Class.
CHEBI 135602 is Class.
CHEBI 135611 is Class.
CHEBI 135624 is Class.
CHEBI 135639 is Class.
CHEBI 135652 is Class.
CHEBI 135811 is Class.
CHEBI 135843 is Class.
CHEBI 135848 is Class.
CHEBI 135880 is Class.
CHEBI 135894 is Class.
CHEBI 135901 is Class.
CHEBI 135913 is Class.
CHEBI 135933 is Class.
CHEBI 135961 is Class.
CHEBI 135976 is Class.
CHEBI 135978 is Class.
CHEBI 136007 is Class.
CHEBI 136014 is Class.
CHEBI 140421 is Class.
CHEBI 140503 is Class.
CHEBI 140618 is Class.
CHEBI 141517 is Class.
CHEBI 142432 is Class.
CHEBI 142773 is Class.
CHEBI 145232 is Class.
CHEBI 145430 is Class.
CHEBI 146185 is Class.
CHEBI 149226 is Class.
CHEBI 150326 is Class.
CHEBI 15347 is Class.
CHEBI 15354 is Class.
CHEBI 15356 is Class.
CHEBI 15365 is Class.
CHEBI 15366 is Class.
CHEBI 15367 is Class.
CHEBI 15377 is Class.
CHEBI 15409 is Class.
CHEBI 15428 is Class.
CHEBI 15544 is Class.
CHEBI 15553 is Class.
CHEBI 15611 is Class.
CHEBI 15676 is Class.
CHEBI 15727 is Class.
CHEBI 15741 is Class.
CHEBI 15758 is Class.
CHEBI 15765 is Class.
CHEBI 15854 is Class.
CHEBI 15882 is Class.
CHEBI 15891 is Class.
CHEBI 15939 is Class.
CHEBI 15940 is Class.
CHEBI 15956 is Class.
CHEBI 16016 is Class.
CHEBI 16109 is Class.
CHEBI 16113 is Class.
CHEBI 16125 is Class.
CHEBI 16134 is Class.
CHEBI 16150 is Class.
CHEBI 16163 is Class.
CHEBI 16199 is Class.
CHEBI 16236 is Class.
CHEBI 16240 is Class.
CHEBI 16243 is Class.
CHEBI 16335 is Class.
CHEBI 16347 is Class.
CHEBI 164200 is Class.
CHEBI 16436 is Class.
CHEBI 16449 is Class.
CHEBI 16454 is Class.
CHEBI 16526 is Class.
CHEBI 16651 is Class.
CHEBI 16684 is Class.
CHEBI 166975 is Class.
CHEBI 16709 is Class.
CHEBI 16714 is Class.
CHEBI 167574 is Class.
CHEBI 167626 is Class.
CHEBI 16794 is Class.
