www.w3.org/2000/01/-schema# is AnnotationProperty.
string is Datatype.
06N40Z is Class.
www.w3.org/2000/01/-schema# is Annotations.
Thing is www.w3.org/2002/07/#.
CAT 0000100 is Class.
HP 0031983 is Class.
HP 0031983 SubClassOf HP 0032175.
HP 0032175 is Class.
LION 0000030 is Class.
LION 0000031 is Class.
LION 0000032 is Class.
LION 0000034 is Class.
LION 0000038 is Class.
LION 0000039 is Class.
LION 0000040 is Class.
LION 0000042 is Class.
LION 0000046 is Class.
LION 0000047 is Class.
LION 0000048 is Class.
LION 0000049 is Class.
LION 0000053 is Class.
LION 0000054 is Class.
LION 0000055 is Class.
LION 0000056 is Class.
LION 0000059 is Class.
LION 0000060 is Class.
LION 0000061 is Class.
LION 0000063 is Class.
LION 0000067 is Class.
LION 0000069 is Class.
LION 0000070 is Class.
LION 0000071 is Class.
LION 0000072 is Class.
LION 0000152 is Class.
LION 0000153 is Class.
LION 0000156 is Class.
LION 0000162 is Class.
LION 0000168 is Class.
LION 0000188 is Class.
LION 0000194 is Class.
LION 0000195 is Class.
LION 0000200 is Class.
LION 0000202 is Class.
LION 0000205 is Class.
LION 0000206 is Class.
LION 0000210 is Class.
LION 0000213 is Class.
LION 0000214 is Class.
LION 0000215 is Class.
LION 0000216 is Class.
LION 0000217 is Class.
LION 0000218 is Class.
LION 0000225 is Class.
LION 0000226 is Class.
LION 0000253 is Class.
LION 0000258 is Class.
LION 0000262 is Class.
LION 0000268 is Class.
LION 0000301 is Class.
LION 0000302 is Class.
LION 0000305 is Class.
LION 0000305 SubClassOf LION 0000047.
LION 0000308 is Class.
LION 0000308 SubClassOf LION 0000047.
LION 0000316 is Class.
LION 0000317 is Class.
LION 0000318 is Class.
LION 0000319 is Class.
LION 0000326 is Class.
LION 0000337 is Class.
LION 0000352 is Class.
LION 0000353 is Class.
LION 0000354 is Class.
LION 0000355 is Class.
LION 0000356 is Class.
LION 0000358 is Class.
LION 0000359 is Class.
LION 0000362 is Class.
LION 0000363 is Class.
LION 0000373 is Class.
LION 0000374 is Class.
LION 0000375 is Class.
LION 0000375 SubClassOf LION 0000053,.
LION 0000375 SubClassOf LION 0001737,.
LION 0000375 SubClassOf LION 0080971,.
LION 0000375 SubClassOf LION 0080977.
LION 0000376 is Class.
LION 0000377 is Class.
LION 0000378 is Class.
LION 0000381 is Class.
LION 0000382 is Class.
LION 0000384 is Class.
LION 0000385 is Class.
LION 0000386 is Class.
LION 0000387 is Class.
LION 0000388 is Class.
LION 0000430 is Class.
LION 0000430 SubClassOf LION 0000067.
LION 0000436 is Class.
LION 0000441 is Class.
LION 0000446 is Class.
LION 0000447 is Class.
LION 0000448 is Class.
LION 0000449 is Class.
LION 0000472 is Class.
LION 0000474 is Class.
LION 0000479 is Class.
LION 0000480 is Class.
LION 0000483 is Class.
LION 0000486 is Class.
LION 0000487 is Class.
LION 0000490 is Class.
LION 0000491 is Class.
LION 0000492 is Class.
LION 0000495 is Class.
LION 0000496 is Class.
LION 0000497 is Class.
LION 0000509 is Class.
LION 0000514 is Class.
LION 0000516 is Class.
LION 0000524 is Class.
LION 0000531 is Class.
LION 0000532 is Class.
LION 0000563 is Class.
LION 0000607 is Class.
LION 0000622 is Class.
LION 0000641 is Class.
LION 0000656 is Class.
LION 0000666 is Class.
LION 0000667 is Class.
LION 0000678 is Class.
LION 0000679 is Class.
LION 0000680 is Class.
