double is Datatype.
ito is ObjectProperty.
BFO 0000053 is ObjectProperty.
BFO 0000071 is ObjectProperty.
IAO 0000039 is ObjectProperty.
RO 0000057 is ObjectProperty.
RO 0002353 is ObjectProperty.
pr# is ObjectProperty.
www.obofoundry.org/ro/ro.# is ObjectProperty.
OBI 0001937 is DataProperty.
ito is Class.
ITO 01625 and (ito is ito.
ito is Class.
ITO 45804 is ito.
ito is Class.
ito is Class.
ito is Class.
BFO 0000016 is Class.
CHEBI 10023 is Class.
CHEBI 100241 is Class.
CHEBI 10033 is Class.
CHEBI 10125 is Class.
CHEBI 10127 is Class.
CHEBI 101278 is Class.
CHEBI 101853 is Class.
CHEBI 102130 is Class.
CHEBI 102265 is Class.
CHEBI 102484 is Class.
CHEBI 102524 is Class.
CHEBI 10607 is Class.
CHEBI 107736 is Class.
CHEBI 113451 is Class.
CHEBI 114786 is Class.
CHEBI 116225 is Class.
CHEBI 116735 is Class.
CHEBI 119915 is Class.
CHEBI 124991 is Class.
CHEBI 125 is Class.
CHEBI 127342 is Class.
CHEBI 12777 is Class.
CHEBI 131383 is Class.
CHEBI 131389 is Class.
CHEBI 131527 is Class.
CHEBI 131713 is Class.
CHEBI 131726 is Class.
CHEBI 131730 is Class.
CHEBI 131762 is Class.
CHEBI 132153 is Class.
CHEBI 132767 is Class.
CHEBI 132943 is Class.
CHEBI 134726 is Class.
CHEBI 134750 is Class.
CHEBI 134751 is Class.
CHEBI 134760 is Class.
CHEBI 134765 is Class.
CHEBI 134779 is Class.
CHEBI 134813 is Class.
CHEBI 134817 is Class.
CHEBI 134837 is Class.
CHEBI 134857 is Class.
CHEBI 134866 is Class.
CHEBI 134966 is Class.
CHEBI 134972 is Class.
CHEBI 135014 is Class.
CHEBI 135047 is Class.
CHEBI 135086 is Class.
CHEBI 135136 is Class.
CHEBI 135165 is Class.
CHEBI 135180 is Class.
CHEBI 135207 is Class.
CHEBI 135276 is Class.
CHEBI 135278 is Class.
CHEBI 135292 is Class.
CHEBI 135340 is Class.
CHEBI 135361 is Class.
CHEBI 135363 is Class.
CHEBI 135370 is Class.
CHEBI 135399 is Class.
CHEBI 135404 is Class.
CHEBI 135420 is Class.
CHEBI 135424 is Class.
CHEBI 135428 is Class.
CHEBI 135468 is Class.
CHEBI 135480 is Class.
CHEBI 135493 is Class.
CHEBI 135499 is Class.
CHEBI 135510 is Class.
CHEBI 135530 is Class.
CHEBI 135550 is Class.
CHEBI 135554 is Class.
CHEBI 135556 is Class.
CHEBI 135566 is Class.
CHEBI 135580 is Class.
CHEBI 135590 is Class.
CHEBI 135602 is Class.
CHEBI 135611 is Class.
CHEBI 135622 is Class.
CHEBI 135629 is Class.
CHEBI 135639 is Class.
CHEBI 135679 is Class.
CHEBI 135692 is Class.
CHEBI 135720 is Class.
CHEBI 135728 is Class.
CHEBI 135738 is Class.
CHEBI 135760 is Class.
CHEBI 135832 is Class.
CHEBI 135885 is Class.
CHEBI 135893 is Class.
CHEBI 135901 is Class.
CHEBI 135928 is Class.
CHEBI 135931 is Class.
CHEBI 135933 is Class.
CHEBI 135934 is Class.
CHEBI 135935 is Class.
CHEBI 135961 is Class.
CHEBI 135978 is Class.
CHEBI 136014 is Class.
CHEBI 136040 is Class.
CHEBI 140503 is Class.
CHEBI 140618 is Class.
CHEBI 141061 is Class.
CHEBI 141146 is Class.
CHEBI 143858 is Class.
CHEBI 145232 is Class.
CHEBI 150326 is Class.
CHEBI 15347 is Class.
CHEBI 15354 is Class.
CHEBI 15356 is Class.
CHEBI 15365 is Class.
CHEBI 15366 is Class.
CHEBI 15367 is Class.
CHEBI 15377 is Class.
CHEBI 15407 is Class.
CHEBI 15409 is Class.
CHEBI 15428 is Class.
CHEBI 15443 is Class.
CHEBI 15611 is Class.
CHEBI 15640 is Class.
CHEBI 156496 is Class.
CHEBI 15676 is Class.
CHEBI 15758 is Class.
CHEBI 15765 is Class.
CHEBI 15854 is Class.
CHEBI 15882 is Class.
CHEBI 15891 is Class.
CHEBI 15940 is Class.
CHEBI 15956 is Class.
CHEBI 16000 is Class.
CHEBI 16109 is Class.
CHEBI 16113 is Class.
CHEBI 16125 is Class.
CHEBI 16134 is Class.
CHEBI 16150 is Class.
CHEBI 16163 is Class.
CHEBI 16199 is Class.
CHEBI 16204 is Class.
CHEBI 16236 is Class.
