uberon/core# is ObjectProperty.
uberon/core# Domain UBERON 0004111.
uberon/core# Range UBERON 0000463.
CHEBI 25701 is Class.
ECOCORE 00000161 is Class.
ENVO 01000276 is Class.
FAO 0000001 is Class.
PATO 0001401 is Class.
PATO 0001835 is Class.
PR P35461 is Class.
PR P55284 is Class.
PR Q62226 is Class.
UBERON 0000020 is Class.
UBERON 0000025 is Class.
UBERON 0000031 is Class.
UBERON 0000055 is Class.
UBERON 0000060 is Class.
UBERON 0000061 is Class.
UBERON 0000062 is Class.
UBERON 0000063 is Class.
UBERON 0000064 is Class.
UBERON 0000066 is Class.
UBERON 0000068 is Class.
UBERON 0000069 is Class.
UBERON 0000071 is Class.
UBERON 0000075 is Class.
UBERON 0000094 is Class.
UBERON 0000104 is Class.
UBERON 0000161 is Class.
UBERON 0000171 is Class.
UBERON 0000353 is Class.
UBERON 0000463 is Class.
UBERON 0000467 is Class.
UBERON 0000468 is Class.
UBERON 0000476 is Class.
UBERON 0000481 is Class.
UBERON 0000922 is Class.
UBERON 0000949 is Class.
UBERON 0000957 is Class.
UBERON 0001004 is Class.
UBERON 0001005 is Class.
UBERON 0001007 is Class.
UBERON 0001009 is Class.
UBERON 0001062 is Class.
UBERON 0001071 is Class.
UBERON 0001145 is Class.
UBERON 0001434 is Class.
UBERON 0001497 is Class.
UBERON 0001534 is Class.
UBERON 0001584 is Class.
UBERON 0001585 is Class.
UBERON 0002075 is Class.
UBERON 0002078 is Class.
UBERON 0002079 is Class.
UBERON 0002080 is Class.
UBERON 0002084 is Class.
UBERON 0002193 is Class.
UBERON 0002330 is Class.
UBERON 0002384 is Class.
UBERON 0002405 is Class.
UBERON 0002530 is Class.
UBERON 0002548 is Class.
UBERON 0003037 is Class.
UBERON 0003100 is Class.
UBERON 0003103 is Class.
UBERON 0003104 is Class.
UBERON 0003133 is Class.
UBERON 0003615 is Class.
UBERON 0003711 is Class.
UBERON 0003891 is Class.
UBERON 0003937 is Class.
UBERON 0004111 is Class.
UBERON 0004571 is Class.
UBERON 0004765 is Class.
UBERON 0004905 is Class.
UBERON 0004923 is Class.
UBERON 0005057 is Class.
UBERON 0005156 is Class.
UBERON 0005172 is Class.
UBERON 0005173 is Class.
UBERON 0005174 is Class.
UBERON 0005177 is Class.
UBERON 0005178 is Class.
UBERON 0005179 is Class.
UBERON 0005181 is Class.
UBERON 0005291 is Class.
UBERON 0005389 is Class.
UBERON 0005409 is Class.
UBERON 0005421 is Class.
UBERON 0005744 is Class.
UBERON 0005764 is Class.
UBERON 0005769 is Class.
UBERON 0005902 is Class.
UBERON 0006003 is Class.
UBERON 0006834 is Class.
UBERON 0007010 is Class.
UBERON 0007021 is Class.
UBERON 0007023 is Class.
UBERON 0007197 is Class.
UBERON 0007213 is Class.
UBERON 0007214 is Class.
UBERON 0007475 is Class.
UBERON 0007499 is Class.
UBERON 0007651 is Class.
UBERON 0007688 is Class.
UBERON 0007798 is Class.
UBERON 0008196 is Class.
UBERON 0009141 is Class.
UBERON 0009602 is Class.
UBERON 0009603 is Class.
UBERON 0009661 is Class.
UBERON 0009842 is Class.
UBERON 0009856 is Class.
UBERON 0009953 is Class.
UBERON 0010001 is Class.
UBERON 0010191 is Class.
UBERON 0010294 is Class.
UBERON 0010295 is Class.
UBERON 0010359 is Class.
UBERON 0010912 is Class.
UBERON 0011092 is Class.
UBERON 0011093 is Class.
UBERON 0011216 is Class.
UBERON 0011585 is Class.
UBERON 0011860 is Class.
UBERON 0011863 is Class.
UBERON 0011864 is Class.
UBERON 0011997 is Class.
UBERON 0012321 is Class.
UBERON 0013522 is Class.
UBERON 0013765 is Class.
UBERON 0014402 is Class.
UBERON 0014404 is Class.
UBERON 0015212 is Class.
UBERON 0015757 is Class.
UBERON 0016405 is Class.
UBERON 0019042 is Class.
UBERON 0034921 is Class.
UBERON 0034922 is Class.
UBERON 0034944 is Class.
UBERON 0035118 is Class.
UBERON 0035546 is Class.
UBERON 1100000 is Class.
UBERON 4200230 is Class.
www.w3.org/2002/07/# is Class.
