string is Datatype.
subject has association is ObjectProperty.
subject has association Characteristics Irreflexive.
subject has association Domain OrphaCode.
subject has association Range Association.
with frequency is DataProperty.
Orphanet 10 is Class.
Orphanet 10 SubClassOf OrphaCode.
Orphanet 100 is Class.
Orphanet 100 SubClassOf OrphaCode.
Orphanet 1000 is Class.
Orphanet 1000 SubClassOf OrphaCode.
Orphanet 100006 is Class.
Orphanet 100006 SubClassOf OrphaCode.
Orphanet 100008 is Class.
Orphanet 100008 SubClassOf OrphaCode.
Orphanet 100024 is Class.
Orphanet 100024 SubClassOf OrphaCode.
Orphanet 100025 is Class.
Orphanet 100025 SubClassOf OrphaCode.
Orphanet 100026 is Class.
Orphanet 100026 SubClassOf OrphaCode.
Orphanet 100050 is Class.
Orphanet 100050 SubClassOf OrphaCode.
Orphanet 100057 is Class.
Orphanet 100057 SubClassOf OrphaCode.
Orphanet 100069 is Class.
Orphanet 100069 SubClassOf OrphaCode.
Orphanet 100070 is Class.
Orphanet 100070 SubClassOf OrphaCode.
Orphanet 100073 is Class.
Orphanet 100073 SubClassOf OrphaCode.
Orphanet 100075 is Class.
Orphanet 100075 SubClassOf OrphaCode.
Orphanet 100078 is Class.
Orphanet 100078 SubClassOf OrphaCode.
Orphanet 100079 is Class.
Orphanet 100079 SubClassOf OrphaCode.
Orphanet 100080 is Class.
Orphanet 100080 SubClassOf OrphaCode.
Orphanet 100081 is Class.
Orphanet 100081 SubClassOf OrphaCode.
Orphanet 100082 is Class.
Orphanet 100082 SubClassOf OrphaCode.
Orphanet 100083 is Class.
Orphanet 100083 SubClassOf OrphaCode.
Orphanet 100084 is Class.
Orphanet 100084 SubClassOf OrphaCode.
Orphanet 100085 is Class.
Orphanet 100085 SubClassOf OrphaCode.
Orphanet 100086 is Class.
Orphanet 100086 SubClassOf OrphaCode.
Orphanet 100093 is Class.
Orphanet 100093 SubClassOf OrphaCode.
Orphanet 1001 is Class.
Orphanet 1001 SubClassOf OrphaCode.
Orphanet 1003 is Class.
Orphanet 1003 SubClassOf OrphaCode.
Orphanet 1005 is Class.
Orphanet 1005 SubClassOf OrphaCode.
Orphanet 1006 is Class.
Orphanet 1006 SubClassOf OrphaCode.
Orphanet 1008 is Class.
Orphanet 1008 SubClassOf OrphaCode.
Orphanet 100924 is Class.
Orphanet 100924 SubClassOf OrphaCode.
Orphanet 100973 is Class.
Orphanet 100973 SubClassOf OrphaCode.
Orphanet 100974 is Class.
Orphanet 100974 SubClassOf OrphaCode.
Orphanet 100976 is Class.
Orphanet 100976 SubClassOf OrphaCode.
Orphanet 100984 is Class.
Orphanet 100984 SubClassOf OrphaCode.
Orphanet 100985 is Class.
Orphanet 100985 SubClassOf OrphaCode.
Orphanet 100986 is Class.
Orphanet 100986 SubClassOf OrphaCode.
Orphanet 100988 is Class.
