www.w3.org/2000/01/-schema# is AnnotationProperty.
string is Datatype.
TEMP# is ObjectProperty.
TEMP# is ObjectProperty.
EHDAA EHDAA%3A5836 is Class.
AAO 0000034 is Class.
AAO 0000042 is Class.
AAO 0000046 is Class.
AAO 0000053 is Class.
AAO 0000109 is Class.
AAO 0000128 is Class.
AAO 0000129 is Class.
AAO 0000137 is Class.
AAO 0000139 is Class.
AAO 0000143 is Class.
AAO 0000145 is Class.
AAO 0000157 is Class.
AAO 0000229 is Class.
AAO 0000239 is Class.
AAO 0000246 is Class.
AAO 0000250 is Class.
AAO 0000268 is Class.
AAO 0000269 is Class.
AAO 0000275 is Class.
AAO 0000304 is Class.
AAO 0000307 is Class.
AAO 0000324 is Class.
AAO 0000327 is Class.
AAO 0000334 is Class.
AAO 0000371 is Class.
AAO 0000429 is Class.
AAO 0000430 is Class.
AAO 0000541 is Class.
AAO 0000555 is Class.
AAO 0000579 is Class.
AAO 0000606 is Class.
AAO 0000623 is Class.
AAO 0000631 is Class.
AAO 0000632 is Class.
BFBbt 00003259 is Class.
DDANAT 0000003 is Class.
DDANAT 0000004 is Class.
DDANAT 0000005 is Class.
DDANAT 0000006 is Class.
DDANAT 0000007 is Class.
DDANAT 0000008 is Class.
DDANAT 0000009 is Class.
DDANAT 0000010 is Class.
DDANAT 0000011 is Class.
DDANAT 0000093 is Class.
DDANAT 0000414 is Class.
DDANA 0000012 is Class.
EHDAA 1017 is Class.
EHDAA 1241 is Class.
EHDAA 1265 is Class.
EHDAA 132 is Class.
EHDAA 1502 is Class.
EHDAA 158 is Class.
EHDAA 1595 is Class.
EHDAA 1697 is Class.
EHDAA 1699 is Class.
EHDAA 183 is Class.
EHDAA 1900 is Class.
EHDAA 218 is Class.
EHDAA 2183 is Class.
EHDAA 2189 is Class.
EHDAA 2197 is Class.
EHDAA 2203 is Class.
EHDAA 2205 is Class.
EHDAA 2358 is Class.
EHDAA 2641 is Class.
EHDAA 27 is Class.
EHDAA 2863 is Class.
EHDAA 2893 is Class.
EHDAA 2899 is Class.
EHDAA 2937 is Class.
EHDAA 2947 is Class.
EHDAA 2975 is Class.
EHDAA 2993 is Class.
EHDAA 3072 is Class.
EHDAA 3078 is Class.
EHDAA 308 is Class.
EHDAA 3470 is Class.
EHDAA 3472 is Class.
EHDAA 3482 is Class.
EHDAA 3496 is Class.
EHDAA 3514 is Class.
EHDAA 366 is Class.
EHDAA 3688 is Class.
EHDAA 3694 is Class.
EHDAA 3769 is Class.
EHDAA 3786 is Class.
EHDAA 3830 is Class.
EHDAA 3864 is Class.
EHDAA 3870 is Class.
EHDAA 3913 is Class.
EHDAA 394 is Class.
EHDAA 396 is Class.
EHDAA 40 is Class.
EHDAA 4104 is Class.
EHDAA 418 is Class.
EHDAA 420 is Class.
EHDAA 4655 is Class.
EHDAA 4716 is Class.
EHDAA 4757 is Class.
EHDAA 486 is Class.
EHDAA 502 is Class.
EHDAA 5031 is Class.
EHDAA 504 is Class.
EHDAA 5047 is Class.
EHDAA 5049 is Class.
EHDAA 514 is Class.
EHDAA 518 is Class.
EHDAA 5376 is Class.
EHDAA 5433 is Class.
EHDAA 5446 is Class.
EHDAA 5464 is Class.
EHDAA 5480 is Class.
EHDAA 5693 is Class.
EHDAA 571 is Class.
EHDAA 5901 is Class.
EHDAA 5903 is Class.
EHDAA 5911 is Class.
EHDAA 5923 is Class.
EHDAA 6029 is Class.
EHDAA 6039 is Class.
EHDAA 6094 is Class.
EHDAA 6208 is Class.
EHDAA 6373 is Class.
EHDAA 6520 is Class.
EHDAA 6522 is Class.
EHDAA 6530 is Class.
EHDAA 6805 is Class.
EHDAA 6893 is Class.
EHDAA 7009 is Class.
EHDAA 7086 is Class.
EHDAA 7149 is Class.
EHDAA 75 is Class.
EHDAA 7588 is Class.
EHDAA 7987 is Class.
EHDAA 8009 is Class.
EHDAA 8062 is Class.
EHDAA 8116 is Class.
EHDAA 8124 is Class.
EHDAA 8136 is Class.
EHDAA 8146 is Class.
EHDAA 826 is Class.
EHDAA 828 is Class.
EHDAA 8677 is Class.
EHDAA 9057 is Class.
EHDAA 908 is Class.
EHDAA 9119 is Class.
EHDAA 9144 is Class.
EHDAA 918 is Class.
EHDAA 920 is Class.
EHDAA 9328 is Class.
EHDAA 936 is Class.
EHDAA 9380 is Class.
EHDAA 94 is Class.
EMAPA 16033 is Class.
EMAPA 16041 is Class.
EMAPA 16042 is Class.
EMAPA 16050 is Class.
EMAPA 16062 is Class.
EMAPA 16069 is Class.
EMAPA 16070 is Class.
EMAPA 16071 is Class.
EMAPA 16073 is Class.
EMAPA 16104 is Class.
EMAPA 16105 is Class.
EMAPA 16117 is Class.
EMAPA 16147 is Class.
EMAPA 16163 is Class.
EMAPA 16164 is Class.
EMAPA 16184 is Class.
EMAPA 16193 is Class.
EMAPA 16194 is Class.
EMAPA 16198 is Class.
EMAPA 16201 is Class.
EMAPA 16208 is Class.
EMAPA 16240 is Class.
EMAPA 16246 is Class.
EMAPA 16262 is Class.
EMAPA 16332 is Class.
EMAPA 16405 is Class.
EMAPA 16406 is Class.
EMAPA 16469 is Class.
EMAPA 16470 is Class.
EMAPA 16478 is Class.
EMAPA 16530 is Class.
EMAPA 16542 is Class.
EMAPA 16579 is Class.
EMAPA 16580 is Class.
EMAPA 16658 is Class.
EMAPA 16659 is Class.
EMAPA 16665 is Class.
EMAPA 16668 is Class.
EMAPA 16688 is Class.
EMAPA 16706 is Class.
EMAPA 16724 is Class.
EMAPA 16727 is Class.
EMAPA 16728 is Class.
EMAPA 16744 is Class.
EMAPA 16748 is Class.
EMAPA 16779 is Class.
EMAPA 16831 is Class.
EMAPA 16833 is Class.
EMAPA 16840 is Class.
EMAPA 16846 is Class.
EMAPA 16849 is Class.
EMAPA 16853 is Class.
EMAPA 16895 is Class.
EMAPA 16896 is Class.
EMAPA 16910 is Class.
EMAPA 16916 is Class.
EMAPA 16974 is Class.
EMAPA 16985 is Class.
EMAPA 16991 is Class.
EMAPA 17000 is Class.
EMAPA 17021 is Class.
EMAPA 17168 is Class.
EMAPA 17174 is Class.
EMAPA 17202 is Class.
EMAPA 17213 is Class.
EMAPA 17214 is Class.
EMAPA 17270 is Class.
EMAPA 17331 is Class.
EMAPA 17366 is Class.
EMAPA 17373 is Class.
EMAPA 17381 is Class.
EMAPA 17412 is Class.
EMAPA 17458 is Class.
EMAPA 17524 is Class.
EMAPA 17525 is Class.
EMAPA 17527 is Class.
EMAPA 17528 is Class.
EMAPA 17529 is Class.
EMAPA 17532 is Class.
EMAPA 17536 is Class.
EMAPA 17540 is Class.
EMAPA 17544 is Class.
EMAPA 17550 is Class.
EMAPA 17563 is Class.
EMAPA 17577 is Class.
EMAPA 17597 is Class.
EMAPA 17606 is Class.
EMAPA 17680 is Class.
EMAPA 17701 is Class.
EMAPA 17745 is Class.
EMAPA 17751 is Class.
