is(BFO_0000051,ObjectProperty):1.0
is(BFO_0000019,Class):1.0
is(BFO_0000145,Class):1.0
SubClassOf(BFO_0000145,BFO_0000019):1.0
is(GO_0016442,Class):1.0
SubClassOf(GO_0016442,GO_0030529):1.0
is(GO_0030529,Class):1.0
is(GO_0042221,Class):1.0
is(GO_0045944,Class):1.0
is(GO_0051716,Class):1.0
is(GO_0070887,Class):1.0
SubClassOf(GO_0070887,GO_0042221,):1.0
SubClassOf(GO_0070887,GO_0051716):1.0
is(GO_0071310,Class):1.0
SubClassOf(GO_0071310,GO_0070887):1.0
is(GO_1901699,Class):1.0
SubClassOf(GO_1901699,GO_0070887):1.0
is(GO_1902893,Class):1.0
is(GO_1902895,Class):1.0
SubClassOf(GO_1902895,GO_0045944,):1.0
SubClassOf(GO_1902895,GO_1902893):1.0
is(IAO_0000030,Class):1.0
is(OMIT_0000002,Class):1.0
is(OMIT_0000013,Class):1.0
is(OMIT_0000014,Class):1.0
is(OMIT_0000019,Class):1.0
SubClassOf(OMIT_0000019,OMIT_0000002,):1.0
SubClassOf(OMIT_0000019,BFO_0000051 some OMIT_0000013,):1.0
SubClassOf(OMIT_0000019,BFO_0000051 some OMIT_0000014):1.0
is(OMIT_0000036,Class):1.0
SubClassOf(OMIT_0000036,IAO_0000030):1.0
is(OMIT_0000110,Class):1.0
is(OMIT_0001005,Class):1.0
is(OMIT_0001006,Class):1.0
SubClassOf(OMIT_0001006,OMIT_0000110):1.0
is(OMIT_0001009,Class):1.0
is(OMIT_0001022,Class):1.0
is(OMIT_0001030,Class):1.0
is(OMIT_0001045,Class):1.0
SubClassOf(OMIT_0001045,OMIT_0014378):1.0
is(OMIT_0001059,Class):1.0
is(OMIT_0001083,Class):1.0
is(OMIT_0001121,Class):1.0
SubClassOf(OMIT_0001121,OMIT_0001083):1.0
is(OMIT_0001122,Class):1.0
SubClassOf(OMIT_0001122,OMIT_0014056):1.0
is(OMIT_0001152,Class):1.0
SubClassOf(OMIT_0001152,OMIT_0009920):1.0
is(OMIT_0001164,Class):1.0
SubClassOf(OMIT_0001164,OMIT_0015686):1.0
is(OMIT_0001191,Class):1.0
SubClassOf(OMIT_0001191,OMIT_0014529):1.0
is(OMIT_0001215,Class):1.0
SubClassOf(OMIT_0001215,OMIT_0017068):1.0
is(OMIT_0001225,Class):1.0
SubClassOf(OMIT_0001225,OMIT_0001215):1.0
is(OMIT_0001271,Class):1.0
is(OMIT_0001280,Class):1.0
is(OMIT_0001283,Class):1.0
SubClassOf(OMIT_0001283,OMIT_0012744):1.0
is(OMIT_0001295,Class):1.0
SubClassOf(OMIT_0001295,OMIT_0014318):1.0
is(OMIT_0001296,Class):1.0
SubClassOf(OMIT_0001296,OMIT_0012744):1.0
is(OMIT_0001310,Class):1.0
SubClassOf(OMIT_0001310,OMIT_0014318):1.0
is(OMIT_0001316,Class):1.0
SubClassOf(OMIT_0001316,OMIT_0014318):1.0
is(OMIT_0001349,Class):1.0
SubClassOf(OMIT_0001349,OMIT_0007149):1.0
is(OMIT_0001359,Class):1.0
SubClassOf(OMIT_0001359,OMIT_0014056):1.0
is(OMIT_0001389,Class):1.0
SubClassOf(OMIT_0001389,OMIT_0005818):1.0
is(OMIT_0001408,Class):1.0
SubClassOf(OMIT_0001408,OMIT_0016295):1.0
is(OMIT_0001433,Class):1.0
SubClassOf(OMIT_0001433,OMIT_0012385):1.0
is(OMIT_0001434,Class):1.0
SubClassOf(OMIT_0001434,OMIT_0010857,):1.0
SubClassOf(OMIT_0001434,OMIT_0012662):1.0
is(OMIT_0001436,Class):1.0
SubClassOf(OMIT_0001436,OMIT_0027888):1.0
is(OMIT_0001438,Class):1.0
SubClassOf(OMIT_0001438,OMIT_0025104):1.0
is(OMIT_0001442,Class):1.0
SubClassOf(OMIT_0001442,OMIT_0014318):1.0
is(OMIT_0001461,Class):1.0
SubClassOf(OMIT_0001461,OMIT_0012809):1.0
is(OMIT_0001465,Class):1.0
SubClassOf(OMIT_0001465,OMIT_0005189):1.0
is(OMIT_0001468,Class):1.0
SubClassOf(OMIT_0001468,OMIT_0011166):1.0
is(OMIT_0001489,Class):1.0
SubClassOf(OMIT_0001489,OMIT_0019171):1.0
is(OMIT_0001511,Class):1.0
SubClassOf(OMIT_0001511,OMIT_0014318):1.0
is(OMIT_0001525,Class):1.0
SubClassOf(OMIT_0001525,OMIT_0001529):1.0
is(OMIT_0001529,Class):1.0
SubClassOf(OMIT_0001529,OMIT_0001582,):1.0
SubClassOf(OMIT_0001529,OMIT_0006454):1.0
is(OMIT_0001531,Class):1.0
SubClassOf(OMIT_0001531,OMIT_0001529):1.0
is(OMIT_0001538,Class):1.0
SubClassOf(OMIT_0001538,OMIT_0008767):1.0
is(OMIT_0001554,Class):1.0
SubClassOf(OMIT_0001554,OMIT_0005343):1.0
is(OMIT_0001582,Class):1.0
is(OMIT_0001585,Class):1.0
is(OMIT_0001647,Class):1.0
is(OMIT_0001652,Class):1.0
SubClassOf(OMIT_0001652,OMIT_0007498):1.0
is(OMIT_0001660,Class):1.0
is(OMIT_0001666,Class):1.0
SubClassOf(OMIT_0001666,OMIT_0014382):1.0
is(OMIT_0001683,Class):1.0
SubClassOf(OMIT_0001683,OMIT_0018063):1.0
is(OMIT_0001684,Class):1.0
SubClassOf(OMIT_0001684,OMIT_0001683):1.0
is(OMIT_0001685,Class):1.0
SubClassOf(OMIT_0001685,OMIT_0001683):1.0
is(OMIT_0001699,Class):1.0
SubClassOf(OMIT_0001699,OMIT_0014365):1.0
is(OMIT_0001718,Class):1.0
is(OMIT_0001722,Class):1.0
SubClassOf(OMIT_0001722,OMIT_0022497):1.0
is(OMIT_0001742,Class):1.0
SubClassOf(OMIT_0001742,OMIT_0023219):1.0
is(OMIT_0001745,Class):1.0
SubClassOf(OMIT_0001745,OMIT_0014373):1.0
is(OMIT_0001773,Class):1.0
is(OMIT_0001776,Class):1.0
is(OMIT_0001779,Class):1.0
is(OMIT_0001782,Class):1.0
is(OMIT_0001791,Class):1.0
SubClassOf(OMIT_0001791,OMIT_0002859):1.0
is(OMIT_0001792,Class):1.0
SubClassOf(OMIT_0001792,OMIT_0001791):1.0
is(OMIT_0001849,Class):1.0
is(OMIT_0001853,Class):1.0
is(OMIT_0001854,Class):1.0
SubClassOf(OMIT_0001854,OMIT_0014247):1.0
is(OMIT_0001869,Class):1.0
is(OMIT_0001880,Class):1.0
SubClassOf(OMIT_0001880,OMIT_0019693):1.0
is(OMIT_0001882,Class):1.0
is(OMIT_0001901,Class):1.0
is(OMIT_0001929,Class):1.0
is(OMIT_0001948,Class):1.0
is(OMIT_0001953,Class):1.0
SubClassOf(OMIT_0001953,OMIT_0014302):1.0
is(OMIT_0001958,Class):1.0
SubClassOf(OMIT_0001958,OMIT_0008681,):1.0
SubClassOf(OMIT_0001958,OMIT_0011511):1.0
is(OMIT_0001964,Class):1.0
SubClassOf(OMIT_0001964,OMIT_0001791):1.0
is(OMIT_0001975,Class):1.0
SubClassOf(OMIT_0001975,OMIT_0014379):1.0
is(OMIT_0001979,Class):1.0
SubClassOf(OMIT_0001979,OMIT_0011400):1.0
is(OMIT_0001980,Class):1.0
SubClassOf(OMIT_0001980,OMIT_0001979):1.0
is(OMIT_0001996,Class):1.0
is(OMIT_0002011,Class):1.0
SubClassOf(OMIT_0002011,OMIT_0024589):1.0
is(OMIT_0002026,Class):1.0
is(OMIT_0002034,Class):1.0
is(OMIT_0002041,Class):1.0
SubClassOf(OMIT_0002041,OMIT_0001529):1.0
is(OMIT_0002052,Class):1.0
is(OMIT_0002053,Class):1.0
is(OMIT_0002058,Class):1.0
is(OMIT_0002060,Class):1.0
is(OMIT_0002061,Class):1.0
SubClassOf(OMIT_0002061,OMIT_0014302):1.0
is(OMIT_0002092,Class):1.0
SubClassOf(OMIT_0002092,OMIT_0007149):1.0
is(OMIT_0002093,Class):1.0
is(OMIT_0002122,Class):1.0
SubClassOf(OMIT_0002122,OMIT_0002123,):1.0
SubClassOf(OMIT_0002122,OMIT_0014371):1.0
is(OMIT_0002123,Class):1.0
SubClassOf(OMIT_0002123,OMIT_0014379):1.0
is(OMIT_0002143,Class):1.0
SubClassOf(OMIT_0002143,OMIT_0002144,):1.0
SubClassOf(OMIT_0002143,OMIT_0015886,):1.0
SubClassOf(OMIT_0002143,OMIT_0023547):1.0
is(OMIT_0002144,Class):1.0
is(OMIT_0002148,Class):1.0
is(OMIT_0002151,Class):1.0
SubClassOf(OMIT_0002151,OMIT_0002148):1.0
is(OMIT_0002152,Class):1.0
SubClassOf(OMIT_0002152,OMIT_0002151):1.0
is(OMIT_0002153,Class):1.0
SubClassOf(OMIT_0002153,OMIT_0002151):1.0
is(OMIT_0002158,Class):1.0
SubClassOf(OMIT_0002158,OMIT_0010232):1.0
is(OMIT_0002161,Class):1.0
SubClassOf(OMIT_0002161,OMIT_0002148,):1.0
SubClassOf(OMIT_0002161,OMIT_0010228):1.0
is(OMIT_0002162,Class):1.0
SubClassOf(OMIT_0002162,OMIT_0002161):1.0
is(OMIT_0002166,Class):1.0
is(OMIT_0002206,Class):1.0
is(OMIT_0002210,Class):1.0
is(OMIT_0002219,Class):1.0
is(OMIT_0002224,Class):1.0
