is(double,Datatype):1.0
is(BFO_0000053,ObjectProperty):1.0
is(BFO_0000071,ObjectProperty):1.0
is(IAO_0000039,ObjectProperty):1.0
is(www.obofoundry.org/ro/ro.#,ObjectProperty):1.0
is(OBI_0001937,DataProperty):1.0
is(CHEBI_10023,Class):1.0
is(CHEBI_100241,Class):1.0
is(CHEBI_100246,Class):1.0
is(CHEBI_10093,Class):1.0
is(CHEBI_10112,Class):1.0
is(CHEBI_10119,Class):1.0
is(CHEBI_101278,Class):1.0
is(CHEBI_102130,Class):1.0
is(CHEBI_102524,Class):1.0
is(CHEBI_107736,Class):1.0
is(CHEBI_114785,Class):1.0
is(CHEBI_114786,Class):1.0
is(CHEBI_116735,Class):1.0
is(CHEBI_119486,Class):1.0
is(CHEBI_119915,Class):1.0
is(CHEBI_124991,Class):1.0
is(CHEBI_12777,Class):1.0
is(CHEBI_131389,Class):1.0
is(CHEBI_131527,Class):1.0
is(CHEBI_131726,Class):1.0
is(CHEBI_131730,Class):1.0
is(CHEBI_131762,Class):1.0
is(CHEBI_132153,Class):1.0
is(CHEBI_132943,Class):1.0
is(CHEBI_133326,Class):1.0
is(CHEBI_133354,Class):1.0
is(CHEBI_134760,Class):1.0
is(CHEBI_134761,Class):1.0
is(CHEBI_134802,Class):1.0
is(CHEBI_134806,Class):1.0
is(CHEBI_134813,Class):1.0
is(CHEBI_134822,Class):1.0
is(CHEBI_134841,Class):1.0
is(CHEBI_134884,Class):1.0
is(CHEBI_134890,Class):1.0
is(CHEBI_134913,Class):1.0
is(CHEBI_134919,Class):1.0
is(CHEBI_134965,Class):1.0
is(CHEBI_134972,Class):1.0
is(CHEBI_135032,Class):1.0
is(CHEBI_135047,Class):1.0
is(CHEBI_135062,Class):1.0
is(CHEBI_135132,Class):1.0
is(CHEBI_135165,Class):1.0
is(CHEBI_135207,Class):1.0
is(CHEBI_135222,Class):1.0
is(CHEBI_135242,Class):1.0
is(CHEBI_135276,Class):1.0
is(CHEBI_135343,Class):1.0
is(CHEBI_135361,Class):1.0
is(CHEBI_135420,Class):1.0
is(CHEBI_135433,Class):1.0
is(CHEBI_135451,Class):1.0
is(CHEBI_135492,Class):1.0
is(CHEBI_135497,Class):1.0
is(CHEBI_135515,Class):1.0
is(CHEBI_135525,Class):1.0
is(CHEBI_135538,Class):1.0
is(CHEBI_135554,Class):1.0
is(CHEBI_135560,Class):1.0
