is(OBI_1110060,ObjectProperty):1.0
is(BFO_0000015,Class):1.0
is(EGO_0000000007,Class):1.0
SubClassOf(EGO_0000000007,GO_0008134):1.0
is(GO_0001788,Class):1.0
SubClassOf(GO_0001788,GO_0008150):1.0
is(GO_0001806,Class):1.0
is(GO_0001816,Class):1.0
SubClassOf(GO_0001816,GO_0008150):1.0
is(GO_0001906,Class):1.0
SubClassOf(GO_0001906,GO_0008150):1.0
is(GO_0001913,Class):1.0
is(GO_0002250,Class):1.0
SubClassOf(GO_0002250,GO_0006955):1.0
is(GO_0002507,Class):1.0
SubClassOf(GO_0002507,GO_0008150):1.0
is(GO_0002517,Class):1.0
is(GO_0002524,Class):1.0
SubClassOf(GO_0002524,GO_0008150):1.0
is(GO_0003824,Class):1.0
is(GO_0006006,Class):1.0
SubClassOf(GO_0006006,GO_0008150):1.0
is(GO_0006260,Class):1.0
SubClassOf(GO_0006260,GO_0008150):1.0
is(GO_0006306,Class):1.0
SubClassOf(GO_0006306,GO_0008150):1.0
is(GO_0006909,Class):1.0
SubClassOf(GO_0006909,GO_0008150):1.0
is(GO_0006955,Class):1.0
is(GO_0007049,Class):1.0
SubClassOf(GO_0007049,GO_0008150):1.0
is(GO_0007596,Class):1.0
SubClassOf(GO_0007596,GO_0008150):1.0
is(GO_0008134,Class):1.0
is(GO_0008150,Class):1.0
SubClassOf(GO_0008150,BFO_0000015):1.0
DisjointWith(GO_0008150,OBI_0000011):1.0
is(GO_0008228,Class):1.0
is(GO_0008283,Class):1.0
SubClassOf(GO_0008283,GO_0008150):1.0
is(GO_0009566,Class):1.0
SubClassOf(GO_0009566,GO_0008150):1.0
is(GO_0009987,Class):1.0
SubClassOf(GO_0009987,GO_0008150):1.0
is(GO_0010467,Class):1.0
SubClassOf(GO_0010467,GO_0008150):1.0
is(GO_0010573,Class):1.0
is(GO_0016064,Class):1.0
SubClassOf(GO_0016064,GO_0008150):1.0
is(GO_0016570,Class):1.0
SubClassOf(GO_0016570,GO_0008150):1.0
is(GO_0019882,Class):1.0
SubClassOf(GO_0019882,GO_0008150):1.0
is(GO_0030041,Class):1.0
SubClassOf(GO_0030041,GO_0008150):1.0
is(GO_0030097,Class):1.0
SubClassOf(GO_0030097,GO_0008150):1.0
is(GO_0032602,Class):1.0
SubClassOf(GO_0032602,OBI_0001447):1.0
is(GO_0032604,Class):1.0
is(GO_0032608,Class):1.0
is(GO_0032609,Class):1.0
is(GO_0032610,Class):1.0
SubClassOf(GO_0032610,GO_0032612):1.0
is(GO_0032611,Class):1.0
SubClassOf(GO_0032611,GO_0032612):1.0
is(GO_0032612,Class):1.0
is(GO_0032613,Class):1.0
is(GO_0032615,Class):1.0
is(GO_0032616,Class):1.0
is(GO_0032618,Class):1.0
is(GO_0032619,Class):1.0
is(GO_0032620,Class):1.0
is(GO_0032621,Class):1.0
is(GO_0032623,Class):1.0
is(GO_0032625,Class):1.0
is(GO_0032626,Class):1.0
is(GO_0032627,Class):1.0
is(GO_0032631,Class):1.0
is(GO_0032632,Class):1.0
is(GO_0032633,Class):1.0
is(GO_0032634,Class):1.0
is(GO_0032635,Class):1.0
is(GO_0032636,Class):1.0
is(GO_0032637,Class):1.0
is(GO_0032638,Class):1.0
is(GO_0032640,Class):1.0
SubClassOf(GO_0032640,GO_0071706):1.0
is(GO_0032641,Class):1.0
SubClassOf(GO_0032641,GO_0071706):1.0
is(GO_0033036,Class):1.0
