is(www.w3.org/2000/01/-schema#,Datatype):1.0
is(ns.com/foaf/0.1/,ObjectProperty):1.0
is(Agent,ns.com/foaf/0.1/):1.0
is(OnlineAccount,ns.com/foaf/0.1/):1.0
is(ns.com/foaf/0.1/,ObjectProperty):1.0
is(OnlineAccount,ns.com/foaf/0.1/):1.0
is(Document,ns.com/foaf/0.1/):1.0
is(ns.com/foaf/0.1/,ObjectProperty):1.0
Domain(ns.com/foaf/0.1/,SpatialThing):1.0
Range(ns.com/foaf/0.1/,SpatialThing):1.0
is(ns.com/foaf/0.1/,ObjectProperty):1.0
is(Person,ns.com/foaf/0.1/):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(ns.com/foaf/0.1/,ObjectProperty):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(Image,ns.com/foaf/0.1/):1.0
is(depicts,ns.com/foaf/0.1/):1.0
is(ns.com/foaf/0.1/,ObjectProperty):1.0
is(Image,ns.com/foaf/0.1/):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(depiction,ns.com/foaf/0.1/):1.0
is(ns.com/foaf/0.1/,ObjectProperty):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(ns.com/foaf/0.1/,ObjectProperty):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(ns.com/foaf/0.1/,ObjectProperty):1.0
is(Agent,ns.com/foaf/0.1/):1.0
is(OnlineAccount,ns.com/foaf/0.1/):1.0
is(ns.com/foaf/0.1/,ObjectProperty):1.0
is(isPrimaryTopicOf,,ns.com/foaf/0.1/):1.0
is(page,ns.com/foaf/0.1/):1.0
Characteristics(page,InverseFunctional):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(Document,ns.com/foaf/0.1/):1.0
is(ns.com/foaf/0.1/,ObjectProperty):1.0
is(depiction,ns.com/foaf/0.1/):1.0
is(Person,ns.com/foaf/0.1/):1.0
is(Image,ns.com/foaf/0.1/):1.0
is(ns.com/foaf/0.1/,ObjectProperty):1.0
is(Agent,ns.com/foaf/0.1/):1.0
is(Document,ns.com/foaf/0.1/):1.0
is(ns.com/foaf/0.1/,ObjectProperty):1.0
is(page,ns.com/foaf/0.1/):1.0
Characteristics(page,InverseFunctional):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(Document,ns.com/foaf/0.1/):1.0
is(primaryTopic,ns.com/foaf/0.1/):1.0
is(ns.com/foaf/0.1/,ObjectProperty):1.0
is(Person,ns.com/foaf/0.1/):1.0
is(Person,ns.com/foaf/0.1/):1.0
is(ns.com/foaf/0.1/,ObjectProperty):1.0
Characteristics(ns.com/foaf/0.1/,InverseFunctional):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(ns.com/foaf/0.1/,ObjectProperty):1.0
is(Agent,ns.com/foaf/0.1/):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(maker,ns.com/foaf/0.1/):1.0
is(ns.com/foaf/0.1/,ObjectProperty):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(Agent,ns.com/foaf/0.1/):1.0
is(made,ns.com/foaf/0.1/):1.0
is(ns.com/foaf/0.1/,ObjectProperty):1.0
Characteristics(ns.com/foaf/0.1/,InverseFunctional):1.0
is(Agent,ns.com/foaf/0.1/):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(ns.com/foaf/0.1/,ObjectProperty):1.0
is(Group,ns.com/foaf/0.1/):1.0
is(Agent,ns.com/foaf/0.1/):1.0
is(ns.com/foaf/0.1/,ObjectProperty):1.0
is(isPrimaryTopicOf,ns.com/foaf/0.1/):1.0
Characteristics(isPrimaryTopicOf,InverseFunctional):1.0
is(Agent,ns.com/foaf/0.1/):1.0
is(Document,ns.com/foaf/0.1/):1.0
is(ns.com/foaf/0.1/,ObjectProperty):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(Document,ns.com/foaf/0.1/):1.0
is(topic,ns.com/foaf/0.1/):1.0
is(ns.com/foaf/0.1/,ObjectProperty):1.0
is(Person,ns.com/foaf/0.1/):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(ns.com/foaf/0.1/,ObjectProperty):1.0
is(ns.com/foaf/0.1/,ObjectProperty):1.0
Characteristics(ns.com/foaf/0.1/,Functional):1.0
is(Document,ns.com/foaf/0.1/):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(isPrimaryTopicOf,ns.com/foaf/0.1/):1.0
is(ns.com/foaf/0.1/,ObjectProperty):1.0
is(Person,ns.com/foaf/0.1/):1.0
is(Document,ns.com/foaf/0.1/):1.0
is(ns.com/foaf/0.1/,ObjectProperty):1.0
is(Person,ns.com/foaf/0.1/):1.0
is(Document,ns.com/foaf/0.1/):1.0
is(ns.com/foaf/0.1/,ObjectProperty):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(ns.com/foaf/0.1/,ObjectProperty):1.0
is(Image,ns.com/foaf/0.1/):1.0
is(Image,ns.com/foaf/0.1/):1.0
is(ns.com/foaf/0.1/,ObjectProperty):1.0
is(page,ns.com/foaf/0.1/):1.0
is(Agent,ns.com/foaf/0.1/):1.0
is(Document,ns.com/foaf/0.1/):1.0
is(ns.com/foaf/0.1/,ObjectProperty):1.0
is(Document,ns.com/foaf/0.1/):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(page,ns.com/foaf/0.1/):1.0
is(ns.com/foaf/0.1/,ObjectProperty):1.0
is(Agent,ns.com/foaf/0.1/):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(ns.com/foaf/0.1/,ObjectProperty):1.0
is(page,ns.com/foaf/0.1/):1.0
Characteristics(page,InverseFunctional):1.0
is(Agent,ns.com/foaf/0.1/):1.0
is(Document,ns.com/foaf/0.1/):1.0
is(ns.com/foaf/0.1/,ObjectProperty):1.0
is(Person,ns.com/foaf/0.1/):1.0
is(Document,ns.com/foaf/0.1/):1.0
is(ns.com/foaf/0.1/,ObjectProperty):1.0
is(Person,ns.com/foaf/0.1/):1.0
is(Document,ns.com/foaf/0.1/):1.0
is(ns.com/foaf/0.1/,DataProperty):1.0
is(OnlineAccount,ns.com/foaf/0.1/):1.0
is(Literal,www.w3.org/2000/01/-schema#):1.0
is(ns.com/foaf/0.1/,DataProperty):1.0
Characteristics(ns.com/foaf/0.1/,Functional):1.0
is(Agent,ns.com/foaf/0.1/):1.0
is(Literal,www.w3.org/2000/01/-schema#):1.0
is(ns.com/foaf/0.1/,DataProperty):1.0
Characteristics(ns.com/foaf/0.1/,Functional):1.0
is(Agent,ns.com/foaf/0.1/):1.0
is(Literal,www.w3.org/2000/01/-schema#):1.0
is(ns.com/foaf/0.1/,DataProperty):1.0
is(Literal,www.w3.org/2000/01/-schema#):1.0
is(ns.com/foaf/0.1/,DataProperty):1.0
is(Person,ns.com/foaf/0.1/):1.0
is(Literal,www.w3.org/2000/01/-schema#):1.0
is(ns.com/foaf/0.1/,DataProperty):1.0
is(Person,ns.com/foaf/0.1/):1.0
is(Literal,www.w3.org/2000/01/-schema#):1.0
is(ns.com/foaf/0.1/,DataProperty):1.0
is(Person,ns.com/foaf/0.1/):1.0
is(Literal,www.w3.org/2000/01/-schema#):1.0
is(ns.com/foaf/0.1/,DataProperty):1.0
is(Person,ns.com/foaf/0.1/):1.0
is(Literal,www.w3.org/2000/01/-schema#):1.0
is(ns.com/foaf/0.1/,DataProperty):1.0
Characteristics(ns.com/foaf/0.1/,Functional):1.0
is(Agent,ns.com/foaf/0.1/):1.0
is(Literal,www.w3.org/2000/01/-schema#):1.0
is(ns.com/foaf/0.1/,DataProperty):1.0
is(ns.com/foaf/0.1/,DataProperty):1.0
is(ns.com/foaf/0.1/,DataProperty):1.0
is(Person,ns.com/foaf/0.1/):1.0
is(Literal,www.w3.org/2000/01/-schema#):1.0
