is(BiPON_00000016,ObjectProperty):1.0
is(GO_0015934,Class):1.0
EquivalentTo(GO_0015934,{BiPON_00000271}):1.0
SubClassOf(GO_0015934,GO_0044391):1.0
is(GO_0015935,Class):1.0
EquivalentTo(GO_0015935,{BiPON_00000272}):1.0
SubClassOf(GO_0015935,GO_0044391):1.0
is(GO_0032991,Class):1.0
is(GO_0032993,Class):1.0
is(GO_0043234,Class):1.0
is(GO_0044207,Class):1.0
EquivalentTo(GO_0044207,{BiPON_00000284}):1.0
SubClassOf(GO_0044207,BiPON_00000285):1.0
is(GO_0044391,Class):1.0
is(GO_0045947,Class):1.0
is(GO_1901191,Class):1.0
SubClassOf(GO_1901191,GO_0045947):1.0
is(GO_1901194,Class):1.0
SubClassOf(GO_1901194,GO_0045947):1.0
is(GO_1990904,Class):1.0
SubClassOf(GO_1990904,GO_0032991):1.0
is(SO_0000552,Class):1.0
DisjointWith(SO_0000552,BiPON_00001798):1.0
is(BiPON_00000203,Class):1.0
SubClassOf(BiPON_00000203,GO_1990904):1.0
is(BiPON_00000285,Class):1.0
is(BiPON_00000356,Class):1.0
EquivalentTo(BiPON_00000356,{BiPON_00000357}):1.0
SubClassOf(BiPON_00000356,BiPON_00000358):1.0
is(BiPON_00000358,Class):1.0
is(BiPON_00000359,Class):1.0
EquivalentTo(BiPON_00000359,{BiPON_00000360}):1.0
SubClassOf(BiPON_00000359,BiPON_00000358):1.0
is(BiPON_00000421,Class):1.0
is(BiPON_00000432,Class):1.0
SubClassOf(BiPON_00000432,GO_1990904):1.0
is(BiPON_00000433,Class):1.0
is(BiPON_00000434,Class):1.0
SubClassOf(BiPON_00000434,GO_1990904):1.0
is(BiPON_00000438,Class):1.0
SubClassOf(BiPON_00000438,BiPON_00000439):1.0
is(BiPON_00000439,Class):1.0
EquivalentTo(BiPON_00000439,{BiPON_00001952}):1.0
SubClassOf(BiPON_00000439,BiPON_00000484):1.0
is(BiPON_00000440,Class):1.0
SubClassOf(BiPON_00000440,BiPON_00000439):1.0
is(BiPON_00000441,Class):1.0
SubClassOf(BiPON_00000441,BiPON_00000439):1.0
is(BiPON_00000484,Class):1.0
is(BiPON_00000487,Class):1.0
SubClassOf(BiPON_00000487,GO_1990904):1.0
is(BiPON_00000613,Class):1.0
SubClassOf(BiPON_00000613,BiPON_00001356):1.0
is(BiPON_00000630,Class):1.0
SubClassOf(BiPON_00000630,BiPON_00000439):1.0
is(BiPON_00000633,Class):1.0
SubClassOf(BiPON_00000633,BiPON_00000439):1.0
is(BiPON_00000728,Class):1.0
EquivalentTo(BiPON_00000728,{BiPON_00002051}):1.0
SubClassOf(BiPON_00000728,BiPON_00000285):1.0
is(BiPON_00000731,Class):1.0
SubClassOf(BiPON_00000731,GO_1901194):1.0
is(BiPON_00000812,Class):1.0
SubClassOf(BiPON_00000812,BiPON_00000932):1.0
is(BiPON_00000813,Class):1.0
SubClassOf(BiPON_00000813,BiPON_00000932):1.0
is(BiPON_00000827,Class):1.0
SubClassOf(BiPON_00000827,BiPON_00000439):1.0
is(BiPON_00000841,Class):1.0
SubClassOf(BiPON_00000841,BiPON_00000439):1.0
is(BiPON_00000896,Class):1.0
SubClassOf(BiPON_00000896,BiPON_00000439):1.0
is(BiPON_00000930,Class):1.0
SubClassOf(BiPON_00000930,BiPON_00000932):1.0
is(BiPON_00000932,Class):1.0
SubClassOf(BiPON_00000932,BiPON_00001612):1.0
is(BiPON_00001050,Class):1.0
SubClassOf(BiPON_00001050,BiPON_00000932):1.0
is(BiPON_00001067,Class):1.0
SubClassOf(BiPON_00001067,GO_1901194):1.0
is(BiPON_00001104,Class):1.0
EquivalentTo(BiPON_00001104,{BiPON_00001105}):1.0
SubClassOf(BiPON_00001104,BiPON_00000433,):1.0
SubClassOf(BiPON_00001104,BiPON_00001106,):1.0
SubClassOf(BiPON_00001104,BiPON_00000016 some SO_0000552,):1.0
SubClassOf(BiPON_00001104,BiPON_00000016 only BiPON_00001798):1.0
is(BiPON_00001106,Class):1.0
is(BiPON_00001172,Class):1.0
SubClassOf(BiPON_00001172,GO_1990904):1.0
is(BiPON_00001243,Class):1.0
SubClassOf(BiPON_00001243,BiPON_00000932):1.0
is(BiPON_00001356,Class):1.0
SubClassOf(BiPON_00001356,BiPON_00001612):1.0
is(BiPON_00001493,Class):1.0
EquivalentTo(BiPON_00001493,{BiPON_00001749}):1.0
SubClassOf(BiPON_00001493,BiPON_00000484):1.0
is(BiPON_00001533,Class):1.0
SubClassOf(BiPON_00001533,BiPON_00000439):1.0
is(BiPON_00001581,Class):1.0
SubClassOf(BiPON_00001581,BiPON_00000439):1.0
is(BiPON_00001612,Class):1.0
is(BiPON_00001702,Class):1.0
SubClassOf(BiPON_00001702,BiPON_00000439):1.0
is(BiPON_00001797,Class):1.0
SubClassOf(BiPON_00001797,BiPON_00000439):1.0
is(BiPON_00001798,Class):1.0
SubClassOf(BiPON_00001798,BiPON_00000439):1.0
DisjointWith(BiPON_00001798,SO_0000552):1.0
is(BiPON_00001809,Class):1.0
SubClassOf(BiPON_00001809,BiPON_00000439):1.0
is(BiPON_00001819,Class):1.0
SubClassOf(BiPON_00001819,BiPON_00000439):1.0
is(BiPON_00001825,Class):1.0
SubClassOf(BiPON_00001825,BiPON_00000439):1.0
is(BiPON_00001867,Class):1.0
SubClassOf(BiPON_00001867,BiPON_00000439):1.0
is(BiPON_00001882,Class):1.0
SubClassOf(BiPON_00001882,BiPON_00000439):1.0
is(BiPON_00001913,Class):1.0
SubClassOf(BiPON_00001913,BiPON_00000439):1.0
is(BiPON_00001975,Class):1.0
SubClassOf(BiPON_00001975,BiPON_00000439):1.0
is(BiPON_00002025,Class):1.0
SubClassOf(BiPON_00002025,GO_1901191):1.0
is(BiPON_00002067,Class):1.0
SubClassOf(BiPON_00002067,GO_1901191):1.0
is(BiPON_00002068,Class):1.0
SubClassOf(BiPON_00002068,GO_1901191):1.0
is(BiPON_00002282,Class):1.0
SubClassOf(BiPON_00002282,GO_1990904):1.0
is(www.w3.org/2002/07/#,Class):1.0
is(BiPON_00000271,Individual):1.0
Types(BiPON_00000271,GO_0015934):1.0
is(BiPON_00000272,Individual):1.0
Types(BiPON_00000272,GO_0015935):1.0
is(BiPON_00000284,Individual):1.0
Types(BiPON_00000284,GO_0044207):1.0
is(BiPON_00000357,Individual):1.0
Types(BiPON_00000357,BiPON_00000356):1.0
is(BiPON_00000360,Individual):1.0
Types(BiPON_00000360,BiPON_00000359):1.0
is(BiPON_00001105,Individual):1.0
Types(BiPON_00001105,BiPON_00001104):1.0
is(BiPON_00001749,Individual):1.0
Types(BiPON_00001749,BiPON_00001493):1.0
is(BiPON_00001952,Individual):1.0
Types(BiPON_00001952,BiPON_00000439):1.0
is(BiPON_00002051,Individual):1.0
Types(BiPON_00002051,BiPON_00000728):1.0
DisjointClasses(BiPON_00002051,GO_0032993,GO_0043234,GO_1990904,BiPON_00000421):1.0
