is(datetime,Datatype):1.0
is(sampletype,Individual):1.0
is(sampletype/,Individual):1.0
is(sampletype/,Individual):1.0
is(sampletype/,Individual):1.0
is(sampletype/,Individual):1.0
is(sampletype/,Individual):1.0
is(sampletype/,Individual):1.0
is(sampletype/,Individual):1.0
is(sampletype/,Individual):1.0
is(sampletype/,Individual):1.0
is(sampletype/,Individual):1.0
is(sampletype/,Individual):1.0
is(sampletype/,Individual):1.0
is(sampletype/,Individual):1.0
is(sampletype/,Individual):1.0
is(sampletype/,Individual):1.0
is(sampletype/,Individual):1.0
is(sampletype/,Individual):1.0
is(sampletype/,Individual):1.0
is(sampletype/,Individual):1.0
is(sampletype/,Individual):1.0
is(sampletype/,Individual):1.0
is(sampletype/,Individual):1.0
is(sampletype/,Individual):1.0
is(sampletype/,Individual):1.0
