is(BFO_0000050,ObjectProperty):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(all_pathways_and_groups,<agi-folder):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(all_pathways_and_groups,<agi-folder):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(index,<agi-folder):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(index,<agi-folder):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(all_pathways_and_groups,<agi-folder):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(all_pathways_and_groups,<agi-folder):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(all_pathways_and_groups,<agi-folder):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(all_pathways_and_groups,<agi-folder):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(all_pathways_and_groups,<agi-folder):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(all_pathways_and_groups,<agi-folder):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
is(<agi-folder,Class):1.0
