is(integer,Datatype):1.0
is(OCCO_00000009,ObjectProperty):1.0
is(OCCO_00000010,ObjectProperty):1.0
is(OCCO_00000006,DataProperty):1.0
is(BFO_0000003,Class):1.0
is(BFO_0000006,Class):1.0
SubClassOf(BFO_0000006,BFO_0000141):1.0
DisjointWith(BFO_0000006,BFO_0000140):1.0
DisjointWith(BFO_0000006,BFO_0000029):1.0
is(BFO_0000008,Class):1.0
SubClassOf(BFO_0000008,BFO_0000003):1.0
DisjointWith(BFO_0000008,BFO_0000035):1.0
DisjointWith(BFO_0000008,BFO_0000015):1.0
DisjointWith(BFO_0000008,BFO_0000011):1.0
is(BFO_0000009,Class):1.0
SubClassOf(BFO_0000009,BFO_0000006):1.0
is(BFO_0000011,Class):1.0
SubClassOf(BFO_0000011,BFO_0000003):1.0
DisjointWith(BFO_0000011,BFO_0000008):1.0
is(BFO_0000015,Class):1.0
DisjointWith(BFO_0000015,BFO_0000008):1.0
is(BFO_0000016,Class):1.0
SubClassOf(BFO_0000016,BFO_0000017):1.0
DisjointWith(BFO_0000016,BFO_0000023):1.0
is(BFO_0000017,Class):1.0
is(BFO_0000018,Class):1.0
SubClassOf(BFO_0000018,BFO_0000006):1.0
is(BFO_0000023,Class):1.0
DisjointWith(BFO_0000023,BFO_0000016):1.0
is(BFO_0000024,Class):1.0
SubClassOf(BFO_0000024,BFO_0000040):1.0
is(BFO_0000026,Class):1.0
SubClassOf(BFO_0000026,BFO_0000006):1.0
is(BFO_0000028,Class):1.0
SubClassOf(BFO_0000028,BFO_0000006):1.0
is(BFO_0000029,Class):1.0
DisjointWith(BFO_0000029,BFO_0000006):1.0
is(BFO_0000034,Class):1.0
SubClassOf(BFO_0000034,BFO_0000016):1.0
is(BFO_0000035,Class):1.0
DisjointWith(BFO_0000035,BFO_0000008):1.0
is(BFO_0000038,Class):1.0
SubClassOf(BFO_0000038,BFO_0000008):1.0
DisjointWith(BFO_0000038,BFO_0000148):1.0
is(BFO_0000040,Class):1.0
is(BFO_0000140,Class):1.0
DisjointWith(BFO_0000140,BFO_0000006):1.0
is(BFO_0000141,Class):1.0
is(BFO_0000144,Class):1.0
DisjointWith(BFO_0000144,BFO_0000182):1.0
is(BFO_0000148,Class):1.0
SubClassOf(BFO_0000148,BFO_0000008):1.0
DisjointWith(BFO_0000148,BFO_0000038):1.0
is(BFO_0000182,Class):1.0
SubClassOf(BFO_0000182,BFO_0000015):1.0
