is(double,Datatype):1.0
is(BFO_0000053,ObjectProperty):1.0
is(BFO_0000071,ObjectProperty):1.0
is(IAO_0000039,ObjectProperty):1.0
is(www.obofoundry.org/ro/ro.#,ObjectProperty):1.0
is(OBI_0001937,DataProperty):1.0
is(BFO_0000016,Class):1.0
is(BFO_0000030,Class):1.0
is(CHEBI_100241,Class):1.0
is(CHEBI_101278,Class):1.0
is(CHEBI_102166,Class):1.0
is(CHEBI_102524,Class):1.0
is(CHEBI_10607,Class):1.0
is(CHEBI_107736,Class):1.0
is(CHEBI_110423,Class):1.0
is(CHEBI_113451,Class):1.0
is(CHEBI_114786,Class):1.0
is(CHEBI_116735,Class):1.0
is(CHEBI_119915,Class):1.0
is(CHEBI_125,Class):1.0
is(CHEBI_12777,Class):1.0
is(CHEBI_131383,Class):1.0
is(CHEBI_131389,Class):1.0
is(CHEBI_131527,Class):1.0
is(CHEBI_132153,Class):1.0
is(CHEBI_132230,Class):1.0
is(CHEBI_132943,Class):1.0
is(CHEBI_133326,Class):1.0
is(CHEBI_133748,Class):1.0
is(CHEBI_134750,Class):1.0
is(CHEBI_134751,Class):1.0
is(CHEBI_134760,Class):1.0
is(CHEBI_134761,Class):1.0
is(CHEBI_134774,Class):1.0
is(CHEBI_134779,Class):1.0
is(CHEBI_134806,Class):1.0
is(CHEBI_134813,Class):1.0
is(CHEBI_134966,Class):1.0
is(CHEBI_135022,Class):1.0
is(CHEBI_135047,Class):1.0
is(CHEBI_135132,Class):1.0
is(CHEBI_135207,Class):1.0
is(CHEBI_135214,Class):1.0
is(CHEBI_135222,Class):1.0
is(CHEBI_135228,Class):1.0
is(CHEBI_135239,Class):1.0
is(CHEBI_135246,Class):1.0
is(CHEBI_135276,Class):1.0
is(CHEBI_135283,Class):1.0
is(CHEBI_135333,Class):1.0
is(CHEBI_135340,Class):1.0
is(CHEBI_135354,Class):1.0
is(CHEBI_135361,Class):1.0
is(CHEBI_135424,Class):1.0
is(CHEBI_135428,Class):1.0
is(CHEBI_135433,Class):1.0
is(CHEBI_135455,Class):1.0
is(CHEBI_135464,Class):1.0
is(CHEBI_135470,Class):1.0
is(CHEBI_135483,Class):1.0
is(CHEBI_135492,Class):1.0
is(CHEBI_135520,Class):1.0
is(CHEBI_135521,Class):1.0
is(CHEBI_135523,Class):1.0
is(CHEBI_135561,Class):1.0
is(CHEBI_135581,Class):1.0
