is(date,Datatype):1.0
is(22240,Class):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(NCBITaxon_40674,Class):1.0
is(Constraint,Class):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(Variable,Class):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(www.w3.org/2002/07/#,Class):1.0
is(03733596-c643-4c14-a7bc-3048591a3f2d,Individual):1.0
is(10001,Individual):1.0
is(10002,Individual):1.0
is(10003,Individual):1.0
is(10004,Individual):1.0
is(10005,Individual):1.0
is(10006,Individual):1.0
is(10010,Individual):1.0
is(10011,Individual):1.0
is(10012,Individual):1.0
is(10013,Individual):1.0
is(10014,Individual):1.0
is(10015,Individual):1.0
is(10016,Individual):1.0
is(10017,Individual):1.0
is(10018,Individual):1.0
is(10019,Individual):1.0
is(10020,Individual):1.0
is(10021,Individual):1.0
is(10022,Individual):1.0
is(10023,Individual):1.0
is(10024,Individual):1.0
is(10025,Individual):1.0
is(10026,Individual):1.0
is(10027,Individual):1.0
is(10028,Individual):1.0
is(10029,Individual):1.0
is(10030,Individual):1.0
is(10031,Individual):1.0
is(10032,Individual):1.0
is(10033,Individual):1.0
is(10034,Individual):1.0
is(10035,Individual):1.0
is(10036,Individual):1.0
is(10037,Individual):1.0
is(10038,Individual):1.0
is(10039,Individual):1.0
is(10040,Individual):1.0
is(10041,Individual):1.0
is(10042,Individual):1.0
is(10043,Individual):1.0
is(10044,Individual):1.0
is(10045,Individual):1.0
is(10046,Individual):1.0
is(10047,Individual):1.0
is(10048,Individual):1.0
is(10049,Individual):1.0
is(10050,Individual):1.0
is(10051,Individual):1.0
is(10052,Individual):1.0
is(10053,Individual):1.0
is(10054,Individual):1.0
is(10055,Individual):1.0
is(10056,Individual):1.0
is(10057,Individual):1.0
is(10058,Individual):1.0
is(10059,Individual):1.0
is(10060,Individual):1.0
is(10062,Individual):1.0
is(10064,Individual):1.0
is(10065,Individual):1.0
is(10066,Individual):1.0
is(10068,Individual):1.0
is(10069,Individual):1.0
is(10070,Individual):1.0
is(10071,Individual):1.0
is(10072,Individual):1.0
is(10073,Individual):1.0
is(10074,Individual):1.0
is(10075,Individual):1.0
is(10076,Individual):1.0
is(10077,Individual):1.0
is(10078,Individual):1.0
is(10079,Individual):1.0
is(10080,Individual):1.0
is(10081,Individual):1.0
is(10082,Individual):1.0
is(10083,Individual):1.0
is(10084,Individual):1.0
is(10085,Individual):1.0
is(10086,Individual):1.0
is(10087,Individual):1.0
is(10088,Individual):1.0
is(10089,Individual):1.0
is(10090,Individual):1.0
is(10091,Individual):1.0
