is(double,Datatype):1.0
is(BFO_0000051,ObjectProperty):1.0
is(BFO_0000053,ObjectProperty):1.0
is(BFO_0000071,ObjectProperty):1.0
is(IAO_0000039,ObjectProperty):1.0
is(RO_0000052,ObjectProperty):1.0
is(RO_0002573,ObjectProperty):1.0
is(www.obofoundry.org/ro/ro.#,ObjectProperty):1.0
is(R00000094,ObjectProperty):1.0
is(OBI_0001937,DataProperty):1.0
is(//www.wikidata.org/wiki/,Class):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(//www.wikidata.org/wiki/,Class):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(//www.wikidata.org/wiki/,Class):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(//www.wikidata.org/wiki/,Class):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(//www.wikidata.org/wiki/,Class):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(//www.wikidata.org/wiki/,Class):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(//www.wikidata.org/wiki/,Class):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(//www.wikidata.org/wiki/,Class):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(//www.wikidata.org/wiki/,Class):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(//www.wikidata.org/wiki/,Class):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(//www.wikidata.org/wiki/,Class):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(//www.wikidata.org/wiki/,Class):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(//www.wikidata.org/wiki/,Class):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(//www.wikidata.org/wiki/,Class):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(//www.wikidata.org/wiki/,Class):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(//www.wikidata.org/wiki/,Class):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(//www.wikidata.org/wiki/,Class):1.0
is(Thing,www.w3.org/2002/07/#):1.0
is(BFO_0000016,Class):1.0
is(BFO_0000023,Class):1.0
is(BFO_0000040,Class):1.0
is(CHEBI_10023,Class):1.0
is(CHEBI_100241,Class):1.0
is(CHEBI_100246,Class):1.0
is(CHEBI_10033,Class):1.0
is(CHEBI_10055,Class):1.0
is(CHEBI_10082,Class):1.0
is(CHEBI_10101,Class):1.0
is(CHEBI_10110,Class):1.0
is(CHEBI_10119,Class):1.0
is(CHEBI_10124,Class):1.0
is(CHEBI_10125,Class):1.0
is(CHEBI_101278,Class):1.0
is(CHEBI_102166,Class):1.0
is(CHEBI_102216,Class):1.0
is(CHEBI_102484,Class):1.0
is(CHEBI_102524,Class):1.0
is(CHEBI_104011,Class):1.0
is(CHEBI_10607,Class):1.0
is(CHEBI_10650,Class):1.0
is(CHEBI_107736,Class):1.0
is(CHEBI_114785,Class):1.0
is(CHEBI_114786,Class):1.0
is(CHEBI_116735,Class):1.0
is(CHEBI_119915,Class):1.0
is(CHEBI_125,Class):1.0
is(CHEBI_125354,Class):1.0
is(CHEBI_12777,Class):1.0
is(CHEBI_127780,Class):1.0
is(CHEBI_131383,Class):1.0
is(CHEBI_131389,Class):1.0
is(CHEBI_131527,Class):1.0
is(CHEBI_131762,Class):1.0
is(CHEBI_132106,Class):1.0
is(CHEBI_132767,Class):1.0
is(CHEBI_132943,Class):1.0
is(CHEBI_133009,Class):1.0
is(CHEBI_133013,Class):1.0
is(CHEBI_133354,Class):1.0
is(CHEBI_134719,Class):1.0
is(CHEBI_134760,Class):1.0
is(CHEBI_134761,Class):1.0
is(CHEBI_134779,Class):1.0
is(CHEBI_134783,Class):1.0
is(CHEBI_134806,Class):1.0
is(CHEBI_134813,Class):1.0
is(CHEBI_134821,Class):1.0
is(CHEBI_134841,Class):1.0
is(CHEBI_134855,Class):1.0
is(CHEBI_134875,Class):1.0
is(CHEBI_134884,Class):1.0
is(CHEBI_134893,Class):1.0
is(CHEBI_134929,Class):1.0
is(CHEBI_135022,Class):1.0
is(CHEBI_135032,Class):1.0
is(CHEBI_135047,Class):1.0
is(CHEBI_135086,Class):1.0
is(CHEBI_135095,Class):1.0
is(CHEBI_135122,Class):1.0
is(CHEBI_135198,Class):1.0
is(CHEBI_135207,Class):1.0
is(CHEBI_135222,Class):1.0
is(CHEBI_135278,Class):1.0
is(CHEBI_135293,Class):1.0
is(CHEBI_135310,Class):1.0
is(CHEBI_135351,Class):1.0
is(CHEBI_135358,Class):1.0
is(CHEBI_135361,Class):1.0
is(CHEBI_135363,Class):1.0
is(CHEBI_135367,Class):1.0
is(CHEBI_135372,Class):1.0
is(CHEBI_135398,Class):1.0
is(CHEBI_135402,Class):1.0
is(CHEBI_135404,Class):1.0
is(CHEBI_135418,Class):1.0
is(CHEBI_135419,Class):1.0
is(CHEBI_135423,Class):1.0
is(CHEBI_135433,Class):1.0
is(CHEBI_135470,Class):1.0
is(CHEBI_135483,Class):1.0
is(CHEBI_135515,Class):1.0
is(CHEBI_135523,Class):1.0
is(CHEBI_135534,Class):1.0
is(CHEBI_135538,Class):1.0
is(CHEBI_135551,Class):1.0
is(CHEBI_135572,Class):1.0
is(CHEBI_135581,Class):1.0
is(CHEBI_135590,Class):1.0
is(CHEBI_135601,Class):1.0
is(CHEBI_135605,Class):1.0
is(CHEBI_135611,Class):1.0
is(CHEBI_135613,Class):1.0
is(CHEBI_135619,Class):1.0
is(CHEBI_135626,Class):1.0
is(CHEBI_135635,Class):1.0
is(CHEBI_135679,Class):1.0
is(CHEBI_135685,Class):1.0
is(CHEBI_135726,Class):1.0
is(CHEBI_135729,Class):1.0
is(CHEBI_135738,Class):1.0
is(CHEBI_135791,Class):1.0
is(CHEBI_135832,Class):1.0
is(CHEBI_135901,Class):1.0
is(CHEBI_135905,Class):1.0
is(CHEBI_135907,Class):1.0
is(CHEBI_135910,Class):1.0
is(CHEBI_135913,Class):1.0
is(CHEBI_135919,Class):1.0
is(CHEBI_135920,Class):1.0
is(CHEBI_135922,Class):1.0
is(CHEBI_135928,Class):1.0
is(CHEBI_135931,Class):1.0
is(CHEBI_135933,Class):1.0
is(CHEBI_135934,Class):1.0
is(CHEBI_135935,Class):1.0
is(CHEBI_135939,Class):1.0
is(CHEBI_135946,Class):1.0
is(CHEBI_135959,Class):1.0
is(CHEBI_135961,Class):1.0
is(CHEBI_135978,Class):1.0
is(CHEBI_135983,Class):1.0
is(CHEBI_135989,Class):1.0
is(CHEBI_136007,Class):1.0
is(CHEBI_136014,Class):1.0
is(CHEBI_136018,Class):1.0
is(CHEBI_136034,Class):1.0
is(CHEBI_137426,Class):1.0
is(CHEBI_138721,Class):1.0
is(CHEBI_140376,Class):1.0
is(CHEBI_140427,Class):1.0
is(CHEBI_140503,Class):1.0
is(CHEBI_140618,Class):1.0
is(CHEBI_140621,Class):1.0
is(CHEBI_140628,Class):1.0
is(CHEBI_141146,Class):1.0
is(CHEBI_141517,Class):1.0
is(CHEBI_142406,Class):1.0
is(CHEBI_143255,Class):1.0
is(CHEBI_143858,Class):1.0
is(CHEBI_145232,Class):1.0
is(CHEBI_145536,Class):1.0
is(CHEBI_145567,Class):1.0
is(CHEBI_145791,Class):1.0
is(CHEBI_145994,Class):1.0
is(CHEBI_149601,Class):1.0
is(CHEBI_149836,Class):1.0
is(CHEBI_150326,Class):1.0
is(CHEBI_15347,Class):1.0
is(CHEBI_15354,Class):1.0
is(CHEBI_15355,Class):1.0
is(CHEBI_15356,Class):1.0
is(CHEBI_15365,Class):1.0
is(CHEBI_15366,Class):1.0
is(CHEBI_15377,Class):1.0
is(CHEBI_15407,Class):1.0
is(CHEBI_15409,Class):1.0
is(CHEBI_15428,Class):1.0
is(CHEBI_15544,Class):1.0
is(CHEBI_15551,Class):1.0
is(CHEBI_15552,Class):1.0
is(CHEBI_15640,Class):1.0
is(CHEBI_156496,Class):1.0
is(CHEBI_15676,Class):1.0
is(CHEBI_15765,Class):1.0
is(CHEBI_15854,Class):1.0
is(CHEBI_15882,Class):1.0
is(CHEBI_15891,Class):1.0
is(CHEBI_15940,Class):1.0
is(CHEBI_15956,Class):1.0
is(CHEBI_16000,Class):1.0
is(CHEBI_16010,Class):1.0
is(CHEBI_160246,Class):1.0
is(CHEBI_16125,Class):1.0
is(CHEBI_16134,Class):1.0
is(CHEBI_16150,Class):1.0
is(CHEBI_161680,Class):1.0
is(CHEBI_16199,Class):1.0
is(CHEBI_16204,Class):1.0
