is(CCTO_000008,ObjectProperty):1.0
is(CCTO_000006,Class):1.0
DisjointWith(CCTO_000006,CCTO_000097):1.0
is(CCTO_000019,Class):1.0
is(CCTO_000031,Class):1.0
SubClassOf(CCTO_000031,CCTO_000019):1.0
is(CCTO_000062,Class):1.0
SubClassOf(CCTO_000062,CCTO_000031):1.0
is(CCTO_000063,Class):1.0
SubClassOf(CCTO_000063,CCTO_000031):1.0
is(CCTO_000064,Class):1.0
SubClassOf(CCTO_000064,CCTO_000031):1.0
is(CCTO_000065,Class):1.0
SubClassOf(CCTO_000065,CCTO_000031):1.0
is(CCTO_000066,Class):1.0
SubClassOf(CCTO_000066,CCTO_000031):1.0
is(CCTO_000067,Class):1.0
SubClassOf(CCTO_000067,CCTO_000031):1.0
is(CCTO_000068,Class):1.0
SubClassOf(CCTO_000068,CCTO_000031):1.0
is(CCTO_000069,Class):1.0
SubClassOf(CCTO_000069,CCTO_000031):1.0
is(CCTO_000071,Class):1.0
SubClassOf(CCTO_000071,CCTO_000031):1.0
is(CCTO_000073,Class):1.0
SubClassOf(CCTO_000073,CCTO_000031):1.0
is(CCTO_000074,Class):1.0
SubClassOf(CCTO_000074,CCTO_000031):1.0
is(CCTO_000075,Class):1.0
SubClassOf(CCTO_000075,CCTO_000031):1.0
is(CCTO_000076,Class):1.0
SubClassOf(CCTO_000076,CCTO_000031):1.0
is(CCTO_000077,Class):1.0
SubClassOf(CCTO_000077,CCTO_000031):1.0
is(CCTO_000078,Class):1.0
SubClassOf(CCTO_000078,CCTO_000031):1.0
is(CCTO_000079,Class):1.0
SubClassOf(CCTO_000079,CCTO_000031):1.0
is(CCTO_000080,Class):1.0
SubClassOf(CCTO_000080,CCTO_000031):1.0
is(CCTO_000081,Class):1.0
SubClassOf(CCTO_000081,CCTO_000031):1.0
is(CCTO_000082,Class):1.0
SubClassOf(CCTO_000082,CCTO_000031):1.0
is(CCTO_000083,Class):1.0
SubClassOf(CCTO_000083,CCTO_000031):1.0
is(CCTO_000085,Class):1.0
SubClassOf(CCTO_000085,CCTO_000031):1.0
is(CCTO_000086,Class):1.0
SubClassOf(CCTO_000086,CCTO_000031):1.0
is(CCTO_000087,Class):1.0
SubClassOf(CCTO_000087,CCTO_000031):1.0
is(CCTO_000088,Class):1.0
SubClassOf(CCTO_000088,CCTO_000031):1.0
is(CCTO_000089,Class):1.0
SubClassOf(CCTO_000089,CCTO_000031):1.0
is(CCTO_000091,Class):1.0
SubClassOf(CCTO_000091,CCTO_000031):1.0
is(CCTO_000092,Class):1.0
SubClassOf(CCTO_000092,CCTO_000031):1.0
is(CCTO_000093,Class):1.0
SubClassOf(CCTO_000093,CCTO_000031):1.0
is(CCTO_000094,Class):1.0
SubClassOf(CCTO_000094,CCTO_000031):1.0
is(CCTO_000095,Class):1.0
SubClassOf(CCTO_000095,CCTO_000031):1.0
is(CCTO_000096,Class):1.0
SubClassOf(CCTO_000096,CCTO_000031):1.0
is(CCTO_000097,Class):1.0
SubClassOf(CCTO_000097,CCTO_000031):1.0
DisjointWith(CCTO_000097,CCTO_000006):1.0
is(CCTO_000099,Class):1.0
